bench,algo,generation,avg_best_area
br1,PSO,1,16.9
br1,GA,1,19.9
br1,ABC,1,16
br1,SMABC,1,10
br1,PSO,2,15
br1,GA,2,13
br1,ABC,2,12
br1,SMABC,2,10
br1,PSO,3,15
br1,GA,3,11
br1,ABC,3,10
br1,SMABC,3,10
br1,PSO,4,14
br1,GA,4,10
br1,ABC,4,10
br1,SMABC,4,10
br1,PSO,5,12
br1,GA,5,10
br1,ABC,5,10
br1,SMABC,5,10
br1,PSO,6,12
br1,GA,6,10
br1,ABC,6,10
br1,SMABC,6,10
br1,PSO,7,11
br1,GA,7,10
br1,ABC,7,10
br1,SMABC,7,10
br1,PSO,8,11
br1,GA,8,10
br1,ABC,8,10
br1,SMABC,8,10
br1,PSO,9,11
br1,GA,9,10
br1,ABC,9,10
br1,SMABC,9,10
br1,PSO,10,11
br1,GA,10,10
br1,ABC,10,10
br1,SMABC,10,10
br1,PSO,11,11
br1,GA,11,10
br1,ABC,11,10
br1,SMABC,11,10
br1,PSO,12,11
br1,GA,12,10
br1,ABC,12,10
br1,SMABC,12,10
br1,PSO,13,10
br1,GA,13,10
br1,ABC,13,10
br1,SMABC,13,10
br1,PSO,14,10
br1,GA,14,10
br1,ABC,14,10
br1,SMABC,14,10
br1,PSO,15,10
br1,GA,15,10
br1,ABC,15,10
br1,SMABC,15,10
br1,PSO,16,10
br1,GA,16,10
br1,ABC,16,10
br1,SMABC,16,10
br1,PSO,17,10
br1,GA,17,10
br1,ABC,17,10
br1,SMABC,17,10
br1,PSO,18,10
br1,GA,18,10
br1,ABC,18,10
br1,SMABC,18,10
br1,PSO,19,10
br1,GA,19,10
br1,ABC,19,10
br1,SMABC,19,10
br1,PSO,20,10
br1,GA,20,10
br1,ABC,20,10
br1,SMABC,20,10
br1,PSO,21,10
br1,GA,21,10
br1,ABC,21,10
br1,SMABC,21,10
br1,PSO,22,10
br1,GA,22,10
br1,ABC,22,10
br1,SMABC,22,10
br1,PSO,23,10
br1,GA,23,10
br1,ABC,23,10
br1,SMABC,23,10
br1,PSO,24,10
br1,GA,24,10
br1,ABC,24,10
br1,SMABC,24,10
br1,PSO,25,10
br1,GA,25,10
br1,ABC,25,10
