bench,run,A_PSO,A_GA,A_ABC,A_SMABC,bestP_PSO,bestP_GA,bestP_ABC,bestP_SMABC
br1,1,10,10,10,10,4095,4095,4095,4095
br1,2,10,10,10,10,4095,4095,4095,4093
br1,3,10,10,10,10,4093,4095,4095,4095
br1,4,10,10,10,10,4093,4093,4093,4093
br1,5,10,10,10,10,4095,4093,4093,4095
br1,6,10,10,10,10,4093,4093,4095,4095
br1,7,10,10,10,10,4093,4095,4093,4093
br1,8,10,10,10,10,4095,4093,4093,4093
br1,9,10,10,10,10,4095,4095,4095,4093
br1,10,10,10,10,10,4093,4093,4093,4095
br1,11,10,10,10,10,4093,4095,4093,4095
br1,12,10,10,10,10,4095,4095,4095,4093
br1,13,10,10,10,10,4095,4095,4093,4095
br1,14,10,10,10,10,4095,4095,4093,4093
br1,15,10,10,10,10,4095,4095,4095,4095
br1,16,10,10,10,10,4093,4093,4095,4093
br1,17,10,10,10,10,4095,4093,4093,4093
br1,18,10,10,10,10,4093,4093,4093,4093
br1,19,10,10,10,10,4093,4095,4095,4093
br1,20,10,10,10,10,4095,4093,4095,4093
br2,1,10,10,10,10,4094,4094,4094,4094
br2,2,10,10,10,10,4095,4094,4094,4095
br2,3,10,10,10,10,4094,4094,4094,4094
br2,4,10,10,10,10,4095,4095,4094,4094
br2,5,10,10,10,10,4095,4095,4095,4094
br2,6,10,10,10,10,4094,4094,4095,4095
br2,7,10,10,10,10,4095,4094,4095,4094
br2,8,10,10,10,10,4095,4094,4095,4094
br2,9,10,10,10,10,4094,4095,4095,4094
br2,10,10,10,10,10,4095,4094,4095,4094
br2,11,10,10,10,10,4095,4095,4095,4094
br2,12,10,10,10,10,4095,4094,4094,4095
br2,13,10,10,10,10,4094,4094,4095,4094
br2,14,10,10,10,10,4095,4094,4094,4095
br2,15,10,10,10,10,4095,4094,4095,4094
br2,16,10,10,10,10,4094,4095,4095,4095
br2,17,10,10,10,10,4095,4094,4095,4094
br2,18,10,10,10,10,4095,4094,4094,4095
br2,19,10,10,10,10,4094,4094,4094,4095
br2,20,10,10,10,10,4094,4095,4094,4095
ex1010,1,6,6,6,6,1019,1017,1021,1023
ex1010,2,6,6,6,6,1022,1021,1020,1018
ex1010,3,6,6,6,6,1019,1021,1022,1018
ex1010,4,6,6,6,6,1017,1022,1023,1021
ex1010,5,6,6,6,6,1019,1018,1023,1017
ex1010,6,6,6,6,6,1022,1022,1019,1023
ex1010,7,6,6,6,6,1019,1020,1017,1022
ex1010,8,6,6,6,6,1020,1017,1016,1021
ex1010,9,6,6,6,6,1023,1021,1016,1020
ex1010,10,6,6,6,6,1021,1022,1021,1016
ex1010,11,6,6,6,6,1021,1016,1017,1022
ex1010,12,6,6,6,6,1021,1016,1018,1020
ex1010,13,6,6,6,6,1023,1020,1020,1018
ex1010,14,6,6,6,6,1016,1023,1018,1017
ex1010,15,6,6,6,6,1016,1020,1021,1017
ex1010,16,6,6,6,6,1016,1020,1017,1016
ex1010,17,6,6,6,6,1019,1023,1017,1020
ex1010,18,6,6,6,6,1022,1021,1018,1020
ex1010,19,6,6,6,6,1016,1017,1016,1019
ex1010,20,6,6,6,6,1019,1017,1017,1022
gary,1,13,13,13,13,32767,32767,32765,32765
gary,2,13,13,13,13,32767,32767,32765,32767
gary,3,13,13,13,13,32767,32765,32765,32767
gary,4,13,13,13,13,32765,32767,32765,32765
gary,5,13,13,13,13,32767,32767,32767,32767
gary,6,13,13,13,13,32767,32765,32765,32767
gary,7,13,13,13,13,32767,32765,32765,32765
gary,8,13,13,13,13,32765,32765,32767,32765
gary,9,13,13,13,13,32767,32767,32765,32767
gary,10,13,13,13,13,32765,32765,32765,32767
gary,11,13,13,13,13,32765,32767,32767,32765
gary,12,13,13,13,13,32765,32765,32767,32767
gary,13,13,13,13,13,32767,32765,32765,32765
gary,14,13,13,13,13,32767,32767,32767,32767
gary,15,13,13,13,13,32765,32765,32767,32767
gary,16,13,13,13,13,32765,32767,32765,32765
gary,17,13,13,13,13,32767,32765,32765,32765
gary,18,13,13,13,13,32767,32765,32767,32767
gary,19,13,13,13,13,32765,32765,32767,32765
gary,20,13,13,13,13,32767,32765,32765,32767
in0,1,12,12,12,12,32765,32766,32767,32767
in0,2,12,12,12,12,32766,32765,32764,32766
in0,3,12,12,12,12,32766,32766,32764,32767
in0,4,12,12,12,12,32767,32765,32767,32766
in0,5,12,12,12,12,32766,32764,32765,32766
in0,6,12,12,12,12,32765,32766,32767,32766
in0,7,12,12,12,12,32764,32767,32765,32767
in0,8,12,12,12,12,32767,32767,32764,32764
in0,9,12,12,12,12,32765,32766,32767,32766
in0,10,12,12,12,12,32765,32766,32767,32764
in0,11,12,12,12,12,32766,32766,32767,32765
in0,12,12,12,12,12,32767,32767,32765,32766
in0,13,12,12,12,12,32764,32767,32765,32765
in0,14,12,12,12,12,32765,32765,32767,32764
in0,15,12,12,12,12,32764,32767,32767,32766
in0,16,12,12,12,12,32766,32767,32765,32765
in0,17,12,12,12,12,32767,32764,32766,32766
in0,18,12,12,12,12,32764,32764,32765,32766
in0,19,12,12,12,12,32764,32766,32765,32766
in0,20,12,12,12,12,32765,32766,32765,32766
in2,1,53,35,35,35,524284,524286,524286,524286
in2,2,35,35,35,35,524286,524286,524286,524286
in2,3,53,35,35,35,524284,524286,524286,524286
in2,4,54,35,35,35,524285,524286,524286,524286
in2,5,35,35,35,35,524286,524286,524286,524286
in2,6,35,35,35,35,524286,524286,524286,524286
in2,7,35,35,35,35,524286,524286,524286,524286
in2,8,35,35,35,35,524286,524286,524286,524286
in2,9,35,35,35,35,524286,524286,524286,524286
in2,10,69,35,35,35,524254,524286,524286,524286
in2,11,35,35,35,35,524286,524286,524286,524286
in2,12,69,35,35,35,507902,524286,524286,524286
in2,13,69,35,35,35,524254,524286,524286,524286
in2,14,69,35,35,35,507902,524286,524286,524286
in2,15,35,35,35,35,524286,524286,524286,524286
in2,16,35,35,35,35,524286,524286,524286,524286
in2,17,35,35,35,35,524286,524286,524286,524286
in2,18,35,35,35,35,524286,524286,524286,524286
in2,19,53,35,35,35,524284,524286,524286,524286
in2,20,35,35,35,35,524286,524286,524286,524286
misex3,1,13,13,13,13,16383,16383,16383,16383
misex3,2,13,13,13,13,16383,16383,16383,16383
misex3,3,13,13,13,13,16383,16383,16383,16383
misex3,4,13,13,13,13,16383,16383,16383,16383
misex3,5,13,13,13,13,16383,16383,16383,16383
misex3,6,13,13,13,13,16383,16383,16383,16383
misex3,7,13,13,13,13,16383,16383,16383,16383
misex3,8,13,13,13,13,16383,16383,16383,16383
misex3,9,13,13,13,13,16383,16383,16383,16383
misex3,10,13,13,13,13,16383,16383,16383,16383
misex3,11,13,13,13,13,16383,16383,16383,16383
misex3,12,13,13,13,13,16383,16383,16383,16383
misex3,13,13,13,13,13,16383,16383,16383,16383
misex3,14,13,13,13,13,16383,16383,16383,16383
misex3,15,13,13,13,13,16383,16383,16383,16383
misex3,16,13,13,13,13,16383,16383,16383,16383
misex3,17,13,13,13,13,16383,16383,16383,16383
misex3,18,13,13,13,13,16383,16383,16383,16383
misex3,19,13,13,13,13,16383,16383,16383,16383
misex3,20,13,13,13,13,16383,16383,16383,16383
rd84,1,14,14,14,14,240,240,253,251
rd84,2,14,14,14,14,248,254,254,253
rd84,3,14,14,14,14,254,254,240,248
rd84,4,14,14,14,14,240,245,243,240
rd84,5,14,14,14,14,254,248,251,248
rd84,6,14,14,14,14,251,240,246,240
rd84,7,14,14,14,14,248,246,240,245
rd84,8,14,14,14,14,243,251,246,240
rd84,9,14,14,14,14,253,248,251,243
rd84,10,14,14,14,14,248,245,246,253
rd84,11,14,14,14,14,251,246,245,240
rd84,12,14,14,14,14,240,248,246,248
rd84,13,14,14,14,14,245,253,253,253
rd84,14,14,14,14,14,245,253,248,240
rd84,15,14,14,14,14,248,251,251,240
rd84,16,14,14,14,14,245,254,245,254
rd84,17,14,14,14,14,254,251,248,254
rd84,18,14,14,14,14,254,248,240,253
rd84,19,14,14,14,14,245,251,243,240
rd84,20,14,14,14,14,245,251,245,240
t2,1,15,15,15,15,131071,131069,131071,131069
t2,2,30,15,15,15,114685,131069,131071,131071
t2,3,15,15,15,15,131069,131071,131071,131069
t2,4,15,15,15,15,131071,131069,131071,131071
t2,5,15,15,15,15,131071,131069,131069,131071
t2,6,15,15,15,15,131071,131071,131071,131071
t2,7,30,15,15,15,131037,131071,131069,131069
t2,8,15,15,15,15,131071,131069,131069,131069
t2,9,15,15,15,15,131071,131069,131071,131071
t2,10,15,15,15,15,131071,131071,131071,131069
t2,11,15,15,15,15,131069,131069,131069,131071
t2,12,15,15,15,15,131069,131069,131069,131069
t2,13,15,15,15,15,131071,131071,131071,131071
t2,14,15,15,15,15,131071,131069,131069,131069
t2,15,15,15,15,15,131071,131069,131069,131069
t2,16,15,15,15,15,131071,131071,131069,131069
t2,17,15,15,15,15,131071,131069,131071,131071
t2,18,15,15,15,15,131071,131069,131069,131069
t2,19,15,15,15,15,131071,131071,131071,131071
t2,20,15,15,15,15,131071,131069,131069,131069
table3,1,25,25,25,25,16380,16380,16380,16380
table3,2,25,25,25,25,16380,16380,16380,16380
table3,3,25,25,25,25,16380,16380,16380,16380
table3,4,25,25,25,25,16380,16380,16380,16380
table3,5,25,25,25,25,16380,16380,16380,16380
table3,6,25,25,25,25,16380,16380,16380,16380
table3,7,25,25,25,25,16380,16380,16380,16380
table3,8,25,25,25,25,16380,16380,16380,16380
table3,9,25,25,25,25,16380,16380,16380,16380
table3,10,25,25,25,25,16380,16380,16380,16380
table3,11,25,25,25,25,16380,16380,16380,16380
table3,12,25,25,25,25,16380,16380,16380,16380
table3,13,25,25,25,25,16380,16380,16380,16380
table3,14,25,25,25,25,16380,16380,16380,16380
table3,15,25,25,25,25,16380,16380,16380,16380
table3,16,25,25,25,25,16380,16380,16380,16380
table3,17,25,25,25,25,16380,16380,16380,16380
table3,18,25,25,25,25,16380,16380,16380,16380
table3,19,25,25,25,25,16380,16380,16380,16380
table3,20,25,25,25,25,16380,16380,16380,16380
