bench,raw_map_area,raw_map_delay,raw_map_runtime_sec,opt_map_area,opt_map_delay,opt_map_runtime_sec,raw_flow_area,raw_flow_delay,raw_flow_runtime_sec,opt_flow_area,opt_flow_delay,opt_flow_runtime_sec,raw_map_rc,opt_map_rc,raw_flow_rc,opt_flow_rc,raw_flow_mode,opt_flow_mode,raw_map_log,opt_map_log,raw_flow_log,opt_flow_log
br1,8.24,146.57,0.170,10.36,165.13,0.161,5.84,120.61,0.696,6.64,116.81,0.836,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br1_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br1_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br1_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br1_opt_flow.log
br2,8.24,146.57,0.158,10.36,169.45,0.155,5.84,120.61,0.668,10.36,169.45,0.159,0,0,0,0,phymid,phymid_fallback_map,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/br2_opt_flow_fallback_map.log
ex1010,4.78,92.63,0.159,17.01,192.74,0.155,3.98,82.87,0.548,4.53,76.60,0.610,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/ex1010_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/ex1010_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/ex1010_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/ex1010_opt_flow.log
gary,9.30,174.77,0.156,13.81,209.03,0.149,7.70,97.14,0.871,7.44,135.76,0.892,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/gary_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/gary_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/gary_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/gary_opt_flow.log
in0,9.03,165.58,0.153,13.81,210.08,0.157,6.38,120.61,0.788,7.17,135.76,0.830,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in0_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in0_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in0_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in0_opt_flow.log
in2,12.75,239.41,0.162,13.81,240.17,0.157,11.16,106.48,1.047,9.84,142.13,1.267,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/in2_opt_flow.log
misex3,9.30,174.77,0.149,9.30,174.77,0.148,7.70,97.14,0.831,7.70,97.14,0.880,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/misex3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/misex3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/misex3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/misex3_opt_flow.log
rd84,10.36,142.25,1.705,21.55,195.49,0.175,9.57,122.43,0.746,9.04,109.60,0.684,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/rd84_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/rd84_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/rd84_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/rd84_opt_flow.log
t2,9.83,208.71,0.156,14.35,227.41,0.149,8.25,109.68,1.014,8.77,102.40,0.938,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/t2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/t2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/t2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/t2_opt_flow.log
table3,9.30,168.59,0.156,9.29,182.21,0.177,8.24,111.00,1.051,6.63,116.49,1.268,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/table3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/table3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/table3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out/logs/table3_opt_flow.log
