objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
21,NODE,n21,1,pi13,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.000000,8.000000,14,-1
22,NODE,n22,1,pi16,,1,1.000000,8.000000,7.000000,1,1.00,INV_X1,0.125000,7.000000,17,-1
23,NODE,n23,1,pi12,,1,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.250000,6.000000,13,-1
24,NODE,n24,1,pi10,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.750000,2.000000,11,-1
25,NODE,n25,1,pi02,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.875000,1.000000,3,-1
26,NODE,n26,1,pi00,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,1,-1
27,NODE,n27,1,pi03,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
28,NODE,n28,2,n26,n27,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,26,27
29,NODE,n29,2,n25,n28,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,25,28
30,NODE,n30,2,n24,n29,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,24,29
31,NODE,n31,1,pi11,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.750000,2.000000,12,-1
32,NODE,n32,1,pi04,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.875000,1.000000,5,-1
33,NODE,n33,1,pi01,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
34,NODE,n34,1,pi05,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
35,NODE,n35,2,n33,n34,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,33,34
36,NODE,n36,2,n32,n35,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,32,35
37,NODE,n37,2,n31,n36,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,31,36
38,NODE,n38,2,n30,n37,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,30,37
39,NODE,n39,1,pi06,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.750000,2.000000,7,-1
40,NODE,n40,1,pi07,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.750000,2.000000,8,-1
41,NODE,n41,2,n39,n40,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.750000,2.000000,39,40
42,NODE,n42,1,pi08,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.750000,2.000000,9,-1
43,NODE,n43,1,pi09,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.750000,2.000000,10,-1
44,NODE,n44,2,n42,n43,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.750000,2.000000,42,43
45,NODE,n45,2,n41,n44,1,3.000000,5.000000,2.000000,3,1.00,AND2_X1,0.750000,2.000000,41,44
46,NODE,n46,2,n38,n45,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,38,45
47,NODE,n47,1,pi14,,1,1.000000,5.000000,4.000000,1,1.00,INV_X1,0.500000,4.000000,15,-1
48,NODE,n48,1,pi15,,1,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.625000,3.000000,16,-1
49,NODE,n49,1,pi17,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.750000,2.000000,18,-1
50,NODE,n50,2,n49,pi18,1,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.750000,2.000000,49,19
51,NODE,n51,2,n48,n50,1,3.000000,5.000000,2.000000,3,1.00,AND2_X1,0.750000,2.000000,48,50
52,NODE,n52,2,n47,n51,1,4.000000,6.000000,2.000000,4,1.00,AND2_X1,0.750000,2.000000,47,51
53,NODE,n53,2,n46,n52,1,7.000000,7.000000,0.000000,7,1.00,AND2_X1,1.000000,0.000000,46,52
54,NODE,n54,2,n23,n53,1,8.000000,8.000000,0.000000,8,1.00,AND2_X1,1.000000,0.000000,23,53
55,NODE,n55,2,n22,n54,1,9.000000,9.000000,0.000000,9,1.00,AND2_X1,1.000000,0.000000,22,54
56,NODE,n56,2,n21,n55,1,10.000000,10.000000,0.000000,10,1.00,AND2_X1,1.000000,0.000000,21,55
