objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
10,NODE,n10,1,pi0,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,1,-1
11,NODE,n11,1,pi1,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,2,-1
12,NODE,n12,2,n10,n11,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.666667,1.000000,10,11
13,NODE,n13,1,pi2,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,3,-1
14,NODE,n14,1,pi3,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,4,-1
15,NODE,n15,2,n13,n14,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.666667,1.000000,13,14
16,NODE,n16,2,n12,n15,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.666667,1.000000,12,15
17,NODE,n17,1,pi7,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
18,NODE,n18,2,pi6,n17,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,7,17
19,NODE,n19,1,pi6,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
20,NODE,n20,2,n19,pi7,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,19,8
21,NODE,n21,2,n18,n20,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,18,20
22,NODE,n22,2,pi5,n21,1,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,6,21
23,NODE,n23,2,n16,n22,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,16,22
24,NODE,n24,1,pi5,,1,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.000000,3.000000,6,-1
25,NODE,n25,1,n21,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,21,-1
26,NODE,n26,2,n24,n25,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,24,25
27,NODE,n27,2,n23,n26,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,23,26
