objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
16,NODE,n16,1,pi13,,2,1.000000,6.000000,5.000000,1,1.00,INV_X1,0.000000,5.000000,14,-1
17,NODE,n17,1,pi12,,1,1.000000,5.000000,4.000000,1,1.00,INV_X1,0.200000,4.000000,13,-1
18,NODE,n18,1,pi10,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.800000,1.000000,11,-1
19,NODE,n19,1,pi03,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
20,NODE,n20,1,pi04,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
21,NODE,n21,2,n19,n20,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,19,20
22,NODE,n22,2,n18,n21,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,18,21
23,NODE,n23,1,pi09,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.800000,1.000000,10,-1
24,NODE,n24,1,pi06,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
25,NODE,n25,1,pi07,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
26,NODE,n26,2,n24,n25,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,24,25
27,NODE,n27,2,n23,n26,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,23,26
28,NODE,n28,2,n22,n27,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,22,27
29,NODE,n29,1,pi11,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.800000,1.000000,12,-1
30,NODE,n30,1,pi00,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,1,-1
31,NODE,n31,1,pi08,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
32,NODE,n32,2,n30,n31,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,30,31
33,NODE,n33,2,n29,n32,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,29,32
34,NODE,n34,1,pi01,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.800000,1.000000,2,-1
35,NODE,n35,1,pi02,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
36,NODE,n36,1,pi05,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
37,NODE,n37,2,n35,n36,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,35,36
38,NODE,n38,2,n34,n37,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,34,37
39,NODE,n39,2,n33,n38,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,33,38
40,NODE,n40,2,n28,n39,2,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,28,39
41,NODE,n41,2,n17,n40,2,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,17,40
42,NODE,n42,2,n16,n41,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,16,41
43,NODE,n43,2,pi13,n41,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,14,41
44,NODE,n44,2,n42,n43,1,8.000000,8.000000,0.000000,8,1.00,AND2_X1,1.000000,0.000000,42,43
45,NODE,n45,2,pi12,n40,1,6.000000,7.000000,1.000000,6,1.00,AND2_X1,0.800000,1.000000,13,40
46,NODE,n46,2,n16,n45,1,7.000000,8.000000,1.000000,7,1.00,NAND2_X1,0.800000,1.000000,16,45
47,NODE,n47,2,n44,n46,1,9.000000,9.000000,0.000000,9,1.00,NAND2_X1,1.000000,0.000000,44,46
