bench,raw_map_area,raw_map_delay,raw_map_runtime_sec,opt_map_area,opt_map_delay,opt_map_runtime_sec,raw_flow_area,raw_flow_delay,raw_flow_runtime_sec,opt_flow_area,opt_flow_delay,opt_flow_runtime_sec,raw_map_rc,opt_map_rc,raw_flow_rc,opt_flow_rc,raw_flow_mode,opt_flow_mode,raw_map_log,opt_map_log,raw_flow_log,opt_flow_log
br1,NA,NA,0.673,NA,NA,0.567,NA,NA,0.574,NA,NA,0.553,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br1_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br1_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br1_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br1_opt_flow.log
br2,NA,NA,0.540,NA,NA,0.633,NA,NA,0.571,NA,NA,0.550,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/br2_opt_flow.log
ex1010,NA,NA,0.577,NA,NA,0.586,NA,NA,0.544,NA,NA,0.580,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/ex1010_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/ex1010_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/ex1010_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/ex1010_opt_flow.log
gary,NA,NA,0.562,NA,NA,0.542,NA,NA,0.586,NA,NA,0.534,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/gary_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/gary_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/gary_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/gary_opt_flow.log
in0,NA,NA,0.535,NA,NA,0.592,NA,NA,0.587,NA,NA,0.577,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in0_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in0_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in0_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in0_opt_flow.log
in2,NA,NA,0.552,NA,NA,0.532,NA,NA,0.584,NA,NA,0.571,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/in2_opt_flow.log
misex3,NA,NA,0.593,NA,NA,0.621,NA,NA,0.562,NA,NA,0.568,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/misex3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/misex3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/misex3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/misex3_opt_flow.log
rd84,NA,NA,0.600,NA,NA,0.554,NA,NA,0.542,NA,NA,0.608,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/rd84_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/rd84_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/rd84_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/rd84_opt_flow.log
t2,NA,NA,0.548,NA,NA,0.557,NA,NA,0.533,NA,NA,0.553,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/t2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/t2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/t2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/t2_opt_flow.log
table3,NA,NA,0.581,NA,NA,0.555,NA,NA,0.595,NA,NA,0.551,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/table3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/table3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/table3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_asap7_orfs_RVT_FF/logs/table3_opt_flow.log
