objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
14,NODE,n14,1,pi05,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,1.000000,6,-1
15,NODE,n15,1,pi07,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,8,-1
16,NODE,n16,1,pi10,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,11,-1
17,NODE,n17,2,n15,n16,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,15,16
18,NODE,n18,2,n14,n17,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,14,17
19,NODE,n19,1,pi00,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,1.000000,1,-1
20,NODE,n20,1,pi01,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,2,-1
21,NODE,n21,1,pi03,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,4,-1
22,NODE,n22,2,n20,n21,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,20,21
23,NODE,n23,2,n19,n22,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,19,22
24,NODE,n24,2,n18,n23,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,18,23
25,NODE,n25,1,pi04,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,1.000000,5,-1
26,NODE,n26,1,pi06,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,1.000000,7,-1
27,NODE,n27,2,n25,n26,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,1.000000,25,26
28,NODE,n28,1,pi02,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,1.000000,3,-1
29,NODE,n29,1,pi08,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,9,-1
30,NODE,n30,1,pi09,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,10,-1
31,NODE,n31,2,n29,n30,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,29,30
32,NODE,n32,2,n28,n31,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,28,31
33,NODE,n33,2,n27,n32,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,27,32
34,NODE,n34,2,n24,n33,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,24,33
