objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
21,NODE,n21,1,pi18,,2,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,7.000000,19,-1
22,NODE,n22,1,pi17,,1,1.000000,7.000000,6.000000,1,1.00,INVx1_ASAP7_75t_R,0.142857,6.000000,18,-1
23,NODE,n23,1,pi16,,1,1.000000,6.000000,5.000000,1,1.00,INVx1_ASAP7_75t_R,0.285714,5.000000,17,-1
24,NODE,n24,1,pi02,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.857143,1.000000,3,-1
25,NODE,n25,1,pi00,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,1,-1
26,NODE,n26,1,pi01,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,2,-1
27,NODE,n27,2,n25,n26,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,25,26
28,NODE,n28,2,n24,n27,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,24,27
29,NODE,n29,1,pi03,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.857143,1.000000,4,-1
30,NODE,n30,1,pi04,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.857143,1.000000,5,-1
31,NODE,n31,2,n29,n30,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.857143,1.000000,29,30
32,NODE,n32,2,n28,n31,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,28,31
33,NODE,n33,1,pi15,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.714286,2.000000,16,-1
34,NODE,n34,1,pi07,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.857143,1.000000,8,-1
