objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
19,NODE,n19,1,pi12,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,13,-1
20,NODE,n20,1,pi16,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,17,-1
21,NODE,n21,2,n19,n20,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,19,20
22,NODE,n22,1,pi06,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,7,-1
23,NODE,n23,1,pi13,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,14,-1
24,NODE,n24,2,n22,n23,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,22,23
25,NODE,n25,2,n21,n24,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,21,24
26,NODE,n26,1,pi02,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,3,-1
27,NODE,n27,1,pi03,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,4,-1
28,NODE,n28,1,pi00,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,1,-1
29,NODE,n29,1,pi01,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,2,-1
30,NODE,n30,2,n28,n29,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,28,29
31,NODE,n31,2,n27,n30,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,27,30
32,NODE,n32,2,n26,n31,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,26,31
33,NODE,n33,2,n25,n32,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,25,32
34,NODE,n34,1,pi09,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,10,-1
35,NODE,n35,1,pi07,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,8,-1
36,NODE,n36,1,pi08,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,9,-1
37,NODE,n37,2,n35,n36,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,35,36
38,NODE,n38,2,n34,n37,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,34,37
39,NODE,n39,1,pi10,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,11,-1
40,NODE,n40,1,pi11,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,12,-1
41,NODE,n41,2,n39,n40,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,39,40
42,NODE,n42,1,pi14,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,15,-1
43,NODE,n43,1,pi04,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,5,-1
44,NODE,n44,1,pi05,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,6,-1
45,NODE,n45,2,n43,n44,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,43,44
46,NODE,n46,2,n42,n45,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,42,45
47,NODE,n47,2,n41,n46,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,41,46
48,NODE,n48,2,n38,n47,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,38,47
49,NODE,n49,2,n33,n48,1,6.000000,6.000000,0.000000,6,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,33,48
