objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
19,NODE,n19,1,pi06,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,7,-1
20,NODE,n20,1,pi02,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,3,-1
21,NODE,n21,1,pi03,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,4,-1
22,NODE,n22,2,n20,n21,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,20,21
23,NODE,n23,2,n19,n22,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,19,22
24,NODE,n24,1,pi05,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,6,-1
25,NODE,n25,1,pi07,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,8,-1
26,NODE,n26,2,n24,n25,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.666667,1.000000,24,25
27,NODE,n27,2,n23,n26,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,23,26
28,NODE,n28,1,pi08,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,9,-1
29,NODE,n29,1,pi09,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,10,-1
30,NODE,n30,2,n28,n29,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.666667,1.000000,28,29
31,NODE,n31,1,pi04,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,5,-1
32,NODE,n32,1,pi00,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,1,-1
33,NODE,n33,1,pi01,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,2,-1
34,NODE,n34,2,n32,n33,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,32,33
35,NODE,n35,2,n31,n34,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,31,34
36,NODE,n36,2,n30,n35,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,30,35
37,NODE,n37,2,n27,n36,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,27,36
38,NODE,n38,1,pi10,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,11,-1
39,NODE,n39,1,pi16,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,17,-1
40,NODE,n40,2,n38,n39,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,38,39
41,NODE,n41,2,n37,n40,1,6.000000,6.000000,0.000000,6,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,37,40
42,NODE,n42,1,pi11,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,12,-1
43,NODE,n43,1,pi12,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,13,-1
44,NODE,n44,2,n42,n43,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,42,43
45,NODE,n45,1,pi13,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,14,-1
46,NODE,n46,1,pi14,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,15,-1
47,NODE,n47,2,n45,n46,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,45,46
48,NODE,n48,2,n44,n47,1,3.000000,6.000000,3.000000,3,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,44,47
49,NODE,n49,2,n41,n48,1,7.000000,7.000000,0.000000,7,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,41,48
