objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
19,NODE,n19,1,pi01,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,2,-1
20,NODE,n20,1,pi07,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,8,-1
21,NODE,n21,2,n19,n20,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,19,20
22,NODE,n22,1,pi00,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,1,-1
23,NODE,n23,1,pi02,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,3,-1
24,NODE,n24,2,n22,n23,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,22,23
25,NODE,n25,2,n21,n24,1,3.000000,6.000000,3.000000,3,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,21,24
26,NODE,n26,1,pi15,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,16,-1
27,NODE,n27,1,pi16,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,17,-1
28,NODE,n28,2,n26,n27,1,2.000000,3.000000,1.000000,2,1.00,NAND2xp33_ASAP7_75t_R,0.666667,1.000000,26,27
29,NODE,n29,2,pi15,pi16,1,1.000000,3.000000,2.000000,1,1.00,NAND2xp33_ASAP7_75t_R,0.333333,2.000000,16,17
30,NODE,n30,2,n28,n29,1,3.000000,4.000000,1.000000,3,1.00,NAND2xp33_ASAP7_75t_R,0.666667,1.000000,28,29
31,NODE,n31,1,pi11,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,12,-1
32,NODE,n32,1,pi13,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,14,-1
33,NODE,n33,2,n31,n32,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,31,32
34,NODE,n34,1,pi03,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,4,-1
35,NODE,n35,1,pi14,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,15,-1
36,NODE,n36,2,n34,n35,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,34,35
37,NODE,n37,2,n33,n36,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,33,36
38,NODE,n38,1,pi08,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,9,-1
39,NODE,n39,1,pi09,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,10,-1
40,NODE,n40,2,n38,n39,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,38,39
41,NODE,n41,1,pi10,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,11,-1
42,NODE,n42,1,pi12,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,13,-1
43,NODE,n43,2,n41,n42,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,41,42
44,NODE,n44,2,n40,n43,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,40,43
45,NODE,n45,2,n37,n44,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,37,44
46,NODE,n46,2,n30,n45,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,30,45
47,NODE,n47,1,pi06,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,7,-1
48,NODE,n48,1,pi04,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,5,-1
49,NODE,n49,1,pi05,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,6,-1
50,NODE,n50,2,n48,n49,1,2.000000,4.000000,2.000000,2,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,48,49
51,NODE,n51,2,n47,n50,1,3.000000,5.000000,2.000000,3,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,47,50
52,NODE,n52,2,n46,n51,1,6.000000,6.000000,0.000000,6,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,46,51
53,NODE,n53,2,n25,n52,1,7.000000,7.000000,0.000000,7,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,25,52
