objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
24,NODE,n24,1,pi00,,1,1.000000,9.000000,8.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,8.000000,1,-1
25,NODE,n25,1,pi01,,1,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.125000,7.000000,2,-1
26,NODE,n26,1,pi02,,1,1.000000,7.000000,6.000000,1,1.00,INVx1_ASAP7_75t_R,0.250000,6.000000,3,-1
27,NODE,n27,1,pi03,,1,1.000000,6.000000,5.000000,1,1.00,INVx1_ASAP7_75t_R,0.375000,5.000000,4,-1
28,NODE,n28,1,pi12,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,13,-1
29,NODE,n29,1,pi17,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,18,-1
30,NODE,n30,2,n28,n29,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,28,29
31,NODE,n31,1,pi06,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,7,-1
32,NODE,n32,1,pi18,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,19,-1
33,NODE,n33,2,n31,n32,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,31,32
34,NODE,n34,2,n30,n33,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,30,33
35,NODE,n35,1,pi21,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,22,-1
36,NODE,n36,2,pi20,n35,1,2.000000,3.000000,1.000000,2,1.00,NAND2xp33_ASAP7_75t_R,0.875000,1.000000,21,35
37,NODE,n37,1,pi05,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,6,-1
38,NODE,n38,1,pi11,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,12,-1
39,NODE,n39,2,n37,n38,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,37,38
40,NODE,n40,2,n36,n39,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,36,39
41,NODE,n41,2,n34,n40,1,4.000000,5.000000,1.000000,4,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,34,40
42,NODE,n42,1,pi08,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,9,-1
43,NODE,n43,1,pi09,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,10,-1
44,NODE,n44,2,n42,n43,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,42,43
45,NODE,n45,1,pi04,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,5,-1
46,NODE,n46,1,pi10,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,11,-1
47,NODE,n47,2,n45,n46,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,45,46
48,NODE,n48,2,n44,n47,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,44,47
49,NODE,n49,1,pi19,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,20,-1
50,NODE,n50,1,pi13,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,14,-1
51,NODE,n51,1,pi14,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,15,-1
52,NODE,n52,2,n50,n51,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,50,51
