bench,raw_map_area,raw_map_delay,raw_map_runtime_sec,opt_map_area,opt_map_delay,opt_map_runtime_sec,raw_flow_area,raw_flow_delay,raw_flow_runtime_sec,opt_flow_area,opt_flow_delay,opt_flow_runtime_sec,raw_map_rc,opt_map_rc,raw_flow_rc,opt_flow_rc,raw_flow_mode,opt_flow_mode,raw_map_log,opt_map_log,raw_flow_log,opt_flow_log
br1,8.24,146.57,2.114,8.24,146.57,1.008,5.84,120.61,5.113,5.84,120.61,3.637,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br1_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br1_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br1_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br1_opt_flow.log
br2,8.24,146.57,0.945,8.24,146.57,1.503,5.84,120.61,8.443,5.84,120.61,11.926,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/br2_opt_flow.log
ex1010,4.78,92.63,2.094,4.78,92.63,2.971,3.98,82.87,7.431,3.98,82.87,3.502,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/ex1010_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/ex1010_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/ex1010_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/ex1010_opt_flow.log
gary,9.30,174.77,0.729,9.30,174.77,0.967,7.70,97.14,4.635,7.70,97.14,6.545,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/gary_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/gary_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/gary_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/gary_opt_flow.log
in0,9.03,165.58,1.816,9.03,165.58,1.407,6.38,120.61,7.042,6.38,120.61,5.555,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in0_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in0_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in0_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in0_opt_flow.log
in2,12.75,239.41,1.159,35.59,271.67,0.576,11.16,106.48,4.635,21.52,172.75,6.137,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/in2_opt_flow.log
misex3,9.30,174.77,0.541,9.30,174.77,0.560,7.70,97.14,4.348,7.70,97.14,4.412,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/misex3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/misex3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/misex3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/misex3_opt_flow.log
rd84,10.36,142.25,0.838,16.20,140.54,0.698,9.57,122.43,3.707,9.82,116.36,6.725,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/rd84_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/rd84_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/rd84_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/rd84_opt_flow.log
t2,9.83,208.71,0.809,9.83,208.71,1.230,8.25,109.68,4.825,8.25,109.68,4.614,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/t2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/t2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/t2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/t2_opt_flow.log
table3,9.30,168.59,0.651,25.50,205.81,0.626,8.24,111.00,4.193,8.24,97.14,5.411,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/table3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/table3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/table3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method/logs/table3_opt_flow.log
