objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
19,NODE,n19,1,pi09,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,10,-1
20,NODE,n20,1,pi11,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,12,-1
21,NODE,n21,1,pi12,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,13,-1
22,NODE,n22,1,pi13,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,14,-1
23,NODE,n23,2,n21,n22,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,21,22
24,NODE,n24,2,n20,n23,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,20,23
25,NODE,n25,2,n19,n24,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,19,24
26,NODE,n26,1,pi04,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,5,-1
27,NODE,n27,1,pi14,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,15,-1
28,NODE,n28,1,pi10,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,11,-1
29,NODE,n29,1,pi16,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,17,-1
30,NODE,n30,2,n28,n29,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,28,29
31,NODE,n31,2,n27,n30,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,27,30
32,NODE,n32,2,n26,n31,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,26,31
33,NODE,n33,2,n25,n32,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,25,32
34,NODE,n34,1,pi05,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,6,-1
35,NODE,n35,1,pi06,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,7,-1
36,NODE,n36,2,n34,n35,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.333333,2.000000,34,35
37,NODE,n37,1,pi07,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,8,-1
38,NODE,n38,1,pi08,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,9,-1
39,NODE,n39,2,n37,n38,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.333333,2.000000,37,38
40,NODE,n40,2,n36,n39,1,3.000000,5.000000,2.000000,3,1.00,AND2_X1,0.333333,2.000000,36,39
41,NODE,n41,2,n33,n40,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,33,40
42,NODE,n42,1,pi00,,1,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.000000,3.000000,1,-1
43,NODE,n43,1,pi01,,1,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.000000,3.000000,2,-1
44,NODE,n44,2,n42,n43,1,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.000000,3.000000,42,43
45,NODE,n45,1,pi02,,1,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.000000,3.000000,3,-1
46,NODE,n46,1,pi03,,1,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.000000,3.000000,4,-1
47,NODE,n47,2,n45,n46,1,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.000000,3.000000,45,46
48,NODE,n48,2,n44,n47,1,3.000000,6.000000,3.000000,3,1.00,AND2_X1,0.000000,3.000000,44,47
49,NODE,n49,2,n41,n48,1,7.000000,7.000000,0.000000,7,1.00,AND2_X1,1.000000,0.000000,41,48
