objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
24,NODE,n24,1,pi00,,1,1.000000,15.000000,14.000000,1,1.00,INV_X1,0.000000,14.000000,1,-1
25,NODE,n25,1,pi01,,1,1.000000,14.000000,13.000000,1,1.00,INV_X1,0.071429,13.000000,2,-1
26,NODE,n26,1,pi02,,1,1.000000,13.000000,12.000000,1,1.00,INV_X1,0.142857,12.000000,3,-1
27,NODE,n27,1,pi03,,1,1.000000,12.000000,11.000000,1,1.00,INV_X1,0.214286,11.000000,4,-1
28,NODE,n28,1,pi04,,1,1.000000,11.000000,10.000000,1,1.00,INV_X1,0.285714,10.000000,5,-1
29,NODE,n29,1,pi05,,1,1.000000,10.000000,9.000000,1,1.00,INV_X1,0.357143,9.000000,6,-1
30,NODE,n30,1,pi06,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.428571,8.000000,7,-1
31,NODE,n31,1,pi07,,1,1.000000,8.000000,7.000000,1,1.00,INV_X1,0.500000,7.000000,8,-1
32,NODE,n32,1,pi08,,1,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.571429,6.000000,9,-1
33,NODE,n33,1,pi09,,1,1.000000,6.000000,5.000000,1,1.00,INV_X1,0.642857,5.000000,10,-1
34,NODE,n34,1,pi10,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.857143,2.000000,11,-1
35,NODE,n35,1,pi11,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.857143,2.000000,12,-1
36,NODE,n36,2,n34,n35,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.857143,2.000000,34,35
37,NODE,n37,1,pi14,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.857143,2.000000,15,-1
38,NODE,n38,1,pi18,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.857143,2.000000,19,-1
39,NODE,n39,2,n37,n38,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.857143,2.000000,37,38
40,NODE,n40,2,n36,n39,1,3.000000,5.000000,2.000000,3,1.00,AND2_X1,0.857143,2.000000,36,39
41,NODE,n41,1,pi12,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.857143,2.000000,13,-1
42,NODE,n42,1,pi15,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.928571,1.000000,16,-1
43,NODE,n43,2,pi20,pi21,1,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,21,22
44,NODE,n44,2,pi20,n43,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,21,43
45,NODE,n45,2,n42,n44,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,42,44
46,NODE,n46,2,n41,n45,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,41,45
47,NODE,n47,1,pi13,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.857143,2.000000,14,-1
48,NODE,n48,1,pi16,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.928571,1.000000,17,-1
49,NODE,n49,1,pi17,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,18,-1
50,NODE,n50,1,pi19,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,20,-1
51,NODE,n51,2,n49,n50,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,49,50
52,NODE,n52,2,n48,n51,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,48,51
53,NODE,n53,2,n47,n52,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,47,52
54,NODE,n54,2,n46,n53,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,46,53
55,NODE,n55,2,n40,n54,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,40,54
56,NODE,n56,2,n33,n55,1,7.000000,7.000000,0.000000,7,1.00,AND2_X1,1.000000,0.000000,33,55
57,NODE,n57,2,n32,n56,1,8.000000,8.000000,0.000000,8,1.00,AND2_X1,1.000000,0.000000,32,56
58,NODE,n58,2,n31,n57,1,9.000000,9.000000,0.000000,9,1.00,AND2_X1,1.000000,0.000000,31,57
59,NODE,n59,2,n30,n58,1,10.000000,10.000000,0.000000,10,1.00,AND2_X1,1.000000,0.000000,30,58
60,NODE,n60,2,n29,n59,1,11.000000,11.000000,0.000000,11,1.00,AND2_X1,1.000000,0.000000,29,59
61,NODE,n61,2,n28,n60,1,12.000000,12.000000,0.000000,12,1.00,AND2_X1,1.000000,0.000000,28,60
62,NODE,n62,2,n27,n61,1,13.000000,13.000000,0.000000,13,1.00,AND2_X1,1.000000,0.000000,27,61
63,NODE,n63,2,n26,n62,1,14.000000,14.000000,0.000000,14,1.00,AND2_X1,1.000000,0.000000,26,62
64,NODE,n64,2,n25,n63,1,15.000000,15.000000,0.000000,15,1.00,AND2_X1,1.000000,0.000000,25,63
65,NODE,n65,2,n24,n64,1,16.000000,16.000000,0.000000,16,1.00,AND2_X1,1.000000,0.000000,24,64
