bench,raw_map_area,raw_map_delay,raw_map_runtime_sec,opt_map_area,opt_map_delay,opt_map_runtime_sec,raw_flow_area,raw_flow_delay,raw_flow_runtime_sec,opt_flow_area,opt_flow_delay,opt_flow_runtime_sec,raw_map_rc,opt_map_rc,raw_flow_rc,opt_flow_rc,raw_flow_mode,opt_flow_mode,raw_map_log,opt_map_log,raw_flow_log,opt_flow_log
br1,8.24,146.57,0.174,8.24,146.57,0.138,5.84,120.61,0.733,5.84,120.61,0.718,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br1_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br1_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br1_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br1_opt_flow.log
br2,8.24,146.57,0.143,8.24,146.57,0.147,5.84,120.61,0.717,5.84,120.61,0.860,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/br2_opt_flow.log
ex1010,4.78,92.63,0.160,4.78,92.63,0.146,3.98,82.87,0.527,3.98,82.87,0.554,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/ex1010_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/ex1010_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/ex1010_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/ex1010_opt_flow.log
gary,9.30,174.77,0.163,9.30,174.77,0.147,7.70,97.14,1.066,7.70,97.14,0.863,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/gary_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/gary_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/gary_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/gary_opt_flow.log
in0,9.03,165.58,0.167,9.03,165.58,0.159,6.38,120.61,0.926,6.38,120.61,0.921,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in0_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in0_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in0_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in0_opt_flow.log
in2,12.75,239.41,0.166,35.59,271.67,0.178,11.16,106.48,1.230,21.52,172.75,1.678,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/in2_opt_flow.log
misex3,9.30,174.77,0.208,9.30,174.77,0.242,7.70,97.14,1.157,7.70,97.14,1.114,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/misex3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/misex3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/misex3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/misex3_opt_flow.log
rd84,10.36,142.25,0.177,16.20,140.54,0.197,10.36,142.25,0.193,9.82,116.36,0.990,0,0,0,0,phymid_fallback_map,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/rd84_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/rd84_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/rd84_raw_flow_fallback_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/rd84_opt_flow.log
t2,9.83,208.71,0.245,9.83,208.71,0.200,8.25,109.68,1.166,8.25,109.68,1.043,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/t2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/t2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/t2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/t2_opt_flow.log
table3,9.30,168.59,1.197,25.50,205.81,0.184,8.24,111.00,1.099,8.24,97.14,0.938,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/table3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/table3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/table3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_45nm_runs20/logs/table3_opt_flow.log
