objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
17,NODE,n17,1,pi08,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,9,-1
18,NODE,n18,1,pi14,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,15,-1
19,NODE,n19,2,n17,n18,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.500000,1.000000,17,18
20,NODE,n20,1,pi09,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,10,-1
21,NODE,n21,1,pi10,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,11,-1
22,NODE,n22,1,pi11,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,12,-1
23,NODE,n23,2,n21,n22,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,21,22
24,NODE,n24,2,n20,n23,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,20,23
25,NODE,n25,2,n19,n24,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,19,24
26,NODE,n26,1,pi06,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.000000,2.000000,7,-1
27,NODE,n27,1,pi04,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,5,-1
28,NODE,n28,1,pi07,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,8,-1
29,NODE,n29,2,n27,n28,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.500000,1.000000,27,28
30,NODE,n30,2,n26,n29,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.500000,1.000000,26,29
31,NODE,n31,2,n25,n30,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,25,30
32,NODE,n32,1,pi12,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.000000,2.000000,13,-1
33,NODE,n33,1,pi00,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,1,-1
34,NODE,n34,1,pi05,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,6,-1
35,NODE,n35,2,n33,n34,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.500000,1.000000,33,34
36,NODE,n36,2,n32,n35,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.500000,1.000000,32,35
37,NODE,n37,1,pi01,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.000000,2.000000,2,-1
38,NODE,n38,1,pi02,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,3,-1
39,NODE,n39,1,pi03,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.500000,1.000000,4,-1
40,NODE,n40,2,n38,n39,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.500000,1.000000,38,39
41,NODE,n41,2,n37,n40,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.500000,1.000000,37,40
42,NODE,n42,2,n36,n41,1,4.000000,5.000000,1.000000,4,1.00,AND2_X1,0.500000,1.000000,36,41
43,NODE,n43,2,n31,n42,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,31,42
