objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
21,NODE,n21,1,pi07,,2,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.400000,6.000000,8,-1
22,NODE,n22,1,pi08,,2,1.000000,6.000000,5.000000,1,1.00,INV_X1,0.500000,5.000000,9,-1
23,NODE,n23,1,pi09,,2,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.400000,6.000000,10,-1
24,NODE,n24,1,pi10,,2,1.000000,5.000000,4.000000,1,1.00,INV_X1,0.600000,4.000000,11,-1
25,NODE,n25,1,pi11,,2,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.700000,3.000000,12,-1
26,NODE,n26,1,pi12,,2,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.700000,3.000000,13,-1
27,NODE,n27,1,pi13,,2,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.800000,2.000000,14,-1
28,NODE,n28,1,pi14,,2,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.900000,1.000000,15,-1
29,NODE,n29,1,pi15,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,16,-1
30,NODE,n30,1,pi16,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,17,-1
31,NODE,n31,2,n29,n30,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,29,30
32,NODE,n32,2,n28,n31,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,28,31
33,NODE,n33,2,n27,n32,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,27,32
34,NODE,n34,2,n26,n33,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,26,33
35,NODE,n35,2,n25,n34,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,25,34
36,NODE,n36,2,n24,n35,1,7.000000,7.000000,0.000000,7,1.00,AND2_X1,1.000000,0.000000,24,35
37,NODE,n37,2,n23,n36,1,8.000000,8.000000,0.000000,8,1.00,AND2_X1,1.000000,0.000000,23,36
38,NODE,n38,2,n22,n37,1,9.000000,9.000000,0.000000,9,1.00,AND2_X1,1.000000,0.000000,22,37
39,NODE,n39,2,n21,n38,2,10.000000,10.000000,0.000000,10,1.00,NAND2_X1,1.000000,0.000000,21,38
40,NODE,n40,1,n39,,1,11.000000,11.000000,0.000000,11,1.00,INV_X1,1.000000,0.000000,39,-1
41,NODE,n41,1,pi17,,1,1.000000,6.000000,5.000000,1,1.00,INV_X1,0.500000,5.000000,18,-1
42,NODE,n42,2,n41,pi18,1,2.000000,7.000000,5.000000,2,1.00,AND2_X1,0.500000,5.000000,41,19
43,NODE,n43,2,n30,n42,1,3.000000,8.000000,5.000000,3,1.00,AND2_X1,0.500000,5.000000,30,42
44,NODE,n44,2,n25,n28,1,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.700000,3.000000,25,28
45,NODE,n45,2,n24,n44,1,3.000000,6.000000,3.000000,3,1.00,AND2_X1,0.700000,3.000000,24,44
46,NODE,n46,2,n22,n45,1,4.000000,7.000000,3.000000,4,1.00,AND2_X1,0.700000,3.000000,22,45
47,NODE,n47,2,n21,n46,1,5.000000,8.000000,3.000000,5,1.00,AND2_X1,0.700000,3.000000,21,46
48,NODE,n48,2,n43,n47,1,6.000000,9.000000,3.000000,6,1.00,AND2_X1,0.700000,3.000000,43,47
49,NODE,n49,2,n23,n26,1,2.000000,8.000000,6.000000,2,1.00,AND2_X1,0.400000,6.000000,23,26
50,NODE,n50,2,n27,n29,1,2.000000,8.000000,6.000000,2,1.00,AND2_X1,0.400000,6.000000,27,29
51,NODE,n51,2,n49,n50,1,3.000000,9.000000,6.000000,3,1.00,AND2_X1,0.400000,6.000000,49,50
52,NODE,n52,2,n48,n51,2,7.000000,10.000000,3.000000,7,1.00,NAND2_X1,0.700000,3.000000,48,51
53,NODE,n53,2,n40,n52,1,12.000000,12.000000,0.000000,12,1.00,NAND2_X1,1.000000,0.000000,40,52
54,NODE,n54,1,n52,,1,8.000000,11.000000,3.000000,8,1.00,INV_X1,0.700000,3.000000,52,-1
55,NODE,n55,2,n39,n54,1,11.000000,12.000000,1.000000,11,1.00,NAND2_X1,0.900000,1.000000,39,54
56,NODE,n56,2,n53,n55,1,13.000000,13.000000,0.000000,13,1.00,NAND2_X1,1.000000,0.000000,53,55
57,NODE,n57,1,pi05,,1,1.000000,11.000000,10.000000,1,1.00,INV_X1,0.000000,10.000000,6,-1
58,NODE,n58,1,pi02,,1,1.000000,10.000000,9.000000,1,1.00,INV_X1,0.100000,9.000000,3,-1
59,NODE,n59,1,pi06,,1,1.000000,10.000000,9.000000,1,1.00,INV_X1,0.100000,9.000000,7,-1
60,NODE,n60,2,n58,n59,1,2.000000,11.000000,9.000000,2,1.00,AND2_X1,0.100000,9.000000,58,59
61,NODE,n61,2,n57,n60,1,3.000000,12.000000,9.000000,3,1.00,AND2_X1,0.100000,9.000000,57,60
62,NODE,n62,1,pi03,,1,1.000000,11.000000,10.000000,1,1.00,INV_X1,0.000000,10.000000,4,-1
63,NODE,n63,1,pi04,,1,1.000000,10.000000,9.000000,1,1.00,INV_X1,0.100000,9.000000,5,-1
64,NODE,n64,1,pi00,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.200000,8.000000,1,-1
65,NODE,n65,1,pi01,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.200000,8.000000,2,-1
66,NODE,n66,2,n64,n65,1,2.000000,10.000000,8.000000,2,1.00,AND2_X1,0.200000,8.000000,64,65
67,NODE,n67,2,n63,n66,1,3.000000,11.000000,8.000000,3,1.00,AND2_X1,0.200000,8.000000,63,66
68,NODE,n68,2,n62,n67,1,4.000000,12.000000,8.000000,4,1.00,AND2_X1,0.200000,8.000000,62,67
69,NODE,n69,2,n61,n68,1,5.000000,13.000000,8.000000,5,1.00,AND2_X1,0.200000,8.000000,61,68
70,NODE,n70,2,n56,n69,1,14.000000,14.000000,0.000000,14,1.00,AND2_X1,1.000000,0.000000,56,69
