objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
10,NODE,n10,1,pi2,,1,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.000000,6.000000,3,-1
11,NODE,n11,1,pi0,,1,1.000000,6.000000,5.000000,1,1.00,INV_X1,0.166667,5.000000,1,-1
12,NODE,n12,1,pi1,,1,1.000000,6.000000,5.000000,1,1.00,INV_X1,0.166667,5.000000,2,-1
13,NODE,n13,2,n11,n12,1,2.000000,7.000000,5.000000,2,1.00,AND2_X1,0.166667,5.000000,11,12
14,NODE,n14,2,n10,n13,1,3.000000,8.000000,5.000000,3,1.00,AND2_X1,0.166667,5.000000,10,13
15,NODE,n15,1,pi3,,3,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
16,NODE,n16,2,n15,pi5,2,2.000000,5.000000,3.000000,2,1.00,NAND2_X1,0.500000,3.000000,15,6
17,NODE,n17,1,n16,,1,3.000000,6.000000,3.000000,3,1.00,INV_X1,0.500000,3.000000,16,-1
18,NODE,n18,1,pi7,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
19,NODE,n19,2,n15,n18,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,15,18
20,NODE,n20,1,pi6,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
21,NODE,n21,2,n15,n20,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,15,20
22,NODE,n22,2,n19,n21,1,3.000000,4.000000,1.000000,3,1.00,NAND2_X1,0.833333,1.000000,19,21
23,NODE,n23,1,n19,,1,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,19,-1
24,NODE,n24,1,n21,,1,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,21,-1
25,NODE,n25,2,n23,n24,1,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,23,24
26,NODE,n26,2,n22,n25,2,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,22,25
27,NODE,n27,1,n26,,1,6.000000,6.000000,0.000000,6,1.00,INV_X1,1.000000,0.000000,26,-1
28,NODE,n28,2,n17,n27,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,17,27
29,NODE,n29,2,n16,n26,1,6.000000,7.000000,1.000000,6,1.00,NAND2_X1,0.833333,1.000000,16,26
30,NODE,n30,2,n28,n29,1,8.000000,8.000000,0.000000,8,1.00,AND2_X1,1.000000,0.000000,28,29
31,NODE,n31,2,n14,n30,1,9.000000,9.000000,0.000000,9,1.00,AND2_X1,1.000000,0.000000,14,30
