objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
16,NODE,n16,1,pi06,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,7,-1
17,NODE,n17,1,pi07,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
18,NODE,n18,1,pi08,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
19,NODE,n19,2,n17,n18,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,17,18
20,NODE,n20,2,n16,n19,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,16,19
21,NODE,n21,1,pi09,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,10,-1
22,NODE,n22,1,pi02,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
23,NODE,n23,1,pi04,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
24,NODE,n24,2,n22,n23,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,22,23
25,NODE,n25,2,n21,n24,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,21,24
26,NODE,n26,2,n20,n25,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,20,25
27,NODE,n27,1,pi10,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,11,-1
28,NODE,n28,1,pi11,,1,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.333333,2.000000,12,-1
29,NODE,n29,2,n27,n28,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.333333,2.000000,27,28
30,NODE,n30,2,n26,n29,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,26,29
31,NODE,n31,2,pi12,pi13,1,1.000000,4.000000,3.000000,1,1.00,NAND2_X1,0.000000,3.000000,13,14
32,NODE,n32,1,pi00,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,1,-1
33,NODE,n33,1,pi01,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,2,-1
34,NODE,n34,2,n32,n33,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.666667,1.000000,32,33
35,NODE,n35,1,pi03,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,4,-1
36,NODE,n36,1,pi05,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.666667,1.000000,6,-1
37,NODE,n37,2,n35,n36,1,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.666667,1.000000,35,36
38,NODE,n38,2,n34,n37,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.666667,1.000000,34,37
39,NODE,n39,2,n31,n38,1,4.000000,5.000000,1.000000,4,1.00,AND2_X1,0.666667,1.000000,31,38
40,NODE,n40,2,n30,n39,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,30,39
