objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
24,NODE,n24,1,pi07,,1,1.000000,12.000000,11.000000,1,1.00,INV_X1,0.000000,11.000000,8,-1
25,NODE,n25,1,pi02,,1,1.000000,11.000000,10.000000,1,1.00,INV_X1,0.090909,10.000000,3,-1
26,NODE,n26,1,pi03,,1,1.000000,11.000000,10.000000,1,1.00,INV_X1,0.090909,10.000000,4,-1
27,NODE,n27,2,n25,n26,1,2.000000,12.000000,10.000000,2,1.00,AND2_X1,0.090909,10.000000,25,26
28,NODE,n28,2,n24,n27,2,3.000000,13.000000,10.000000,3,1.00,AND2_X1,0.090909,10.000000,24,27
29,NODE,n29,1,pi11,,2,1.000000,8.000000,7.000000,1,1.00,INV_X1,0.363636,7.000000,12,-1
30,NODE,n30,1,pi16,,2,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.818182,2.000000,17,-1
31,NODE,n31,2,n29,n30,1,2.000000,11.000000,9.000000,2,1.00,AND2_X1,0.181818,9.000000,29,30
32,NODE,n32,1,pi00,,1,1.000000,8.000000,7.000000,1,1.00,INV_X1,0.363636,7.000000,1,-1
33,NODE,n33,1,pi01,,1,1.000000,8.000000,7.000000,1,1.00,INV_X1,0.363636,7.000000,2,-1
34,NODE,n34,2,n32,n33,2,2.000000,9.000000,7.000000,2,1.00,AND2_X1,0.363636,7.000000,32,33
35,NODE,n35,1,pi04,,2,1.000000,8.000000,7.000000,1,1.00,INV_X1,0.363636,7.000000,5,-1
36,NODE,n36,1,pi12,,2,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.454545,6.000000,13,-1
37,NODE,n37,1,pi13,,2,1.000000,6.000000,5.000000,1,1.00,INV_X1,0.545455,5.000000,14,-1
38,NODE,n38,1,pi14,,2,1.000000,5.000000,4.000000,1,1.00,INV_X1,0.636364,4.000000,15,-1
39,NODE,n39,2,n37,n38,1,2.000000,7.000000,5.000000,2,1.00,AND2_X1,0.545455,5.000000,37,38
40,NODE,n40,2,n36,n39,1,3.000000,8.000000,5.000000,3,1.00,AND2_X1,0.545455,5.000000,36,39
41,NODE,n41,2,n35,n40,1,4.000000,9.000000,5.000000,4,1.00,AND2_X1,0.545455,5.000000,35,40
42,NODE,n42,2,n34,n41,1,5.000000,10.000000,5.000000,5,1.00,AND2_X1,0.545455,5.000000,34,41
43,NODE,n43,2,pi20,n42,1,6.000000,11.000000,5.000000,6,1.00,AND2_X1,0.545455,5.000000,21,42
44,NODE,n44,2,n31,n43,1,7.000000,12.000000,5.000000,7,1.00,AND2_X1,0.545455,5.000000,31,43
