objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
12,NODE,n12,1,pi6,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,7,-1
13,NODE,n13,1,pi2,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,3,-1
14,NODE,n14,1,pi3,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,4,-1
15,NODE,n15,1,pi4,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,5,-1
16,NODE,n16,2,n14,n15,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,14,15
17,NODE,n17,2,n13,n16,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,13,16
18,NODE,n18,1,pi0,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,1,-1
19,NODE,n19,1,pi1,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,2,-1
20,NODE,n20,1,pi5,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,6,-1
21,NODE,n21,2,n19,n20,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,19,20
22,NODE,n22,2,n18,n21,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,18,21
23,NODE,n23,2,n17,n22,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,17,22
24,NODE,n24,2,n12,n23,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,12,23
