objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
21,NODE,n21,1,pi00,,1,1.000000,9.000000,8.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,8.000000,1,-1
22,NODE,n22,1,pi01,,1,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.125000,7.000000,2,-1
23,NODE,n23,1,pi02,,1,1.000000,7.000000,6.000000,1,1.00,INVx1_ASAP7_75t_R,0.250000,6.000000,3,-1
24,NODE,n24,1,pi03,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.625000,3.000000,4,-1
25,NODE,n25,1,pi04,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.625000,3.000000,5,-1
26,NODE,n26,2,n24,n25,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.625000,3.000000,24,25
27,NODE,n27,1,pi08,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.625000,3.000000,9,-1
28,NODE,n28,1,pi13,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.625000,3.000000,14,-1
29,NODE,n29,2,n27,n28,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.625000,3.000000,27,28
30,NODE,n30,2,n26,n29,1,3.000000,6.000000,3.000000,3,1.00,AND2x2_ASAP7_75t_R,0.625000,3.000000,26,29
31,NODE,n31,1,pi14,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,15,-1
32,NODE,n32,1,pi15,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,16,-1
33,NODE,n33,2,n31,n32,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,31,32
34,NODE,n34,1,pi06,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,7,-1
35,NODE,n35,1,pi16,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,17,-1
36,NODE,n36,2,n34,n35,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,34,35
37,NODE,n37,2,n33,n36,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,33,36
38,NODE,n38,1,pi17,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.750000,2.000000,18,-1
39,NODE,n39,2,n38,pi18,1,2.000000,4.000000,2.000000,2,1.00,NAND2xp33_ASAP7_75t_R,0.750000,2.000000,38,19
40,NODE,n40,2,n37,n39,1,4.000000,5.000000,1.000000,4,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,37,39
41,NODE,n41,1,pi07,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.625000,3.000000,8,-1
42,NODE,n42,1,pi05,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,6,-1
43,NODE,n43,1,pi09,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,10,-1
44,NODE,n44,2,n42,n43,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.875000,1.000000,42,43
45,NODE,n45,1,pi12,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.875000,1.000000,13,-1
46,NODE,n46,1,pi10,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,11,-1
47,NODE,n47,1,pi11,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,12,-1
48,NODE,n48,2,n46,n47,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,46,47
49,NODE,n49,2,n45,n48,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,45,48
50,NODE,n50,2,n44,n49,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,44,49
51,NODE,n51,2,n41,n50,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,41,50
52,NODE,n52,2,n40,n51,1,6.000000,6.000000,0.000000,6,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,40,51
53,NODE,n53,2,n30,n52,1,7.000000,7.000000,0.000000,7,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,30,52
54,NODE,n54,2,n23,n53,1,8.000000,8.000000,0.000000,8,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,23,53
55,NODE,n55,2,n22,n54,1,9.000000,9.000000,0.000000,9,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,22,54
56,NODE,n56,2,n21,n55,1,10.000000,10.000000,0.000000,10,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,21,55
