objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
16,NODE,n16,1,pi10,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,11,-1
17,NODE,n17,1,pi11,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,12,-1
18,NODE,n18,2,n16,n17,2,2.000000,3.000000,1.000000,2,1.00,NAND2xp33_ASAP7_75t_R,0.500000,1.000000,16,17
19,NODE,n19,1,n18,,1,3.000000,4.000000,1.000000,3,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,18,-1
20,NODE,n20,2,n17,pi13,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,17,14
21,NODE,n21,2,n16,pi12,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,16,13
22,NODE,n22,2,n20,n21,2,3.000000,3.000000,0.000000,3,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,20,21
23,NODE,n23,2,n19,n22,1,4.000000,5.000000,1.000000,4,1.00,NAND2xp33_ASAP7_75t_R,0.500000,1.000000,19,22
24,NODE,n24,1,n22,,1,4.000000,4.000000,0.000000,4,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,22,-1
25,NODE,n25,2,n18,n24,1,5.000000,5.000000,0.000000,5,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,18,24
26,NODE,n26,2,n23,n25,1,6.000000,6.000000,0.000000,6,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,23,25
27,NODE,n27,1,pi00,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,1,-1
28,NODE,n28,1,pi02,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,3,-1
29,NODE,n29,2,n27,n28,1,2.000000,4.000000,2.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,2.000000,27,28
30,NODE,n30,1,pi06,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,7,-1
31,NODE,n31,1,pi07,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,8,-1
32,NODE,n32,1,pi08,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,9,-1
33,NODE,n33,2,n31,n32,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,31,32
34,NODE,n34,2,n30,n33,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,30,33
35,NODE,n35,2,n29,n34,1,4.000000,5.000000,1.000000,4,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,29,34
36,NODE,n36,1,pi01,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,2,-1
37,NODE,n37,1,pi09,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,10,-1
38,NODE,n38,2,n36,n37,1,2.000000,4.000000,2.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,2.000000,36,37
39,NODE,n39,1,pi03,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,2.000000,4,-1
40,NODE,n40,1,pi04,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,5,-1
41,NODE,n41,1,pi05,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,6,-1
42,NODE,n42,2,n40,n41,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,40,41
43,NODE,n43,2,n39,n42,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,39,42
44,NODE,n44,2,n38,n43,1,4.000000,5.000000,1.000000,4,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,38,43
45,NODE,n45,2,n35,n44,1,5.000000,6.000000,1.000000,5,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,35,44
46,NODE,n46,2,n26,n45,1,7.000000,7.000000,0.000000,7,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,26,45
