bench,raw_map_area,raw_map_delay,raw_map_runtime_sec,opt_map_area,opt_map_delay,opt_map_runtime_sec,raw_flow_area,raw_flow_delay,raw_flow_runtime_sec,opt_flow_area,opt_flow_delay,opt_flow_runtime_sec,raw_map_rc,opt_map_rc,raw_flow_rc,opt_flow_rc,raw_flow_mode,opt_flow_mode,raw_map_log,opt_map_log,raw_flow_log,opt_flow_log
br1,0.44,67.85,0.707,0.44,67.85,0.723,0.33,51.86,1.596,0.33,51.86,1.619,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br1_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br1_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br1_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br1_opt_flow.log
br2,0.44,67.85,0.820,0.44,67.85,0.901,0.33,51.86,1.499,0.33,51.86,1.545,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/br2_opt_flow.log
ex1010,0.33,48.64,0.644,0.33,48.64,0.642,0.27,43.85,1.210,0.27,43.85,1.289,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/ex1010_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/ex1010_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/ex1010_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/ex1010_opt_flow.log
gary,0.68,92.28,0.690,0.68,92.28,0.639,0.38,51.86,2.130,0.38,51.86,2.913,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/gary_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/gary_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/gary_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/gary_opt_flow.log
in0,0.46,76.72,1.095,0.46,76.72,0.680,0.42,53.03,2.158,0.42,53.03,1.732,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in0_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in0_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in0_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in0_opt_flow.log
in2,0.83,120.63,0.735,2.25,141.03,1.034,0.61,72.24,3.650,1.42,85.87,3.681,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/in2_opt_flow.log
misex3,0.68,92.28,0.690,0.68,92.28,0.667,0.38,51.86,1.993,0.38,51.86,2.005,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/misex3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/misex3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/misex3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/misex3_opt_flow.log
rd84,0.67,74.40,0.697,1.32,76.31,0.745,0.59,48.65,2.667,0.70,58.18,1.770,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/rd84_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/rd84_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/rd84_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/rd84_opt_flow.log
t2,0.70,101.15,0.646,0.70,101.15,0.659,0.47,53.03,2.254,0.47,53.03,2.224,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/t2_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/t2_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/t2_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/t2_opt_flow.log
table3,0.67,87.26,0.599,1.64,113.81,0.629,0.45,49.24,1.779,0.38,51.86,2.037,0,0,0,0,phymid,phymid,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/table3_raw_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/table3_opt_map.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/table3_raw_flow.log,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/compare_4way_out_smabc_method_asap7_runs20/logs/table3_opt_flow.log
