objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
21,NODE,n21,1,pi00,,1,1.000000,11.000000,10.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,10.000000,1,-1
22,NODE,n22,1,pi01,,1,1.000000,10.000000,9.000000,1,1.00,INVx1_ASAP7_75t_R,0.100000,9.000000,2,-1
23,NODE,n23,1,pi02,,1,1.000000,10.000000,9.000000,1,1.00,INVx1_ASAP7_75t_R,0.100000,9.000000,3,-1
24,NODE,n24,2,n22,n23,1,2.000000,11.000000,9.000000,2,1.00,AND2x2_ASAP7_75t_R,0.100000,9.000000,22,23
25,NODE,n25,2,n21,n24,1,3.000000,12.000000,9.000000,3,1.00,AND2x2_ASAP7_75t_R,0.100000,9.000000,21,24
26,NODE,n26,1,pi03,,1,1.000000,11.000000,10.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,10.000000,4,-1
27,NODE,n27,1,pi04,,1,1.000000,10.000000,9.000000,1,1.00,INVx1_ASAP7_75t_R,0.100000,9.000000,5,-1
28,NODE,n28,1,pi05,,1,1.000000,10.000000,9.000000,1,1.00,INVx1_ASAP7_75t_R,0.100000,9.000000,6,-1
29,NODE,n29,2,n27,n28,1,2.000000,11.000000,9.000000,2,1.00,AND2x2_ASAP7_75t_R,0.100000,9.000000,27,28
30,NODE,n30,2,n26,n29,1,3.000000,12.000000,9.000000,3,1.00,AND2x2_ASAP7_75t_R,0.100000,9.000000,26,29
31,NODE,n31,2,n25,n30,1,4.000000,13.000000,9.000000,4,1.00,AND2x2_ASAP7_75t_R,0.100000,9.000000,25,30
32,NODE,n32,1,pi06,,1,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.300000,7.000000,7,-1
33,NODE,n33,1,pi08,,1,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.300000,7.000000,9,-1
34,NODE,n34,2,n32,n33,2,2.000000,9.000000,7.000000,2,1.00,AND2x2_ASAP7_75t_R,0.300000,7.000000,32,33
35,NODE,n35,1,pi12,,2,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.700000,3.000000,13,-1
36,NODE,n36,1,pi13,,2,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.800000,2.000000,14,-1
37,NODE,n37,2,n35,n36,1,2.000000,7.000000,5.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,5.000000,35,36
38,NODE,n38,1,pi14,,2,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.900000,1.000000,15,-1
39,NODE,n39,1,pi10,,2,1.000000,5.000000,4.000000,1,1.00,INVx1_ASAP7_75t_R,0.600000,4.000000,11,-1
40,NODE,n40,1,pi11,,2,1.000000,5.000000,4.000000,1,1.00,INVx1_ASAP7_75t_R,0.600000,4.000000,12,-1
41,NODE,n41,2,n39,n40,1,2.000000,6.000000,4.000000,2,1.00,AND2x2_ASAP7_75t_R,0.600000,4.000000,39,40
42,NODE,n42,2,n38,n41,1,3.000000,7.000000,4.000000,3,1.00,AND2x2_ASAP7_75t_R,0.600000,4.000000,38,41
43,NODE,n43,2,n37,n42,1,4.000000,8.000000,4.000000,4,1.00,AND2x2_ASAP7_75t_R,0.600000,4.000000,37,42
44,NODE,n44,1,pi15,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,16,-1
45,NODE,n45,1,pi16,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,17,-1
46,NODE,n46,1,pi17,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.700000,3.000000,18,-1
47,NODE,n47,2,n46,pi18,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.700000,3.000000,46,19
48,NODE,n48,2,n45,n47,1,3.000000,6.000000,3.000000,3,1.00,AND2x2_ASAP7_75t_R,0.700000,3.000000,45,47
49,NODE,n49,2,n44,n48,1,4.000000,7.000000,3.000000,4,1.00,AND2x2_ASAP7_75t_R,0.700000,3.000000,44,48
50,NODE,n50,1,pi07,,2,1.000000,6.000000,5.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,5.000000,8,-1
51,NODE,n51,1,pi09,,2,1.000000,6.000000,5.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,5.000000,10,-1
52,NODE,n52,2,n50,n51,1,2.000000,7.000000,5.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,5.000000,50,51
53,NODE,n53,2,n49,n52,1,5.000000,8.000000,3.000000,5,1.00,AND2x2_ASAP7_75t_R,0.700000,3.000000,49,52
54,NODE,n54,2,n43,n53,1,6.000000,9.000000,3.000000,6,1.00,AND2x2_ASAP7_75t_R,0.700000,3.000000,43,53
55,NODE,n55,2,n34,n54,2,7.000000,10.000000,3.000000,7,1.00,NAND2xp33_ASAP7_75t_R,0.700000,3.000000,34,54
56,NODE,n56,1,n55,,1,8.000000,11.000000,3.000000,8,1.00,INVx1_ASAP7_75t_R,0.700000,3.000000,55,-1
57,NODE,n57,2,n44,n45,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,44,45
58,NODE,n58,2,n38,n57,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,38,57
59,NODE,n59,2,n36,n58,1,4.000000,4.000000,0.000000,4,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,36,58
60,NODE,n60,2,n35,n59,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,35,59
61,NODE,n61,2,n40,n60,1,6.000000,6.000000,0.000000,6,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,40,60
62,NODE,n62,2,n39,n61,1,7.000000,7.000000,0.000000,7,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,39,61
63,NODE,n63,2,n51,n62,1,8.000000,8.000000,0.000000,8,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,51,62
64,NODE,n64,2,n50,n63,1,9.000000,9.000000,0.000000,9,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,50,63
65,NODE,n65,2,n34,n64,2,10.000000,10.000000,0.000000,10,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,34,64
66,NODE,n66,2,n56,n65,1,11.000000,12.000000,1.000000,11,1.00,NAND2xp33_ASAP7_75t_R,0.900000,1.000000,56,65
67,NODE,n67,1,n65,,1,11.000000,11.000000,0.000000,11,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,65,-1
68,NODE,n68,2,n55,n67,1,12.000000,12.000000,0.000000,12,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,55,67
69,NODE,n69,2,n66,n68,1,13.000000,13.000000,0.000000,13,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,66,68
70,NODE,n70,2,n31,n69,1,14.000000,14.000000,0.000000,14,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,31,69
