objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
10,NODE,n10,1,pi7,,2,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,8,-1
11,NODE,n11,2,pi6,n10,1,2.000000,3.000000,1.000000,2,1.00,NAND2xp33_ASAP7_75t_R,0.500000,1.000000,7,10
12,NODE,n12,1,pi5,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,6,-1
13,NODE,n13,1,pi6,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,7,-1
14,NODE,n14,2,n13,pi7,1,2.000000,2.000000,0.000000,2,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,13,8
15,NODE,n15,2,n12,n14,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,12,14
16,NODE,n16,2,n11,n15,1,4.000000,4.000000,0.000000,4,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,11,15
17,NODE,n17,1,pi0,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,1,-1
18,NODE,n18,1,pi1,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,2,-1
19,NODE,n19,2,n17,n18,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,17,18
20,NODE,n20,1,pi2,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,3,-1
21,NODE,n21,1,pi3,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.500000,1.000000,4,-1
22,NODE,n22,2,n20,n21,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,20,21
23,NODE,n23,2,n19,n22,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,19,22
24,NODE,n24,2,n16,n23,1,5.000000,5.000000,0.000000,5,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,16,23
25,NODE,n25,2,n13,n10,1,2.000000,3.000000,1.000000,2,1.00,NAND2xp33_ASAP7_75t_R,0.500000,1.000000,13,10
26,NODE,n26,2,pi6,pi7,1,1.000000,3.000000,2.000000,1,1.00,NAND2xp33_ASAP7_75t_R,0.000000,2.000000,7,8
27,NODE,n27,2,n25,n26,1,3.000000,4.000000,1.000000,3,1.00,AND2x2_ASAP7_75t_R,0.500000,1.000000,25,26
28,NODE,n28,2,pi5,n27,1,4.000000,5.000000,1.000000,4,1.00,NAND2xp33_ASAP7_75t_R,0.500000,1.000000,6,27
29,NODE,n29,2,n24,n28,1,6.000000,6.000000,0.000000,6,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,24,28
