objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
19,NODE,n19,1,pi08,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,9,-1
20,NODE,n20,1,pi10,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,11,-1
21,NODE,n21,2,n19,n20,1,2.000000,5.000000,3.000000,2,1.00,AND2x2_ASAP7_75t_R,0.000000,3.000000,19,20
22,NODE,n22,1,pi09,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,10,-1
23,NODE,n23,1,pi04,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,5,-1
24,NODE,n24,1,pi05,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,6,-1
25,NODE,n25,2,n23,n24,1,2.000000,4.000000,2.000000,2,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,23,24
26,NODE,n26,2,n22,n25,1,3.000000,5.000000,2.000000,3,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,22,25
27,NODE,n27,2,n21,n26,1,4.000000,6.000000,2.000000,4,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,21,26
28,NODE,n28,1,pi06,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,7,-1
29,NODE,n29,1,pi00,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,1,-1
30,NODE,n30,1,pi07,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,8,-1
31,NODE,n31,2,n29,n30,1,2.000000,4.000000,2.000000,2,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,29,30
32,NODE,n32,2,n28,n31,1,3.000000,5.000000,2.000000,3,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,28,31
33,NODE,n33,1,pi01,,1,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,3.000000,2,-1
34,NODE,n34,1,pi02,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,3,-1
35,NODE,n35,1,pi03,,1,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,2.000000,4,-1
36,NODE,n36,2,n34,n35,1,2.000000,4.000000,2.000000,2,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,34,35
37,NODE,n37,2,n33,n36,1,3.000000,5.000000,2.000000,3,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,33,36
38,NODE,n38,2,n32,n37,1,4.000000,6.000000,2.000000,4,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,32,37
39,NODE,n39,2,n27,n38,1,5.000000,7.000000,2.000000,5,1.00,AND2x2_ASAP7_75t_R,0.333333,2.000000,27,38
40,NODE,n40,1,pi11,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,12,-1
41,NODE,n41,1,pi12,,1,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,13,-1
42,NODE,n42,2,n40,n41,2,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,40,41
43,NODE,n43,1,pi13,,2,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,14,-1
44,NODE,n44,1,pi14,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,15,-1
45,NODE,n45,2,n44,pi16,1,2.000000,2.000000,0.000000,2,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,44,17
46,NODE,n46,2,n43,n45,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,43,45
47,NODE,n47,2,n42,n46,2,4.000000,4.000000,0.000000,4,1.00,NAND2xp33_ASAP7_75t_R,1.000000,0.000000,42,46
48,NODE,n48,1,n47,,1,5.000000,5.000000,0.000000,5,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,47,-1
49,NODE,n49,2,n43,n44,1,2.000000,3.000000,1.000000,2,1.00,AND2x2_ASAP7_75t_R,0.666667,1.000000,43,44
50,NODE,n50,1,pi15,,1,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,1.000000,16,-1
51,NODE,n51,2,n50,n42,1,3.000000,3.000000,0.000000,3,1.00,AND2x2_ASAP7_75t_R,1.000000,0.000000,50,42
