objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
24,NODE,n24,1,pi17,,2,1.000000,2.000000,1.000000,1,1.00,INVx1_ASAP7_75t_R,0.888889,1.000000,18,-1
25,NODE,n25,1,pi12,,2,1.000000,7.000000,6.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,6.000000,13,-1
26,NODE,n26,1,pi13,,2,1.000000,6.000000,5.000000,1,1.00,INVx1_ASAP7_75t_R,0.444444,5.000000,14,-1
27,NODE,n27,2,n25,n26,1,2.000000,9.000000,7.000000,2,1.00,AND2x2_ASAP7_75t_R,0.222222,7.000000,25,26
28,NODE,n28,2,n24,n27,1,3.000000,10.000000,7.000000,3,1.00,AND2x2_ASAP7_75t_R,0.222222,7.000000,24,27
29,NODE,n29,1,pi11,,2,1.000000,9.000000,8.000000,1,1.00,INVx1_ASAP7_75t_R,0.111111,8.000000,12,-1
30,NODE,n30,1,pi09,,2,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.222222,7.000000,10,-1
31,NODE,n31,1,pi15,,2,1.000000,4.000000,3.000000,1,1.00,INVx1_ASAP7_75t_R,0.666667,3.000000,16,-1
32,NODE,n32,1,pi16,,2,1.000000,3.000000,2.000000,1,1.00,INVx1_ASAP7_75t_R,0.777778,2.000000,17,-1
33,NODE,n33,2,n31,n32,1,2.000000,8.000000,6.000000,2,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,31,32
34,NODE,n34,2,n30,n33,1,3.000000,9.000000,6.000000,3,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,30,33
35,NODE,n35,2,n29,n34,1,4.000000,10.000000,6.000000,4,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,29,34
36,NODE,n36,2,n28,n35,1,5.000000,11.000000,6.000000,5,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,28,35
37,NODE,n37,1,pi18,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,19,-1
38,NODE,n38,1,pi07,,2,1.000000,7.000000,6.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,6.000000,8,-1
39,NODE,n39,1,pi08,,2,1.000000,7.000000,6.000000,1,1.00,INVx1_ASAP7_75t_R,0.333333,6.000000,9,-1
40,NODE,n40,2,n38,n39,1,2.000000,8.000000,6.000000,2,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,38,39
41,NODE,n41,2,n37,n40,1,3.000000,9.000000,6.000000,3,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,37,40
42,NODE,n42,1,pi06,,2,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.222222,7.000000,7,-1
43,NODE,n43,1,pi10,,2,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.222222,7.000000,11,-1
44,NODE,n44,2,n42,n43,1,2.000000,9.000000,7.000000,2,1.00,AND2x2_ASAP7_75t_R,0.222222,7.000000,42,43
45,NODE,n45,2,n41,n44,1,4.000000,10.000000,6.000000,4,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,41,44
46,NODE,n46,1,pi14,,2,1.000000,5.000000,4.000000,1,1.00,INVx1_ASAP7_75t_R,0.555556,4.000000,15,-1
47,NODE,n47,1,pi21,,1,1.000000,8.000000,7.000000,1,1.00,INVx1_ASAP7_75t_R,0.222222,7.000000,22,-1
48,NODE,n48,2,n46,n47,1,2.000000,9.000000,7.000000,2,1.00,AND2x2_ASAP7_75t_R,0.222222,7.000000,46,47
49,NODE,n49,1,pi19,,2,1.000000,1.000000,0.000000,1,1.00,INVx1_ASAP7_75t_R,1.000000,0.000000,20,-1
50,NODE,n50,2,n49,pi20,1,2.000000,9.000000,7.000000,2,1.00,AND2x2_ASAP7_75t_R,0.222222,7.000000,49,21
51,NODE,n51,2,n48,n50,1,3.000000,10.000000,7.000000,3,1.00,AND2x2_ASAP7_75t_R,0.222222,7.000000,48,50
52,NODE,n52,2,n45,n51,1,5.000000,11.000000,6.000000,5,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,45,51
53,NODE,n53,2,n36,n52,1,6.000000,12.000000,6.000000,6,1.00,AND2x2_ASAP7_75t_R,0.333333,6.000000,36,52
54,NODE,n54,1,pi00,,1,1.000000,10.000000,9.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,9.000000,1,-1
55,NODE,n55,1,pi01,,1,1.000000,9.000000,8.000000,1,1.00,INVx1_ASAP7_75t_R,0.111111,8.000000,2,-1
56,NODE,n56,1,pi03,,1,1.000000,9.000000,8.000000,1,1.00,INVx1_ASAP7_75t_R,0.111111,8.000000,4,-1
57,NODE,n57,2,n55,n56,1,2.000000,10.000000,8.000000,2,1.00,AND2x2_ASAP7_75t_R,0.111111,8.000000,55,56
58,NODE,n58,2,n54,n57,1,3.000000,11.000000,8.000000,3,1.00,AND2x2_ASAP7_75t_R,0.111111,8.000000,54,57
59,NODE,n59,1,pi02,,1,1.000000,10.000000,9.000000,1,1.00,INVx1_ASAP7_75t_R,0.000000,9.000000,3,-1
60,NODE,n60,1,pi04,,1,1.000000,9.000000,8.000000,1,1.00,INVx1_ASAP7_75t_R,0.111111,8.000000,5,-1
61,NODE,n61,1,pi05,,1,1.000000,9.000000,8.000000,1,1.00,INVx1_ASAP7_75t_R,0.111111,8.000000,6,-1
62,NODE,n62,2,n60,n61,1,2.000000,10.000000,8.000000,2,1.00,AND2x2_ASAP7_75t_R,0.111111,8.000000,60,61
63,NODE,n63,2,n59,n62,1,3.000000,11.000000,8.000000,3,1.00,AND2x2_ASAP7_75t_R,0.111111,8.000000,59,62
64,NODE,n64,2,n58,n63,2,4.000000,12.000000,8.000000,4,1.00,AND2x2_ASAP7_75t_R,0.111111,8.000000,58,63
