[OK] rd84       | n=8   | cubes=8    | polarity=0      | area=63  
[OK] ex1010     | n=10  | cubes=8    | polarity=0      | area=79  
[OK] br1        | n=12  | cubes=2    | polarity=0      | area=23  
[OK] br2        | n=12  | cubes=2    | polarity=0      | area=23  
[OK] misex3     | n=14  | cubes=1    | polarity=0      | area=13  
[OK] table3     | n=14  | cubes=3    | polarity=0      | area=41  
[OK] gary       | n=15  | cubes=2    | polarity=0      | area=29  
[OK] in0        | n=15  | cubes=4    | polarity=0      | area=59  
[OK] table5     | n=17  | cubes=2    | polarity=0      | area=33  
[OK] t2         | n=17  | cubes=2    | polarity=0      | area=33  
[OK] in2        | n=19  | cubes=3    | polarity=0      | area=56  
[OK] ts10       | n=22  | cubes=3    | polarity=0      | area=65  

Done. Generated Verilog in smabc_opt/*.v
