[step1] run SMABC method reproduction and export optimized verilog
[build] g++ -O3 -std=c++17 -o reproduce_paper_full reproduce_paper_full.cpp
[run] RUNS=20 NP=100 GENERATIONS=50 VERIFY_METHOD=0 BENCH_FILTER=<all>
[export] verilog dir: /mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/SMABC_FPRM_Reproduce/smabc_opt_paper (algo=SMABC)
[bench] br1 n=12 on_set=2
  run  1 | PSO=10 GA=10 ABC=10 SMABC=10
  run  2 | PSO=10 GA=10 ABC=10 SMABC=10
  run  3 | PSO=10 GA=10 ABC=10 SMABC=10
  run  4 | PSO=10 GA=10 ABC=10 SMABC=10
  run  5 | PSO=10 GA=10 ABC=10 SMABC=10
  run  6 | PSO=10 GA=10 ABC=10 SMABC=10
  run  7 | PSO=10 GA=10 ABC=10 SMABC=10
  run  8 | PSO=10 GA=10 ABC=10 SMABC=10
  run  9 | PSO=10 GA=10 ABC=10 SMABC=10
  run 10 | PSO=10 GA=10 ABC=10 SMABC=10
  run 11 | PSO=10 GA=10 ABC=10 SMABC=10
  run 12 | PSO=10 GA=10 ABC=10 SMABC=10
  run 13 | PSO=10 GA=10 ABC=10 SMABC=10
  run 14 | PSO=10 GA=10 ABC=10 SMABC=10
  run 15 | PSO=10 GA=10 ABC=10 SMABC=10
  run 16 | PSO=10 GA=10 ABC=10 SMABC=10
  run 17 | PSO=10 GA=10 ABC=10 SMABC=10
  run 18 | PSO=10 GA=10 ABC=10 SMABC=10
  run 19 | PSO=10 GA=10 ABC=10 SMABC=10
  run 20 | PSO=10 GA=10 ABC=10 SMABC=10
[bench] br2 n=12 on_set=2
  run  1 | PSO=10 GA=10 ABC=10 SMABC=10
  run  2 | PSO=10 GA=10 ABC=10 SMABC=10
  run  3 | PSO=10 GA=10 ABC=10 SMABC=10
  run  4 | PSO=10 GA=10 ABC=10 SMABC=10
  run  5 | PSO=10 GA=10 ABC=10 SMABC=10
  run  6 | PSO=10 GA=10 ABC=10 SMABC=10
  run  7 | PSO=10 GA=10 ABC=10 SMABC=10
  run  8 | PSO=10 GA=10 ABC=10 SMABC=10
  run  9 | PSO=10 GA=10 ABC=10 SMABC=10
  run 10 | PSO=10 GA=10 ABC=10 SMABC=10
  run 11 | PSO=10 GA=10 ABC=10 SMABC=10
  run 12 | PSO=10 GA=10 ABC=10 SMABC=10
  run 13 | PSO=10 GA=10 ABC=10 SMABC=10
  run 14 | PSO=10 GA=10 ABC=10 SMABC=10
  run 15 | PSO=10 GA=10 ABC=10 SMABC=10
  run 16 | PSO=10 GA=10 ABC=10 SMABC=10
  run 17 | PSO=10 GA=10 ABC=10 SMABC=10
  run 18 | PSO=10 GA=10 ABC=10 SMABC=10
  run 19 | PSO=10 GA=10 ABC=10 SMABC=10
  run 20 | PSO=10 GA=10 ABC=10 SMABC=10
[bench] ex1010 n=10 on_set=8
  run  1 | PSO=6 GA=6 ABC=6 SMABC=6
  run  2 | PSO=6 GA=6 ABC=6 SMABC=6
  run  3 | PSO=6 GA=6 ABC=6 SMABC=6
  run  4 | PSO=6 GA=6 ABC=6 SMABC=6
  run  5 | PSO=6 GA=6 ABC=6 SMABC=6
  run  6 | PSO=6 GA=6 ABC=6 SMABC=6
  run  7 | PSO=6 GA=6 ABC=6 SMABC=6
  run  8 | PSO=6 GA=6 ABC=6 SMABC=6
  run  9 | PSO=6 GA=6 ABC=6 SMABC=6
  run 10 | PSO=6 GA=6 ABC=6 SMABC=6
  run 11 | PSO=6 GA=6 ABC=6 SMABC=6
  run 12 | PSO=6 GA=6 ABC=6 SMABC=6
  run 13 | PSO=6 GA=6 ABC=6 SMABC=6
  run 14 | PSO=6 GA=6 ABC=6 SMABC=6
  run 15 | PSO=6 GA=6 ABC=6 SMABC=6
  run 16 | PSO=6 GA=6 ABC=6 SMABC=6
  run 17 | PSO=6 GA=6 ABC=6 SMABC=6
  run 18 | PSO=6 GA=6 ABC=6 SMABC=6
  run 19 | PSO=6 GA=6 ABC=6 SMABC=6
  run 20 | PSO=6 GA=6 ABC=6 SMABC=6
[bench] gary n=15 on_set=2
  run  1 | PSO=13 GA=13 ABC=13 SMABC=13
  run  2 | PSO=13 GA=13 ABC=13 SMABC=13
  run  3 | PSO=13 GA=13 ABC=13 SMABC=13
  run  4 | PSO=13 GA=13 ABC=13 SMABC=13
  run  5 | PSO=13 GA=13 ABC=13 SMABC=13
  run  6 | PSO=13 GA=13 ABC=13 SMABC=13
  run  7 | PSO=13 GA=13 ABC=13 SMABC=13
  run  8 | PSO=13 GA=13 ABC=13 SMABC=13
  run  9 | PSO=13 GA=13 ABC=13 SMABC=13
  run 10 | PSO=13 GA=13 ABC=13 SMABC=13
  run 11 | PSO=13 GA=13 ABC=13 SMABC=13
  run 12 | PSO=13 GA=13 ABC=13 SMABC=13
  run 13 | PSO=13 GA=13 ABC=13 SMABC=13
  run 14 | PSO=13 GA=13 ABC=13 SMABC=13
  run 15 | PSO=13 GA=13 ABC=13 SMABC=13
  run 16 | PSO=13 GA=13 ABC=13 SMABC=13
  run 17 | PSO=13 GA=13 ABC=13 SMABC=13
  run 18 | PSO=13 GA=13 ABC=13 SMABC=13
  run 19 | PSO=13 GA=13 ABC=13 SMABC=13
  run 20 | PSO=13 GA=13 ABC=13 SMABC=13
[bench] in0 n=15 on_set=4
  run  1 | PSO=12 GA=12 ABC=12 SMABC=12
  run  2 | PSO=12 GA=12 ABC=12 SMABC=12
  run  3 | PSO=12 GA=12 ABC=12 SMABC=12
  run  4 | PSO=12 GA=12 ABC=12 SMABC=12
  run  5 | PSO=12 GA=12 ABC=12 SMABC=12
  run  6 | PSO=12 GA=12 ABC=12 SMABC=12
  run  7 | PSO=12 GA=12 ABC=12 SMABC=12
