objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi09,,16,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.866667,2.000000,10,-1
34,NODE,n34,2,n33,pi10,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,33,11
35,NODE,n35,1,pi10,,17,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.866667,2.000000,11,-1
36,NODE,n36,2,pi09,n35,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,10,35
37,NODE,n37,2,n34,n36,7,3.000000,10.000000,7.000000,3,1.00,NAND2_X1,0.533333,7.000000,34,36
38,NODE,n38,1,pi05,,45,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
39,NODE,n39,2,n38,pi06,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,38,7
40,NODE,n40,1,pi06,,40,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
41,NODE,n41,2,pi05,n40,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,6,40
42,NODE,n42,2,n39,n41,5,3.000000,14.000000,11.000000,3,1.00,NAND2_X1,0.266667,11.000000,39,41
43,NODE,n43,1,pi02,,63,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
44,NODE,n44,2,n43,pi04,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,43,5
45,NODE,n45,1,n44,,2,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.866667,2.000000,44,-1
46,NODE,n46,2,pi00,n45,1,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.866667,2.000000,1,45
47,NODE,n47,1,pi00,,74,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,1,-1
48,NODE,n48,1,pi04,,51,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
49,NODE,n49,2,pi02,n48,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,3,48
50,NODE,n50,1,n49,,1,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.866667,2.000000,49,-1
51,NODE,n51,2,n47,n50,1,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.866667,2.000000,47,50
52,NODE,n52,2,n46,n51,6,5.000000,7.000000,2.000000,5,1.00,NAND2_X1,0.866667,2.000000,46,51
53,NODE,n53,1,pi01,,62,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
54,NODE,n54,2,n53,pi03,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,53,4
55,NODE,n55,1,pi03,,63,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
56,NODE,n56,2,pi01,n55,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,2,55
57,NODE,n57,2,n54,n56,5,3.000000,12.000000,9.000000,3,1.00,NAND2_X1,0.400000,9.000000,54,56
58,NODE,n58,2,n52,n57,1,6.000000,13.000000,7.000000,6,1.00,NAND2_X1,0.533333,7.000000,52,57
59,NODE,n59,2,pi00,pi04,1,1.000000,9.000000,8.000000,1,1.00,NAND2_X1,0.466667,8.000000,1,5
60,NODE,n60,2,n47,n48,1,2.000000,9.000000,7.000000,2,1.00,NAND2_X1,0.533333,7.000000,47,48
61,NODE,n61,2,n59,n60,5,3.000000,10.000000,7.000000,3,1.00,NAND2_X1,0.533333,7.000000,59,60
62,NODE,n62,2,n55,n61,1,4.000000,11.000000,7.000000,4,1.00,AND2_X1,0.533333,7.000000,55,61
63,NODE,n63,2,n43,n62,1,5.000000,12.000000,7.000000,5,1.00,AND2_X1,0.533333,7.000000,43,62
64,NODE,n64,2,n53,n63,1,6.000000,13.000000,7.000000,6,1.00,NAND2_X1,0.533333,7.000000,53,63
65,NODE,n65,2,n58,n64,1,7.000000,14.000000,7.000000,7,1.00,NAND2_X1,0.533333,7.000000,58,64
66,NODE,n66,2,n42,n65,1,8.000000,15.000000,7.000000,8,1.00,NAND2_X1,0.533333,7.000000,42,65
67,NODE,n67,2,n55,pi05,1,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.800000,3.000000,55,6
68,NODE,n68,2,pi02,n67,2,3.000000,6.000000,3.000000,3,1.00,NAND2_X1,0.800000,3.000000,3,67
69,NODE,n69,2,pi03,n38,1,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.800000,3.000000,4,38
70,NODE,n70,2,n43,n69,1,3.000000,6.000000,3.000000,3,1.00,NAND2_X1,0.800000,3.000000,43,69
71,NODE,n71,2,n68,n70,1,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.800000,3.000000,68,70
72,NODE,n72,2,pi00,n71,1,5.000000,8.000000,3.000000,5,1.00,NAND2_X1,0.800000,3.000000,1,71
73,NODE,n73,2,n47,n43,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,47,43
74,NODE,n74,1,n73,,2,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.866667,2.000000,73,-1
