objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi13,,4,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,14,-1
34,NODE,n34,2,n33,pi14,3,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,33,15
35,NODE,n35,1,pi14,,27,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
36,NODE,n36,2,pi13,n35,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,14,35
37,NODE,n37,2,n34,n36,36,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,34,36
38,NODE,n38,1,pi04,,25,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
39,NODE,n39,2,pi02,pi03,2,1.000000,4.000000,3.000000,1,1.00,NAND2_X1,0.842105,3.000000,3,4
40,NODE,n40,1,pi02,,37,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
41,NODE,n41,1,pi03,,52,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
42,NODE,n42,2,n40,n41,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.894737,2.000000,40,41
43,NODE,n43,2,n39,n42,2,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.894737,2.000000,39,42
44,NODE,n44,2,pi00,n43,1,4.000000,10.000000,6.000000,4,1.00,NAND2_X1,0.684211,6.000000,1,43
45,NODE,n45,1,pi00,,46,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.894737,2.000000,1,-1
46,NODE,n46,2,pi02,n41,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,3,41
47,NODE,n47,1,n46,,5,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,46,-1
48,NODE,n48,2,n45,n47,1,4.000000,10.000000,6.000000,4,1.00,NAND2_X1,0.684211,6.000000,45,47
49,NODE,n49,2,n44,n48,1,5.000000,11.000000,6.000000,5,1.00,NAND2_X1,0.684211,6.000000,44,48
50,NODE,n50,2,pi06,n49,1,6.000000,12.000000,6.000000,6,1.00,AND2_X1,0.684211,6.000000,7,49
51,NODE,n51,2,n38,n50,1,7.000000,13.000000,6.000000,7,1.00,NAND2_X1,0.684211,6.000000,38,50
52,NODE,n52,1,pi06,,49,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
53,NODE,n53,2,pi04,n52,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,5,52
54,NODE,n54,1,n53,,2,3.000000,9.000000,6.000000,3,1.00,INV_X1,0.684211,6.000000,53,-1
55,NODE,n55,2,pi03,n54,1,4.000000,12.000000,8.000000,4,1.00,AND2_X1,0.578947,8.000000,4,54
56,NODE,n56,2,n45,n55,1,5.000000,13.000000,8.000000,5,1.00,NAND2_X1,0.578947,8.000000,45,55
57,NODE,n57,2,n51,n56,1,8.000000,14.000000,6.000000,8,1.00,NAND2_X1,0.684211,6.000000,51,56
58,NODE,n58,2,pi01,n57,1,9.000000,15.000000,6.000000,9,1.00,NAND2_X1,0.684211,6.000000,2,57
59,NODE,n59,1,pi01,,36,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
60,NODE,n60,2,pi04,pi06,2,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.947368,1.000000,5,7
61,NODE,n61,1,n60,,6,2.000000,3.000000,1.000000,2,1.00,INV_X1,0.947368,1.000000,60,-1
62,NODE,n62,2,n41,n61,1,3.000000,8.000000,5.000000,3,1.00,NAND2_X1,0.736842,5.000000,41,61
63,NODE,n63,2,n38,n52,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,38,52
64,NODE,n64,1,n63,,3,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.947368,1.000000,63,-1
65,NODE,n65,2,pi03,n64,2,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.894737,2.000000,4,64
66,NODE,n66,2,n62,n65,2,5.000000,9.000000,4.000000,5,1.00,NAND2_X1,0.789474,4.000000,62,65
67,NODE,n67,2,pi00,n66,1,6.000000,11.000000,5.000000,6,1.00,NAND2_X1,0.736842,5.000000,1,66
68,NODE,n68,2,n45,n41,2,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.842105,3.000000,45,41
69,NODE,n69,2,n61,n68,1,3.000000,11.000000,8.000000,3,1.00,NAND2_X1,0.578947,8.000000,61,68
70,NODE,n70,2,n67,n69,1,7.000000,12.000000,5.000000,7,1.00,NAND2_X1,0.736842,5.000000,67,69
71,NODE,n71,2,n40,n70,1,8.000000,13.000000,5.000000,8,1.00,NAND2_X1,0.736842,5.000000,40,70
