objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
25,NODE,n25,2,pi03,pi11,8,1.000000,4.000000,3.000000,1,1.00,NAND2_X1,0.892857,3.000000,4,12
26,NODE,n26,1,pi03,,340,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
27,NODE,n27,1,pi11,,266,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,12,-1
28,NODE,n28,2,n26,n27,3,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.928571,2.000000,26,27
29,NODE,n29,2,n25,n28,23,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.928571,2.000000,25,28
30,NODE,n30,1,pi12,,280,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,13,-1
31,NODE,n31,2,n30,pi13,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.964286,1.000000,30,14
32,NODE,n32,1,pi13,,235,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,14,-1
33,NODE,n33,2,pi12,n32,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.964286,1.000000,13,32
34,NODE,n34,2,n31,n33,19,3.000000,4.000000,1.000000,3,1.00,NAND2_X1,0.964286,1.000000,31,33
35,NODE,n35,2,pi08,pi09,5,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.964286,1.000000,9,10
36,NODE,n36,1,pi08,,260,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
37,NODE,n37,1,pi09,,259,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,10,-1
38,NODE,n38,2,n36,n37,3,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,36,37
39,NODE,n39,2,n35,n38,13,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.928571,2.000000,35,38
40,NODE,n40,1,pi00,,369,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.964286,1.000000,1,-1
41,NODE,n41,2,pi01,pi10,2,1.000000,4.000000,3.000000,1,1.00,NAND2_X1,0.892857,3.000000,2,11
42,NODE,n42,1,n41,,1,2.000000,22.000000,20.000000,2,1.00,INV_X1,0.285714,20.000000,41,-1
43,NODE,n43,2,n40,n42,1,3.000000,23.000000,20.000000,3,1.00,NAND2_X1,0.285714,20.000000,40,42
44,NODE,n44,1,pi01,,303,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.964286,1.000000,2,-1
45,NODE,n45,1,pi10,,249,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,11,-1
46,NODE,n46,2,n44,n45,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.928571,2.000000,44,45
47,NODE,n47,1,n46,,2,3.000000,13.000000,10.000000,3,1.00,INV_X1,0.642857,10.000000,46,-1
48,NODE,n48,2,pi00,n47,1,4.000000,23.000000,19.000000,4,1.00,NAND2_X1,0.321429,19.000000,1,47
49,NODE,n49,2,n43,n48,3,5.000000,24.000000,19.000000,5,1.00,NAND2_X1,0.321429,19.000000,43,48
50,NODE,n50,2,pi06,pi14,4,1.000000,6.000000,5.000000,1,1.00,NAND2_X1,0.821429,5.000000,7,15
51,NODE,n51,1,pi06,,291,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.928571,2.000000,7,-1
52,NODE,n52,1,pi14,,273,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.964286,1.000000,15,-1
53,NODE,n53,2,n51,n52,3,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.857143,4.000000,51,52
54,NODE,n54,2,n50,n53,24,3.000000,7.000000,4.000000,3,1.00,NAND2_X1,0.857143,4.000000,50,53
55,NODE,n55,2,pi05,n54,4,4.000000,11.000000,7.000000,4,1.00,NAND2_X1,0.750000,7.000000,6,54
