objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
25,NODE,n25,2,pi11,pi15,1,1.000000,26.000000,25.000000,1,1.00,NAND2_X1,0.166667,25.000000,12,16
26,NODE,n26,1,pi11,,4,1.000000,14.000000,13.000000,1,1.00,INV_X1,0.566667,13.000000,12,-1
27,NODE,n27,1,pi15,,4,1.000000,15.000000,14.000000,1,1.00,INV_X1,0.533333,14.000000,16,-1
28,NODE,n28,2,n26,n27,1,2.000000,26.000000,24.000000,2,1.00,NAND2_X1,0.200000,24.000000,26,27
29,NODE,n29,2,n25,n28,8,3.000000,27.000000,24.000000,3,1.00,NAND2_X1,0.200000,24.000000,25,28
30,NODE,n30,1,pi08,,349,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
31,NODE,n31,2,n30,pi12,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.933333,2.000000,30,13
32,NODE,n32,1,pi12,,301,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,13,-1
33,NODE,n33,2,pi08,n32,2,2.000000,5.000000,3.000000,2,1.00,NAND2_X1,0.900000,3.000000,9,32
34,NODE,n34,2,n31,n33,19,3.000000,8.000000,5.000000,3,1.00,NAND2_X1,0.833333,5.000000,31,33
35,NODE,n35,2,pi07,pi14,2,1.000000,27.000000,26.000000,1,1.00,NAND2_X1,0.133333,26.000000,8,15
36,NODE,n36,1,n35,,1,2.000000,28.000000,26.000000,2,1.00,INV_X1,0.133333,26.000000,35,-1
37,NODE,n37,2,pi06,n36,1,3.000000,29.000000,26.000000,3,1.00,NAND2_X1,0.133333,26.000000,7,36
38,NODE,n38,1,pi06,,469,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
39,NODE,n39,1,pi07,,8,1.000000,15.000000,14.000000,1,1.00,INV_X1,0.533333,14.000000,8,-1
40,NODE,n40,1,pi14,,326,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
41,NODE,n41,2,n39,n40,2,2.000000,27.000000,25.000000,2,1.00,NAND2_X1,0.166667,25.000000,39,40
42,NODE,n42,1,n41,,1,3.000000,28.000000,25.000000,3,1.00,INV_X1,0.166667,25.000000,41,-1
43,NODE,n43,2,n38,n42,1,4.000000,29.000000,25.000000,4,1.00,NAND2_X1,0.166667,25.000000,38,42
44,NODE,n44,2,n37,n43,2,5.000000,30.000000,25.000000,5,1.00,NAND2_X1,0.166667,25.000000,37,43
45,NODE,n45,1,pi03,,15,1.000000,14.000000,13.000000,1,1.00,INV_X1,0.566667,13.000000,4,-1
46,NODE,n46,1,pi02,,611,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.966667,1.000000,3,-1
47,NODE,n47,1,pi01,,616,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
48,NODE,n48,2,n47,pi04,4,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.933333,2.000000,47,5
49,NODE,n49,1,n48,,45,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.933333,2.000000,48,-1
