objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
17,NODE,n17,2,pi0,pi4,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,1,5
18,NODE,n18,1,pi4,,15,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
19,NODE,n19,2,n18,pi5,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,18,6
20,NODE,n20,1,pi5,,20,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
21,NODE,n21,2,pi4,n20,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,5,20
22,NODE,n22,2,n19,n21,3,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,19,21
23,NODE,n23,2,pi0,n22,1,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,1,22
24,NODE,n24,1,pi0,,25,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.777778,2.000000,1,-1
25,NODE,n25,2,n24,pi4,1,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.777778,2.000000,24,5
26,NODE,n26,2,n23,n25,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,23,25
27,NODE,n27,2,pi1,n26,1,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,2,26
28,NODE,n28,1,pi1,,20,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
29,NODE,n29,2,n28,pi5,1,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.666667,3.000000,28,6
30,NODE,n30,2,pi0,n29,1,3.000000,6.000000,3.000000,3,1.00,NAND2_X1,0.666667,3.000000,1,29
31,NODE,n31,2,n27,n30,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,27,30
32,NODE,n32,2,pi1,n22,1,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,2,22
33,NODE,n33,2,n28,pi4,1,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.777778,2.000000,28,5
