objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
16,NODE,n16,1,pi3,,12,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.842105,3.000000,4,-1
17,NODE,n17,1,pi4,,19,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,5,-1
18,NODE,n18,2,n17,pi8,1,2.000000,16.000000,14.000000,2,1.00,AND2_X1,0.263158,14.000000,17,9
19,NODE,n19,2,n16,n18,1,3.000000,17.000000,14.000000,3,1.00,NAND2_X1,0.263158,14.000000,16,18
20,NODE,n20,1,pi8,,12,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
21,NODE,n21,2,pi4,n20,1,2.000000,16.000000,14.000000,2,1.00,AND2_X1,0.263158,14.000000,5,20
22,NODE,n22,2,pi3,n21,1,3.000000,17.000000,14.000000,3,1.00,NAND2_X1,0.263158,14.000000,4,21
23,NODE,n23,2,n19,n22,1,4.000000,18.000000,14.000000,4,1.00,NAND2_X1,0.263158,14.000000,19,22
24,NODE,n24,1,pi5,,25,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
25,NODE,n25,2,pi7,pi9,7,1.000000,5.000000,4.000000,1,1.00,AND2_X1,0.789474,4.000000,8,10
26,NODE,n26,2,pi2,n25,1,2.000000,13.000000,11.000000,2,1.00,NAND2_X1,0.421053,11.000000,3,25
27,NODE,n27,1,pi2,,13,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.894737,2.000000,3,-1
28,NODE,n28,1,pi7,,13,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
29,NODE,n29,1,pi9,,15,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,10,-1
30,NODE,n30,2,n28,n29,6,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.842105,3.000000,28,29
31,NODE,n31,2,n27,n30,1,3.000000,13.000000,10.000000,3,1.00,NAND2_X1,0.473684,10.000000,27,30
32,NODE,n32,2,n26,n31,1,4.000000,14.000000,10.000000,4,1.00,NAND2_X1,0.473684,10.000000,26,31
33,NODE,n33,2,n24,n32,1,5.000000,15.000000,10.000000,5,1.00,NAND2_X1,0.473684,10.000000,24,32
34,NODE,n34,2,pi7,n29,4,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.894737,2.000000,8,29
35,NODE,n35,2,n27,n34,1,3.000000,13.000000,10.000000,3,1.00,NAND2_X1,0.473684,10.000000,27,34
36,NODE,n36,2,n29,n35,1,4.000000,14.000000,10.000000,4,1.00,NAND2_X1,0.473684,10.000000,29,35
37,NODE,n37,2,pi5,n36,1,5.000000,15.000000,10.000000,5,1.00,NAND2_X1,0.473684,10.000000,6,36
38,NODE,n38,2,n33,n37,1,6.000000,16.000000,10.000000,6,1.00,NAND2_X1,0.473684,10.000000,33,37
39,NODE,n39,2,pi6,n38,1,7.000000,17.000000,10.000000,7,1.00,NAND2_X1,0.473684,10.000000,7,38
40,NODE,n40,1,pi6,,21,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
41,NODE,n41,2,n24,pi9,3,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,24,10
42,NODE,n42,2,pi5,n29,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,6,29
43,NODE,n43,2,n41,n42,3,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,41,42
44,NODE,n44,2,pi2,n43,1,4.000000,13.000000,9.000000,4,1.00,NAND2_X1,0.526316,9.000000,3,43
45,NODE,n45,1,n41,,1,3.000000,12.000000,9.000000,3,1.00,INV_X1,0.526316,9.000000,41,-1
46,NODE,n46,2,n27,n45,1,4.000000,13.000000,9.000000,4,1.00,NAND2_X1,0.526316,9.000000,27,45
47,NODE,n47,2,n44,n46,1,5.000000,14.000000,9.000000,5,1.00,NAND2_X1,0.526316,9.000000,44,46
48,NODE,n48,2,n28,n47,1,6.000000,15.000000,9.000000,6,1.00,NAND2_X1,0.526316,9.000000,28,47
49,NODE,n49,2,n27,n24,1,2.000000,7.000000,5.000000,2,1.00,AND2_X1,0.736842,5.000000,27,24
50,NODE,n50,2,n25,n49,2,3.000000,8.000000,5.000000,3,1.00,NAND2_X1,0.736842,5.000000,25,49
51,NODE,n51,2,n48,n50,1,7.000000,16.000000,9.000000,7,1.00,NAND2_X1,0.526316,9.000000,48,50
52,NODE,n52,2,n40,n51,1,8.000000,17.000000,9.000000,8,1.00,NAND2_X1,0.526316,9.000000,40,51
