bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c17,baseline,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_baseline.log
c17,no_inv_chain,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0 -p 0.3 -f 0.2 -g 0.1","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_no_inv_chain.log
c17,no_pair_collapse,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.4 -p 0 -f 0.2 -g 0.1","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_no_pair_collapse.log
c17,no_fanout_ease,PASS,5.05,2.00,5.05,2.00,2,1,66.7,0.0,0.0,1,0,0,"-i 0.4 -p 0.3 -f 0 -g 0.1","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_no_fanout_ease.log
c17,no_gate_score,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.4 -p 0.3 -f 0.2 -g 0","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_no_gate_score.log
c17,thresh_tight,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_thresh_tight.log
c17,thresh_loose,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"","-L 0.40 -H 0.70",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_thresh_loose.log
c17,alpha_slack_heavy,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-L 0.50 -M 0.70 -H 0.90","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_alpha_slack_heavy.log
c17,alpha_struct_heavy,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-L 0.10 -M 0.30 -H 0.50","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c17/c17_alpha_struct_heavy.log
c499,baseline,PASS,250.57,9.00,250.04,9.00,11,54,80.0,0.0,33.3,18,0,1,"","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c499/c499_baseline.log
c499,no_inv_chain,PASS,250.57,9.00,250.04,9.00,11,57,80.0,0.0,33.3,18,0,1,"-i 0 -p 0.3 -f 0.2 -g 0.1","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c499/c499_no_inv_chain.log
c499,no_pair_collapse,PASS,250.57,9.00,250.04,9.00,11,57,80.0,0.0,33.3,7,0,0,"-i 0.4 -p 0 -f 0.2 -g 0.1","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c499/c499_no_pair_collapse.log
c499,no_fanout_ease,PASS,250.57,9.00,250.04,9.00,11,54,80.0,0.0,33.3,18,0,1,"-i 0.4 -p 0.3 -f 0 -g 0.1","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c499/c499_no_fanout_ease.log
c499,no_gate_score,PASS,250.57,9.00,250.04,9.00,11,54,80.0,0.0,33.3,18,0,1,"-i 0.4 -p 0.3 -f 0.2 -g 0","",/mnt/d/My_abc_work/abc/my_work/ablation_results/c499/c499_no_gate_score.log
c499,thresh_tight,PASS,250.57,9.00,250.57,9.00,10,66,80.0,0.0,0.0,0,0,0,"","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results/c499/c499_thresh_tight.log
c499,thresh_loose,PASS,250.57,9.00,250.04,9.00,11,54,80.0,0.0,33.3,18,0,1,"","-L 0.40 -H 0.70",/mnt/d/My_abc_work/abc/my_work/ablation_results/c499/c499_thresh_loose.log
