objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi15,,56,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.896552,3.000000,16,-1
34,NODE,n34,1,pi10,,199,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,11,-1
35,NODE,n35,1,pi11,,229,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,12,-1
36,NODE,n36,2,n34,n35,28,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.931035,2.000000,34,35
37,NODE,n37,2,pi09,n36,3,3.000000,15.000000,12.000000,3,1.00,AND2_X1,0.586207,12.000000,10,36
38,NODE,n38,1,pi12,,236,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,13,-1
39,NODE,n39,1,pi13,,267,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,14,-1
40,NODE,n40,2,n39,pi14,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,39,15
41,NODE,n41,1,n40,,67,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,40,-1
42,NODE,n42,2,n38,n41,2,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.965517,1.000000,38,41
43,NODE,n43,1,n42,,112,5.000000,6.000000,1.000000,5,1.00,INV_X1,0.965517,1.000000,42,-1
44,NODE,n44,2,n37,n43,1,6.000000,18.000000,12.000000,6,1.00,NAND2_X1,0.586207,12.000000,37,43
45,NODE,n45,1,pi09,,253,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,10,-1
46,NODE,n46,2,pi10,pi11,29,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.965517,1.000000,11,12
47,NODE,n47,2,n45,n46,3,2.000000,13.000000,11.000000,2,1.00,AND2_X1,0.620690,11.000000,45,46
48,NODE,n48,1,pi14,,276,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
49,NODE,n49,2,pi13,n48,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,14,48
50,NODE,n50,1,n49,,80,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,49,-1
51,NODE,n51,2,pi12,n50,3,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.965517,1.000000,13,50
52,NODE,n52,1,n51,,106,5.000000,6.000000,1.000000,5,1.00,INV_X1,0.965517,1.000000,51,-1
53,NODE,n53,2,n47,n52,2,6.000000,14.000000,8.000000,6,1.00,NAND2_X1,0.724138,8.000000,47,52
54,NODE,n54,2,n44,n53,3,7.000000,19.000000,12.000000,7,1.00,NAND2_X1,0.586207,12.000000,44,53
55,NODE,n55,1,pi07,,302,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
56,NODE,n56,2,pi05,pi06,5,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.965517,1.000000,6,7
57,NODE,n57,1,pi05,,406,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
58,NODE,n58,1,pi06,,369,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
59,NODE,n59,2,n57,n58,5,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,57,58
60,NODE,n60,2,n56,n59,14,3.000000,7.000000,4.000000,3,1.00,NAND2_X1,0.862069,4.000000,56,59
61,NODE,n61,1,pi02,,389,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
62,NODE,n62,2,n61,pi04,4,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.965517,1.000000,61,5
63,NODE,n63,1,pi04,,412,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
64,NODE,n64,2,pi02,n63,2,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.862069,4.000000,3,63
65,NODE,n65,2,n62,n64,4,3.000000,8.000000,5.000000,3,1.00,NAND2_X1,0.827586,5.000000,62,64
66,NODE,n66,2,pi01,n65,2,4.000000,19.000000,15.000000,4,1.00,NAND2_X1,0.482759,15.000000,2,65
67,NODE,n67,1,pi01,,362,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
68,NODE,n68,2,pi02,pi04,2,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.931035,2.000000,3,5
69,NODE,n69,1,n68,,25,2.000000,4.000000,2.000000,2,1.00,INV_X1,0.931035,2.000000,68,-1
70,NODE,n70,2,n67,n69,2,3.000000,17.000000,14.000000,3,1.00,NAND2_X1,0.517241,14.000000,67,69
71,NODE,n71,2,n66,n70,1,5.000000,28.000000,23.000000,5,1.00,NAND2_X1,0.206897,23.000000,66,70
72,NODE,n72,2,n60,n71,1,6.000000,29.000000,23.000000,6,1.00,NAND2_X1,0.206897,23.000000,60,71
73,NODE,n73,1,n59,,51,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,59,-1
74,NODE,n74,2,n67,n73,3,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,67,73
75,NODE,n75,2,n60,n74,1,5.000000,25.000000,20.000000,5,1.00,NAND2_X1,0.310345,20.000000,60,74
76,NODE,n76,2,n63,n75,1,6.000000,26.000000,20.000000,6,1.00,NAND2_X1,0.310345,20.000000,63,75
77,NODE,n77,2,n67,pi05,4,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.931035,2.000000,67,6
78,NODE,n78,2,n57,pi06,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.965517,1.000000,57,7
79,NODE,n79,1,n78,,35,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.965517,1.000000,78,-1
80,NODE,n80,2,pi01,n79,2,4.000000,14.000000,10.000000,4,1.00,NAND2_X1,0.655172,10.000000,2,79
81,NODE,n81,2,n77,n80,1,5.000000,25.000000,20.000000,5,1.00,NAND2_X1,0.310345,20.000000,77,80
82,NODE,n82,2,pi04,n81,1,6.000000,26.000000,20.000000,6,1.00,NAND2_X1,0.310345,20.000000,5,81
83,NODE,n83,2,n76,n82,1,7.000000,27.000000,20.000000,7,1.00,NAND2_X1,0.310345,20.000000,76,82
84,NODE,n84,2,n61,n83,1,8.000000,28.000000,20.000000,8,1.00,NAND2_X1,0.310345,20.000000,61,83
85,NODE,n85,2,n67,pi02,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,67,3
86,NODE,n86,1,n85,,39,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,85,-1
87,NODE,n87,2,pi04,n79,2,4.000000,12.000000,8.000000,4,1.00,NAND2_X1,0.724138,8.000000,5,79
88,NODE,n88,1,n87,,5,5.000000,13.000000,8.000000,5,1.00,INV_X1,0.724138,8.000000,87,-1
89,NODE,n89,2,n86,n88,1,6.000000,28.000000,22.000000,6,1.00,NAND2_X1,0.241379,22.000000,86,88
90,NODE,n90,2,n84,n89,1,9.000000,29.000000,20.000000,9,1.00,AND2_X1,0.310345,20.000000,84,89
91,NODE,n91,2,n72,n90,1,10.000000,30.000000,20.000000,10,1.00,NAND2_X1,0.310345,20.000000,72,90
92,NODE,n92,2,pi03,n91,1,11.000000,31.000000,20.000000,11,1.00,NAND2_X1,0.310345,20.000000,4,91
93,NODE,n93,1,pi03,,354,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
94,NODE,n94,1,n56,,45,2.000000,3.000000,1.000000,2,1.00,INV_X1,0.965517,1.000000,56,-1
95,NODE,n95,2,n63,n94,3,3.000000,7.000000,4.000000,3,1.00,NAND2_X1,0.862069,4.000000,63,94
96,NODE,n96,2,pi04,n73,2,4.000000,9.000000,5.000000,4,1.00,NAND2_X1,0.827586,5.000000,5,73
97,NODE,n97,2,n95,n96,3,5.000000,16.000000,11.000000,5,1.00,NAND2_X1,0.620690,11.000000,95,96
98,NODE,n98,2,pi02,n97,1,6.000000,27.000000,21.000000,6,1.00,NAND2_X1,0.275862,21.000000,3,97
99,NODE,n99,2,pi04,pi05,3,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.931035,2.000000,5,6
100,NODE,n100,2,n63,n79,5,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.896552,3.000000,63,79
101,NODE,n101,2,n99,n100,1,5.000000,26.000000,21.000000,5,1.00,NAND2_X1,0.275862,21.000000,99,100
102,NODE,n102,2,n61,n101,1,6.000000,27.000000,21.000000,6,1.00,NAND2_X1,0.275862,21.000000,61,101
103,NODE,n103,2,n98,n102,1,7.000000,28.000000,21.000000,7,1.00,NAND2_X1,0.275862,21.000000,98,102
104,NODE,n104,2,n67,n103,1,8.000000,29.000000,21.000000,8,1.00,NAND2_X1,0.275862,21.000000,67,103
105,NODE,n105,2,n63,n73,3,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.896552,3.000000,63,73
106,NODE,n106,2,n60,n105,1,5.000000,26.000000,21.000000,5,1.00,NAND2_X1,0.275862,21.000000,60,105
107,NODE,n107,2,n61,n106,1,6.000000,27.000000,21.000000,6,1.00,NAND2_X1,0.275862,21.000000,61,106
108,NODE,n108,1,n64,,18,3.000000,7.000000,4.000000,3,1.00,INV_X1,0.862069,4.000000,64,-1
109,NODE,n109,2,n94,n108,2,4.000000,21.000000,17.000000,4,1.00,NAND2_X1,0.413793,17.000000,94,108
110,NODE,n110,2,n107,n109,1,7.000000,28.000000,21.000000,7,1.00,NAND2_X1,0.275862,21.000000,107,109
111,NODE,n111,2,pi01,n110,1,8.000000,29.000000,21.000000,8,1.00,NAND2_X1,0.275862,21.000000,2,110
112,NODE,n112,2,n104,n111,1,9.000000,30.000000,21.000000,9,1.00,NAND2_X1,0.275862,21.000000,104,111
113,NODE,n113,2,n93,n112,1,10.000000,31.000000,21.000000,10,1.00,NAND2_X1,0.275862,21.000000,93,112
114,NODE,n114,2,n92,n113,1,12.000000,32.000000,20.000000,12,1.00,NAND2_X1,0.310345,20.000000,92,113
115,NODE,n115,2,n55,n114,1,13.000000,33.000000,20.000000,13,1.00,NAND2_X1,0.310345,20.000000,55,114
116,NODE,n116,2,n61,pi03,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.965517,1.000000,61,4
117,NODE,n117,1,n116,,30,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.965517,1.000000,116,-1
118,NODE,n118,2,n67,n117,4,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.965517,1.000000,67,117
