objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
74,NODE,n74,2,G1,G5,2,1.000000,7.000000,6.000000,1,1.00,NAND2_X1,0.250000,6.000000,1,2
75,NODE,n75,2,G1,n74,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,1,74
76,NODE,n76,2,G5,n74,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,2,74
77,NODE,n77,2,n75,n76,2,3.000000,9.000000,6.000000,3,1.00,NAND2_X1,0.250000,6.000000,75,76
78,NODE,n78,2,G9,G13,2,1.000000,7.000000,6.000000,1,1.00,NAND2_X1,0.250000,6.000000,3,4
79,NODE,n79,2,G9,n78,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,3,78
80,NODE,n80,2,G13,n78,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,4,78
81,NODE,n81,2,n79,n80,2,3.000000,9.000000,6.000000,3,1.00,NAND2_X1,0.250000,6.000000,79,80
82,NODE,n82,2,n77,n81,2,4.000000,10.000000,6.000000,4,1.00,NAND2_X1,0.250000,6.000000,77,81
83,NODE,n83,2,n77,n82,1,5.000000,11.000000,6.000000,5,1.00,NAND2_X1,0.250000,6.000000,77,82
84,NODE,n84,2,n81,n82,1,5.000000,11.000000,6.000000,5,1.00,NAND2_X1,0.250000,6.000000,81,82
85,NODE,n85,2,n83,n84,2,6.000000,12.000000,6.000000,6,1.00,NAND2_X1,0.250000,6.000000,83,84
86,NODE,n86,2,G33,G41,2,1.000000,9.000000,8.000000,1,1.00,AND2_X1,0.000000,8.000000,5,6
87,NODE,n87,2,G17,G18,2,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,7,8
88,NODE,n88,2,G17,n87,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,7,87
89,NODE,n89,2,G18,n87,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,8,87
90,NODE,n90,2,n88,n89,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,88,89
91,NODE,n91,2,G19,G20,2,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,9,10
92,NODE,n92,2,G19,n91,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,9,91
93,NODE,n93,2,G20,n91,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,10,91
94,NODE,n94,2,n92,n93,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,92,93
95,NODE,n95,2,n90,n94,2,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,90,94
96,NODE,n96,2,n90,n95,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,90,95
97,NODE,n97,2,n94,n95,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,94,95
98,NODE,n98,2,n96,n97,4,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,96,97
99,NODE,n99,2,G21,G22,2,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,11,12
100,NODE,n100,2,G21,n99,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,11,99
101,NODE,n101,2,G22,n99,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,12,99
102,NODE,n102,2,n100,n101,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,100,101
103,NODE,n103,2,G23,G24,2,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,13,14
104,NODE,n104,2,G23,n103,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,13,103
105,NODE,n105,2,G24,n103,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,14,103
106,NODE,n106,2,n104,n105,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,104,105
107,NODE,n107,2,n102,n106,2,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,102,106
108,NODE,n108,2,n102,n107,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,102,107
109,NODE,n109,2,n106,n107,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,106,107
110,NODE,n110,2,n108,n109,4,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,108,109
111,NODE,n111,2,n98,n110,2,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,98,110
112,NODE,n112,2,n98,n111,1,8.000000,8.000000,0.000000,8,1.00,NAND2_X1,1.000000,0.000000,98,111
113,NODE,n113,2,n110,n111,1,8.000000,8.000000,0.000000,8,1.00,NAND2_X1,1.000000,0.000000,110,111
114,NODE,n114,2,n112,n113,2,9.000000,9.000000,0.000000,9,1.00,NAND2_X1,1.000000,0.000000,112,113
115,NODE,n115,2,n86,n114,2,10.000000,10.000000,0.000000,10,1.00,NAND2_X1,1.000000,0.000000,86,114
116,NODE,n116,2,n86,n115,1,11.000000,11.000000,0.000000,11,1.00,NAND2_X1,1.000000,0.000000,86,115
117,NODE,n117,2,n114,n115,1,11.000000,11.000000,0.000000,11,1.00,NAND2_X1,1.000000,0.000000,114,115
118,NODE,n118,2,n116,n117,2,12.000000,12.000000,0.000000,12,1.00,NAND2_X1,1.000000,0.000000,116,117
119,NODE,n119,2,n85,n118,2,13.000000,13.000000,0.000000,13,1.00,NAND2_X1,1.000000,0.000000,85,118
120,NODE,n120,2,n85,n119,1,14.000000,14.000000,0.000000,14,1.00,NAND2_X1,1.000000,0.000000,85,119
121,NODE,n121,2,n118,n119,1,14.000000,14.000000,0.000000,14,1.00,NAND2_X1,1.000000,0.000000,118,119
122,NODE,n122,2,n120,n121,6,15.000000,15.000000,0.000000,15,1.00,NAND2_X1,1.000000,0.000000,120,121
123,NODE,n123,2,G4,G8,2,1.000000,7.000000,6.000000,1,1.00,NAND2_X1,0.250000,6.000000,15,16
124,NODE,n124,2,G4,n123,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,15,123
125,NODE,n125,2,G8,n123,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,16,123
126,NODE,n126,2,n124,n125,2,3.000000,9.000000,6.000000,3,1.00,NAND2_X1,0.250000,6.000000,124,125
127,NODE,n127,2,G12,G16,2,1.000000,7.000000,6.000000,1,1.00,NAND2_X1,0.250000,6.000000,17,18
128,NODE,n128,2,G12,n127,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,17,127
129,NODE,n129,2,G16,n127,1,2.000000,8.000000,6.000000,2,1.00,NAND2_X1,0.250000,6.000000,18,127
130,NODE,n130,2,n128,n129,2,3.000000,9.000000,6.000000,3,1.00,NAND2_X1,0.250000,6.000000,128,129
131,NODE,n131,2,n126,n130,2,4.000000,10.000000,6.000000,4,1.00,NAND2_X1,0.250000,6.000000,126,130
132,NODE,n132,2,n126,n131,1,5.000000,11.000000,6.000000,5,1.00,NAND2_X1,0.250000,6.000000,126,131
133,NODE,n133,2,n130,n131,1,5.000000,11.000000,6.000000,5,1.00,NAND2_X1,0.250000,6.000000,130,131
134,NODE,n134,2,n132,n133,2,6.000000,12.000000,6.000000,6,1.00,NAND2_X1,0.250000,6.000000,132,133
135,NODE,n135,2,G41,G36,2,1.000000,9.000000,8.000000,1,1.00,AND2_X1,0.000000,8.000000,6,19
136,NODE,n136,2,G29,G30,2,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,20,21
137,NODE,n137,2,G29,n136,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,20,136
138,NODE,n138,2,G30,n136,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,21,136
