objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
87,NODE,n87,2,G16,G6,2,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,2,3
88,NODE,n88,2,G8,n87,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,1,87
89,NODE,n89,2,G6,G7,2,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,3,5
90,NODE,n90,2,G17,n89,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,4,89
91,NODE,n91,2,G8,n89,3,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,1,89
92,NODE,n92,2,G18,G19,1,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,6,7
93,NODE,n93,2,G4,G3,2,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,8,9
94,NODE,n94,2,G2,G1,3,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,10,11
95,NODE,n95,2,n93,n94,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,93,94
96,NODE,n96,2,G1,G5,2,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,11,12
97,NODE,n97,2,n93,n96,2,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,93,96
98,NODE,n98,2,n91,n97,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,91,97
99,NODE,n99,2,G16,G11,2,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,2,13
100,NODE,n100,2,G17,n99,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,4,99
101,NODE,n101,2,G7,G11,2,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,5,13
102,NODE,n102,2,G17,n101,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,4,101
103,NODE,n103,2,G8,n101,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,1,101
104,NODE,n104,1,G20,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
105,NODE,n105,1,G21,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,16,-1
106,NODE,n106,2,n104,n105,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,104,105
107,NODE,n107,2,G23,n106,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,14,106
108,NODE,n108,1,n91,,1,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,91,-1
109,NODE,n109,2,n108,n97,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,108,97
110,NODE,n110,2,G9,n96,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,17,96
111,NODE,n111,2,G3,G10,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,9,18
112,NODE,n112,2,n94,n111,3,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,94,111
113,NODE,n113,2,G6,G12,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.961538,1.000000,3,19
114,NODE,n114,2,n112,n113,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,112,113
115,NODE,n115,2,G11,G12,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,13,19
116,NODE,n116,2,G15,n115,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,20,115
117,NODE,n117,2,n112,n116,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,112,116
118,NODE,n118,2,G22,n106,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,21,106
119,NODE,n119,2,G24,G25,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,23,24
120,NODE,n120,1,G24,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,23,-1
121,NODE,n121,1,G25,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,24,-1
122,NODE,n122,2,n120,n121,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,120,121
123,NODE,n123,2,n119,n122,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,119,122
124,NODE,n124,2,G26,G27,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,25,26
125,NODE,n125,1,G26,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,25,-1
126,NODE,n126,1,G27,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,26,-1
127,NODE,n127,2,n125,n126,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,125,126
128,NODE,n128,2,n124,n127,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,124,127
129,NODE,n129,2,n123,n128,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.961538,1.000000,123,128
130,NODE,n130,1,n123,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,123,-1
131,NODE,n131,1,n128,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,128,-1
132,NODE,n132,2,n130,n131,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,130,131
133,NODE,n133,2,n129,n132,2,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,129,132
134,NODE,n134,1,n133,,1,7.000000,7.000000,0.000000,7,1.00,INV_X1,1.000000,0.000000,133,-1
135,NODE,n135,2,G32,n134,1,8.000000,8.000000,0.000000,8,1.00,NAND2_X1,1.000000,0.000000,22,134
136,NODE,n136,1,G32,,2,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.769231,6.000000,22,-1
137,NODE,n137,2,n136,n133,1,7.000000,8.000000,1.000000,7,1.00,NAND2_X1,0.961538,1.000000,136,133
138,NODE,n138,2,n135,n137,2,9.000000,9.000000,0.000000,9,1.00,NAND2_X1,1.000000,0.000000,135,137
139,NODE,n139,2,G28,G29,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,27,28
140,NODE,n140,1,G28,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,27,-1
141,NODE,n141,1,G29,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,28,-1
142,NODE,n142,2,n140,n141,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,140,141
143,NODE,n143,2,n139,n142,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,139,142
144,NODE,n144,2,G30,G31,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,29,30
145,NODE,n145,1,G30,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,29,-1
146,NODE,n146,1,G31,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,30,-1
147,NODE,n147,2,n145,n146,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,145,146
148,NODE,n148,2,n144,n147,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,144,147
149,NODE,n149,2,n143,n148,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.961538,1.000000,143,148
150,NODE,n150,1,n143,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,143,-1
151,NODE,n151,1,n148,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,148,-1
152,NODE,n152,2,n150,n151,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,150,151
153,NODE,n153,2,n149,n152,2,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,149,152
154,NODE,n154,1,n153,,1,7.000000,7.000000,0.000000,7,1.00,INV_X1,1.000000,0.000000,153,-1
155,NODE,n155,2,G33,n154,1,8.000000,8.000000,0.000000,8,1.00,NAND2_X1,1.000000,0.000000,31,154
156,NODE,n156,1,G33,,1,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.769231,6.000000,31,-1
157,NODE,n157,2,n156,n153,1,7.000000,8.000000,1.000000,7,1.00,NAND2_X1,0.961538,1.000000,156,153
158,NODE,n158,2,n155,n157,2,9.000000,9.000000,0.000000,9,1.00,NAND2_X1,1.000000,0.000000,155,157
159,NODE,n159,2,n138,n158,1,10.000000,11.000000,1.000000,10,1.00,NAND2_X1,0.961538,1.000000,138,158
160,NODE,n160,1,n138,,1,10.000000,10.000000,0.000000,10,1.00,INV_X1,1.000000,0.000000,138,-1
161,NODE,n161,1,n158,,1,10.000000,10.000000,0.000000,10,1.00,INV_X1,1.000000,0.000000,158,-1
162,NODE,n162,2,n160,n161,1,11.000000,11.000000,0.000000,11,1.00,NAND2_X1,1.000000,0.000000,160,161
163,NODE,n163,2,n159,n162,1,12.000000,12.000000,0.000000,12,1.00,NAND2_X1,1.000000,0.000000,159,162
164,NODE,n164,2,G41,G42,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,32,33
165,NODE,n165,1,G41,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,32,-1
166,NODE,n166,1,G42,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,33,-1
167,NODE,n167,2,n165,n166,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,165,166
168,NODE,n168,2,n164,n167,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,164,167
169,NODE,n169,2,G43,G44,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,34,35
170,NODE,n170,1,G43,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,34,-1
171,NODE,n171,1,G44,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,35,-1
172,NODE,n172,2,n170,n171,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,170,171
173,NODE,n173,2,n169,n172,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,169,172
174,NODE,n174,2,n168,n173,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.961538,1.000000,168,173
175,NODE,n175,1,n168,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,168,-1
176,NODE,n176,1,n173,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,173,-1
177,NODE,n177,2,n175,n176,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,175,176
178,NODE,n178,2,n174,n177,2,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,174,177
179,NODE,n179,1,n178,,1,7.000000,7.000000,0.000000,7,1.00,INV_X1,1.000000,0.000000,178,-1
180,NODE,n180,2,G32,n179,1,8.000000,8.000000,0.000000,8,1.00,NAND2_X1,1.000000,0.000000,22,179
181,NODE,n181,2,n136,n178,1,7.000000,8.000000,1.000000,7,1.00,NAND2_X1,0.961538,1.000000,136,178
182,NODE,n182,2,n180,n181,2,9.000000,9.000000,0.000000,9,1.00,NAND2_X1,1.000000,0.000000,180,181
183,NODE,n183,2,G45,G46,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,36,37
184,NODE,n184,1,G45,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,36,-1
185,NODE,n185,1,G46,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,37,-1
186,NODE,n186,2,n184,n185,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,184,185
187,NODE,n187,2,n183,n186,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,183,186
188,NODE,n188,2,G47,G48,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,38,39
189,NODE,n189,1,G47,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,38,-1
190,NODE,n190,1,G48,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,39,-1
191,NODE,n191,2,n189,n190,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,189,190
192,NODE,n192,2,n188,n191,2,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,188,191
193,NODE,n193,2,n187,n192,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.961538,1.000000,187,192
194,NODE,n194,1,n187,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,187,-1
195,NODE,n195,1,n192,,1,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,192,-1
196,NODE,n196,2,n194,n195,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,194,195
197,NODE,n197,2,n193,n196,2,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,193,196
198,NODE,n198,1,n197,,1,7.000000,7.000000,0.000000,7,1.00,INV_X1,1.000000,0.000000,197,-1
199,NODE,n199,2,G49,n198,1,8.000000,8.000000,0.000000,8,1.00,NAND2_X1,1.000000,0.000000,40,198
200,NODE,n200,1,G49,,1,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.769231,6.000000,40,-1
201,NODE,n201,2,n200,n197,1,7.000000,8.000000,1.000000,7,1.00,NAND2_X1,0.961538,1.000000,200,197
202,NODE,n202,2,n199,n201,2,9.000000,9.000000,0.000000,9,1.00,NAND2_X1,1.000000,0.000000,199,201
203,NODE,n203,2,n182,n202,1,10.000000,11.000000,1.000000,10,1.00,NAND2_X1,0.961538,1.000000,182,202
204,NODE,n204,1,n182,,1,10.000000,10.000000,0.000000,10,1.00,INV_X1,1.000000,0.000000,182,-1
205,NODE,n205,1,n202,,1,10.000000,10.000000,0.000000,10,1.00,INV_X1,1.000000,0.000000,202,-1
206,NODE,n206,2,n204,n205,1,11.000000,11.000000,0.000000,11,1.00,NAND2_X1,1.000000,0.000000,204,205
207,NODE,n207,2,n203,n206,1,12.000000,12.000000,0.000000,12,1.00,NAND2_X1,1.000000,0.000000,203,206
208,NODE,n208,2,G12,G13,1,1.000000,13.000000,12.000000,1,1.00,AND2_X1,0.538462,12.000000,19,41
209,NODE,n209,2,G8,G11,1,1.000000,13.000000,12.000000,1,1.00,AND2_X1,0.538462,12.000000,1,13
210,NODE,n210,2,n208,n209,1,2.000000,14.000000,12.000000,2,1.00,AND2_X1,0.538462,12.000000,208,209
211,NODE,n211,2,n112,n210,1,3.000000,15.000000,12.000000,3,1.00,AND2_X1,0.538462,12.000000,112,210
212,NODE,n212,2,G14,n211,8,4.000000,16.000000,12.000000,4,1.00,AND2_X1,0.538462,12.000000,42,211
213,NODE,n213,2,G48,n212,1,5.000000,17.000000,12.000000,5,1.00,NAND2_X1,0.538462,12.000000,39,212
214,NODE,n214,2,G55,G59,1,1.000000,16.000000,15.000000,1,1.00,NAND2_X1,0.423077,15.000000,43,44
215,NODE,n215,1,G60,,2,1.000000,7.000000,6.000000,1,1.00,INV_X1,0.769231,6.000000,46,-1
216,NODE,n216,1,n110,,4,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,110,-1
217,NODE,n217,2,G17,n87,2,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.884615,3.000000,4,87
218,NODE,n218,2,n216,n217,1,4.000000,6.000000,2.000000,4,1.00,AND2_X1,0.923077,2.000000,216,217
219,NODE,n219,2,G10,n218,1,5.000000,7.000000,2.000000,5,1.00,AND2_X1,0.923077,2.000000,18,218
220,NODE,n220,2,n215,n219,4,6.000000,8.000000,2.000000,6,1.00,NAND2_X1,0.923077,2.000000,215,219
221,NODE,n221,2,G11,G40,1,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.923077,2.000000,13,48
222,NODE,n222,2,n216,n221,2,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,216,221
223,NODE,n223,2,G4,n222,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,8,222
224,NODE,n224,2,G1,n223,4,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,11,223
225,NODE,n225,2,G39,n224,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,47,224
226,NODE,n226,2,G40,n216,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,48,216
227,NODE,n227,1,G8,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,1,-1
228,NODE,n228,1,G4,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
229,NODE,n229,2,n227,n228,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,227,228
230,NODE,n230,2,G8,G4,1,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.961538,1.000000,1,8
231,NODE,n231,2,n229,n230,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,229,230
232,NODE,n232,2,G11,n231,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,13,231
233,NODE,n233,2,n226,n232,1,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,226,232
234,NODE,n234,2,G4,G9,1,1.000000,3.000000,2.000000,1,1.00,AND2_X1,0.923077,2.000000,8,17
235,NODE,n235,2,n94,n234,1,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.923077,2.000000,94,234
236,NODE,n236,2,G8,n99,1,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.923077,2.000000,1,99
237,NODE,n237,2,n235,n236,1,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.923077,2.000000,235,236
238,NODE,n238,2,n233,n237,8,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,233,237
239,NODE,n239,2,G31,n238,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,30,238
240,NODE,n240,2,n225,n239,1,8.000000,8.000000,0.000000,8,1.00,AND2_X1,1.000000,0.000000,225,239
241,NODE,n241,2,n220,n240,3,9.000000,9.000000,0.000000,9,1.00,NAND2_X1,1.000000,0.000000,220,240
242,NODE,n242,2,G54,n241,1,10.000000,16.000000,6.000000,10,1.00,NAND2_X1,0.769231,6.000000,45,241
