bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c17,w_base,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_base.log
c17,w_inv_up,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.60 -p 0.20 -f 0.10 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_inv_up.log
c17,w_pair_up,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.20 -p 0.60 -f 0.10 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_pair_up.log
c17,w_fanout_up,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.20 -p 0.20 -f 0.50 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_fanout_up.log
c17,w_gate_up,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.20 -p 0.20 -f 0.10 -g 0.50","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_gate_up.log
c17,w_inv_pair,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_inv_pair.log
c17,w_pair_fan,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.10 -p 0.50 -f 0.35 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_pair_fan.log
c17,w_balanced,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_balanced.log
c17,w_sparse,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.50 -p 0.00 -f 0.50 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_sparse.log
c17,w_nogate,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c17/c17_w_nogate.log
c499,w_base,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_base.log
c499,w_inv_up,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.60 -p 0.20 -f 0.10 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_inv_up.log
c499,w_pair_up,PASS,250.57,9.00,250.04,9.00,20,70,80.0,0.0,33.3,11,0,1,"-i 0.20 -p 0.60 -f 0.10 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_pair_up.log
c499,w_fanout_up,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.20 -p 0.20 -f 0.50 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_fanout_up.log
c499,w_gate_up,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.20 -p 0.20 -f 0.10 -g 0.50","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_gate_up.log
c499,w_inv_pair,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_inv_pair.log
c499,w_pair_fan,PASS,250.57,9.00,250.04,9.00,20,70,80.0,0.0,33.3,11,0,1,"-i 0.10 -p 0.50 -f 0.35 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_pair_fan.log
c499,w_balanced,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_balanced.log
c499,w_sparse,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.50 -p 0.00 -f 0.50 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_sparse.log
c499,w_nogate,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c499/c499_w_nogate.log
c880,w_base,PASS,210.67,12.00,200.30,12.00,16,50,25.0,0.0,50.0,24,1,23,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/ablation_results_stageW/c880/c880_w_base.log
