objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi04,,338,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
34,NODE,n34,2,n33,pi15,3,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,33,16
35,NODE,n35,1,n34,,8,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,34,-1
36,NODE,n36,2,pi03,n35,1,4.000000,34.000000,30.000000,4,1.00,NAND2_X1,0.032258,30.000000,4,35
37,NODE,n37,1,pi03,,386,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
38,NODE,n38,1,pi15,,243,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,16,-1
39,NODE,n39,2,pi04,n38,4,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,5,38
40,NODE,n40,1,n39,,8,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,39,-1
41,NODE,n41,2,n37,n40,1,4.000000,34.000000,30.000000,4,1.00,NAND2_X1,0.032258,30.000000,37,40
42,NODE,n42,2,n36,n41,1,5.000000,35.000000,30.000000,5,1.00,NAND2_X1,0.032258,30.000000,36,41
43,NODE,n43,1,pi14,,273,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
44,NODE,n44,1,pi05,,390,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
45,NODE,n45,1,pi06,,286,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
46,NODE,n46,1,pi07,,333,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
47,NODE,n47,1,pi08,,258,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
