bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c17,w_nogate,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c17/c17_w_nogate.log
c17,w_balanced,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c17/c17_w_balanced.log
c17,w_inv_pair,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c17/c17_w_inv_pair.log
c17,w_base,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c17/c17_w_base.log
c499,w_nogate,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c499/c499_w_nogate.log
c499,w_balanced,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c499/c499_w_balanced.log
c499,w_inv_pair,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c499/c499_w_inv_pair.log
c499,w_base,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c499/c499_w_base.log
c880,w_nogate,PASS,210.67,12.00,200.30,12.00,15,51,25.0,0.0,0.0,24,1,23,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c880/c880_w_nogate.log
c880,w_balanced,PASS,210.67,12.00,200.30,12.00,15,51,25.0,0.0,0.0,24,1,23,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c880/c880_w_balanced.log
c880,w_inv_pair,PASS,210.67,12.00,200.30,12.00,15,51,25.0,0.0,0.0,24,1,24,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c880/c880_w_inv_pair.log
c880,w_base,PASS,210.67,12.00,200.30,12.00,16,50,25.0,0.0,50.0,24,1,23,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c880/c880_w_base.log
c1355,w_nogate,PASS,250.57,9.00,248.98,9.00,17,51,60.0,0.0,0.0,2,0,2,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1355/c1355_w_nogate.log
c1355,w_balanced,PASS,250.57,9.00,248.98,9.00,17,51,60.0,0.0,0.0,2,0,2,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1355/c1355_w_balanced.log
c1355,w_inv_pair,PASS,250.57,9.00,248.98,9.00,17,49,60.0,0.0,0.0,2,0,2,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1355/c1355_w_inv_pair.log
c1355,w_base,PASS,250.57,9.00,248.98,9.00,17,51,60.0,0.0,0.0,2,0,2,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1355/c1355_w_base.log
c1908,w_nogate,PASS,209.08,13.00,181.15,11.00,16,57,80.0,0.0,40.0,24,0,17,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1908/c1908_w_nogate.log
c1908,w_balanced,PASS,209.08,13.00,181.68,11.00,15,58,80.0,0.0,40.0,24,0,20,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1908/c1908_w_balanced.log
