objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
73,NODE,n73,1,G11,,11,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,1,-1
74,NODE,n74,1,G4,,18,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.950000,2.000000,5,-1
75,NODE,n75,1,G3,,6,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
76,NODE,n76,1,G2,,3,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
77,NODE,n77,1,G1,,9,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
78,NODE,n78,2,n76,n77,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,76,77
79,NODE,n79,1,n78,,3,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,78,-1
80,NODE,n80,2,n75,n79,2,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,75,79
81,NODE,n81,1,n80,,3,5.000000,5.000000,0.000000,5,1.00,INV_X1,1.000000,0.000000,80,-1
82,NODE,n82,2,n74,n81,7,6.000000,16.000000,10.000000,6,1.00,NAND2_X1,0.750000,10.000000,74,81
83,NODE,n83,2,n73,n82,1,7.000000,29.000000,22.000000,7,1.00,NAND2_X1,0.450000,22.000000,73,82
84,NODE,n84,2,n83,n82,1,8.000000,30.000000,22.000000,8,1.00,NAND2_X1,0.450000,22.000000,83,82
85,NODE,n85,1,G23,,1,1.000000,17.000000,16.000000,1,1.00,INV_X1,0.600000,16.000000,10,-1
86,NODE,n86,2,G3,n85,1,2.000000,18.000000,16.000000,2,1.00,NAND2_X1,0.600000,16.000000,2,85
87,NODE,n87,2,G2,n77,2,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.975000,1.000000,3,77
88,NODE,n88,2,n86,n87,9,3.000000,19.000000,16.000000,3,1.00,NAND2_X1,0.600000,16.000000,86,87
89,NODE,n89,1,n88,,8,4.000000,20.000000,16.000000,4,1.00,INV_X1,0.600000,16.000000,88,-1
90,NODE,n90,2,n84,n89,1,9.000000,31.000000,22.000000,9,1.00,NAND2_X1,0.450000,22.000000,84,89
91,NODE,n91,2,n75,n76,2,2.000000,17.000000,15.000000,2,1.00,AND2_X1,0.625000,15.000000,75,76
92,NODE,n92,2,G4,n91,1,3.000000,18.000000,15.000000,3,1.00,NAND2_X1,0.625000,15.000000,5,91
93,NODE,n93,1,n92,,4,4.000000,19.000000,15.000000,4,1.00,INV_X1,0.625000,15.000000,92,-1
94,NODE,n94,2,G27,n81,2,6.000000,11.000000,5.000000,6,1.00,NAND2_X1,0.875000,5.000000,12,81
95,NODE,n95,1,n94,,3,7.000000,12.000000,5.000000,7,1.00,INV_X1,0.875000,5.000000,94,-1
96,NODE,n96,2,G48,n95,8,8.000000,13.000000,5.000000,8,1.00,NAND2_X1,0.875000,5.000000,11,95
97,NODE,n97,1,n96,,7,9.000000,14.000000,5.000000,9,1.00,INV_X1,0.875000,5.000000,96,-1
98,NODE,n98,2,G2,G1,2,1.000000,4.000000,3.000000,1,1.00,NAND2_X1,0.925000,3.000000,3,4
99,NODE,n99,2,G3,G1,1,1.000000,3.000000,2.000000,1,1.00,AND2_X1,0.950000,2.000000,2,4
100,NODE,n100,2,G4,n99,1,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.950000,2.000000,5,99
101,NODE,n101,2,n98,n100,9,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.950000,2.000000,98,100
102,NODE,n102,1,n101,,1,4.000000,6.000000,2.000000,4,1.00,INV_X1,0.950000,2.000000,101,-1
103,NODE,n103,2,G3,G2,1,1.000000,4.000000,3.000000,1,1.00,AND2_X1,0.925000,3.000000,2,3
104,NODE,n104,2,n77,n103,2,2.000000,5.000000,3.000000,2,1.00,NAND2_X1,0.925000,3.000000,77,103
105,NODE,n105,2,n102,n104,8,5.000000,7.000000,2.000000,5,1.00,AND2_X1,0.950000,2.000000,102,104
106,NODE,n106,2,n77,G4,4,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.900000,4.000000,77,5
107,NODE,n107,2,G11,n106,1,3.000000,8.000000,5.000000,3,1.00,AND2_X1,0.875000,5.000000,1,106
108,NODE,n108,2,n105,n107,1,6.000000,9.000000,3.000000,6,1.00,NAND2_X1,0.925000,3.000000,105,107
109,NODE,n109,1,n104,,8,3.000000,6.000000,3.000000,3,1.00,INV_X1,0.925000,3.000000,104,-1
110,NODE,n110,2,n73,n109,1,4.000000,8.000000,4.000000,4,1.00,NAND2_X1,0.900000,4.000000,73,109
111,NODE,n111,1,G9,,15,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,13,-1
112,NODE,n112,2,n75,G4,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,75,5
113,NODE,n113,2,n75,n112,8,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.975000,1.000000,75,112
114,NODE,n114,2,n111,n113,1,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.950000,2.000000,111,113
