bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,alpha_low,alpha_mid,alpha_high,phyread_args,phyopt_args,log_file
c17,alpha_default,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c17/c17_alpha_default.log
c17,alpha_struct_plus1,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c17/c17_alpha_struct_plus1.log
c17,alpha_struct_plus2,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c17/c17_alpha_struct_plus2.log
c17,alpha_slack_plus1,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c17/c17_alpha_slack_plus1.log
c17,alpha_slack_plus2,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c17/c17_alpha_slack_plus2.log
c17,alpha_wide_low_high1,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c17/c17_alpha_wide_low_high1.log
c17,alpha_wide_low_high2,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c17/c17_alpha_wide_low_high2.log
c499,alpha_default,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c499/c499_alpha_default.log
c499,alpha_struct_plus1,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c499/c499_alpha_struct_plus1.log
c499,alpha_struct_plus2,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c499/c499_alpha_struct_plus2.log
c499,alpha_slack_plus1,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c499/c499_alpha_slack_plus1.log
c499,alpha_slack_plus2,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c499/c499_alpha_slack_plus2.log
