objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
44,NODE,n44,1,G32,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,1,-1
45,NODE,n45,2,n44,G34,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,44,2
46,NODE,n46,1,G28,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,3,-1
47,NODE,n47,2,n46,G30,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,46,4
48,NODE,n48,2,n45,n47,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.947368,1.000000,45,47
49,NODE,n49,1,G24,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,5,-1
50,NODE,n50,2,n49,G26,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,49,6
51,NODE,n51,1,G20,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,7,-1
52,NODE,n52,2,n51,G22,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,51,8
53,NODE,n53,2,n50,n52,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.947368,1.000000,50,52
54,NODE,n54,2,n48,n53,1,4.000000,5.000000,1.000000,4,1.00,AND2_X1,0.947368,1.000000,48,53
55,NODE,n55,1,G16,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,9,-1
56,NODE,n56,2,n55,G18,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,55,10
57,NODE,n57,1,G12,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,11,-1
58,NODE,n58,2,n57,G14,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,57,12
59,NODE,n59,2,n56,n58,1,3.000000,4.000000,1.000000,3,1.00,AND2_X1,0.947368,1.000000,56,58
60,NODE,n60,1,G8,,1,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.947368,1.000000,13,-1
61,NODE,n61,2,n60,G10,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.947368,1.000000,60,14
62,NODE,n62,1,G4,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
63,NODE,n63,2,n62,G6,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,62,16
64,NODE,n64,1,G1,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,17,-1
65,NODE,n65,2,n64,G2,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,64,18
66,NODE,n66,2,n63,n65,1,3.000000,3.000000,0.000000,3,1.00,AND2_X1,1.000000,0.000000,63,65
67,NODE,n67,2,n61,n66,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,61,66
68,NODE,n68,2,n59,n67,1,5.000000,5.000000,0.000000,5,1.00,AND2_X1,1.000000,0.000000,59,67
69,NODE,n69,2,n54,n68,11,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,54,68
70,NODE,n70,1,n69,,1,7.000000,7.000000,0.000000,7,1.00,INV_X1,1.000000,0.000000,69,-1
71,NODE,n71,2,n45,n70,9,8.000000,8.000000,0.000000,8,1.00,NAND2_X1,1.000000,0.000000,45,70
72,NODE,n72,2,n71,n45,2,9.000000,10.000000,1.000000,9,1.00,NAND2_X1,0.947368,1.000000,71,45
73,NODE,n73,1,G35,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.578947,8.000000,19,-1
74,NODE,n74,2,G34,n73,1,2.000000,10.000000,8.000000,2,1.00,AND2_X1,0.578947,8.000000,2,73
75,NODE,n75,2,n72,n74,3,10.000000,11.000000,1.000000,10,1.00,NAND2_X1,0.947368,1.000000,72,74
76,NODE,n76,2,n71,n47,2,9.000000,10.000000,1.000000,9,1.00,NAND2_X1,0.947368,1.000000,71,47
77,NODE,n77,1,G31,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.578947,8.000000,20,-1
78,NODE,n78,2,G30,n77,1,2.000000,10.000000,8.000000,2,1.00,AND2_X1,0.578947,8.000000,4,77
79,NODE,n79,2,n76,n78,2,10.000000,11.000000,1.000000,10,1.00,NAND2_X1,0.947368,1.000000,76,78
80,NODE,n80,2,n75,n79,1,11.000000,12.000000,1.000000,11,1.00,AND2_X1,0.947368,1.000000,75,79
81,NODE,n81,2,n71,n50,2,9.000000,10.000000,1.000000,9,1.00,NAND2_X1,0.947368,1.000000,71,50
82,NODE,n82,1,G27,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.578947,8.000000,21,-1
83,NODE,n83,2,G26,n82,1,2.000000,10.000000,8.000000,2,1.00,AND2_X1,0.578947,8.000000,6,82
84,NODE,n84,2,n81,n83,2,10.000000,11.000000,1.000000,10,1.00,NAND2_X1,0.947368,1.000000,81,83
85,NODE,n85,2,n71,n52,2,9.000000,10.000000,1.000000,9,1.00,NAND2_X1,0.947368,1.000000,71,52
86,NODE,n86,1,G23,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.578947,8.000000,22,-1
87,NODE,n87,2,G22,n86,1,2.000000,10.000000,8.000000,2,1.00,AND2_X1,0.578947,8.000000,8,86
88,NODE,n88,2,n85,n87,2,10.000000,11.000000,1.000000,10,1.00,NAND2_X1,0.947368,1.000000,85,87
89,NODE,n89,2,n84,n88,1,11.000000,12.000000,1.000000,11,1.00,AND2_X1,0.947368,1.000000,84,88
90,NODE,n90,2,n80,n89,1,12.000000,13.000000,1.000000,12,1.00,AND2_X1,0.947368,1.000000,80,89
91,NODE,n91,2,n71,n56,2,9.000000,10.000000,1.000000,9,1.00,NAND2_X1,0.947368,1.000000,71,56
92,NODE,n92,1,G19,,1,1.000000,9.000000,8.000000,1,1.00,INV_X1,0.578947,8.000000,23,-1
93,NODE,n93,2,G18,n92,1,2.000000,10.000000,8.000000,2,1.00,AND2_X1,0.578947,8.000000,10,92
94,NODE,n94,2,n91,n93,2,10.000000,11.000000,1.000000,10,1.00,NAND2_X1,0.947368,1.000000,91,93
95,NODE,n95,2,n71,n58,2,9.000000,10.000000,1.000000,9,1.00,NAND2_X1,0.947368,1.000000,71,58
