bench,combo,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,thresh_name,weight_name,phyread_args,phyopt_args,log_file
c17,t_L025_H090__w_inv_pair,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L025_H090__w_inv_pair.log
c17,t_L025_H090__w_base,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L025_H090__w_base.log
c17,t_L025_H090__w_nogate,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L025_H090__w_nogate.log
c17,t_L020_H090__w_inv_pair,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L020_H090__w_inv_pair.log
c17,t_L020_H090__w_base,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L020_H090__w_base.log
c17,t_L020_H090__w_nogate,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L020_H090__w_nogate.log
c17,t_L025_H095__w_inv_pair,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L025_H095__w_inv_pair.log
c17,t_L025_H095__w_base,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L025_H095__w_base.log
c17,t_L025_H095__w_nogate,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c17/c17_t_L025_H095__w_nogate.log
c432,t_L025_H090__w_inv_pair,PASS,138.85,14.00,97.62,14.00,16,63,40.0,20.0,25.0,10,5,27,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L025_H090__w_inv_pair.log
c432,t_L025_H090__w_base,PASS,138.85,14.00,97.62,14.00,16,63,40.0,20.0,25.0,10,5,27,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L025_H090__w_base.log
c432,t_L025_H090__w_nogate,PASS,138.85,14.00,104.80,13.00,11,70,40.0,20.0,0.0,5,13,33,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L025_H090__w_nogate.log
c432,t_L020_H090__w_inv_pair,PASS,138.85,14.00,99.22,13.00,12,56,40.0,0.0,20.0,10,6,19,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L020_H090__w_inv_pair.log
c432,t_L020_H090__w_base,PASS,138.85,14.00,99.22,13.00,12,56,40.0,0.0,20.0,10,6,19,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L020_H090__w_base.log
c432,t_L020_H090__w_nogate,PASS,138.85,14.00,104.80,13.00,11,58,40.0,0.0,20.0,5,11,27,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L020_H090__w_nogate.log
c432,t_L025_H095__w_inv_pair,PASS,138.85,14.00,92.83,14.00,10,67,25.0,40.0,0.0,24,4,20,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L025_H095__w_inv_pair.log
c432,t_L025_H095__w_base,PASS,138.85,14.00,92.83,14.00,10,67,25.0,40.0,0.0,24,4,20,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L025_H095__w_base.log
c432,t_L025_H095__w_nogate,PASS,138.85,14.00,92.83,14.00,10,67,25.0,40.0,0.0,24,4,20,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c432/c432_t_L025_H095__w_nogate.log
c499,t_L025_H090__w_inv_pair,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L025_H090__w_inv_pair.log
c499,t_L025_H090__w_base,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L025_H090__w_base.log
c499,t_L025_H090__w_nogate,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L025_H090__w_nogate.log
c499,t_L020_H090__w_inv_pair,PASS,250.57,9.00,250.57,9.00,10,66,80.0,0.0,0.0,0,0,0,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L020_H090__w_inv_pair.log
c499,t_L020_H090__w_base,PASS,250.57,9.00,250.57,9.00,10,66,80.0,0.0,0.0,0,0,0,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L020_H090__w_base.log
c499,t_L020_H090__w_nogate,PASS,250.57,9.00,250.57,9.00,10,66,80.0,0.0,0.0,0,0,0,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L020_H090__w_nogate.log
c499,t_L025_H095__w_inv_pair,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L025_H095__w_inv_pair.log
c499,t_L025_H095__w_base,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L025_H095__w_base.log
c499,t_L025_H095__w_nogate,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c499/c499_t_L025_H095__w_nogate.log
c880,t_L025_H090__w_inv_pair,PASS,210.67,12.00,200.30,12.00,15,51,25.0,0.0,0.0,24,1,24,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L025_H090__w_inv_pair.log
c880,t_L025_H090__w_base,PASS,210.67,12.00,200.30,12.00,16,50,25.0,0.0,50.0,24,1,23,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L025_H090__w_base.log
c880,t_L025_H090__w_nogate,PASS,210.67,12.00,200.30,12.00,15,51,25.0,0.0,0.0,24,1,23,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L025_H090__w_nogate.log
c880,t_L020_H090__w_inv_pair,PASS,210.67,12.00,200.30,12.00,15,49,25.0,0.0,0.0,22,1,24,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L020_H090__w_inv_pair.log
c880,t_L020_H090__w_base,PASS,210.67,12.00,200.30,12.00,16,48,25.0,0.0,50.0,22,1,23,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L020_H090__w_base.log
c880,t_L020_H090__w_nogate,PASS,210.67,12.00,200.30,12.00,15,49,25.0,0.0,0.0,23,1,23,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L020_H090__w_nogate.log
c880,t_L025_H095__w_inv_pair,PASS,210.67,12.00,206.15,11.00,16,51,40.0,0.0,0.0,24,3,16,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L025_H095__w_inv_pair.log
