"func","opt_before_area","opt_after_area","opt_impr","raw_before_area","raw_after_area","raw_impr","final_area_adv_opt","flow_impr_adv_opt"
"ex200","3434.12","3427.74","6.38","10292.51","9988.59","303.92","6560.85","-297.54"
"ex201","1225.75","1212.93","12.82","4708.59","4513.87","194.72","3300.94","-181.9"
"ex202","3437.52","3419.94","17.58","10010.7","9529.31","481.39","6109.37","-463.81"
"ex203","4562.4","4536.28","26.12","15853.62","15677.44","176.18","11141.16","-150.06"
"ex204","1573.76","1563.48","10.28","9429.85","9228.5","201.35","7665.02","-191.07"
"ex205","4738.08","4720.82","17.26","16344.15","16219.32","124.83","11498.5","-107.57"
"ex206","47438.35","47271.22","167.13","65970.68","65695.03","275.65","18423.81","-108.52"
"ex207","70048.87","69962.27","86.6","93195.57","92752.06","443.51","22789.79","-356.91"
"ex208","1982.18","1965.71","16.47","5538.64","5324.19","214.45","3358.48","-197.98"
"ex209","509.19","500.93","8.26","1917.12","1753.6","163.52","1252.67","-155.26"
