"func","area_adv","delay_adv","lev_adv","opt_pct","raw_pct"
"ex200","6560.85","239.63","8","-0.19","-2.95"
"ex201","3300.94","204.49","6","-1.05","-4.14"
"ex202","6109.37","233","7","-0.51","-4.81"
"ex203","11141.16","307.34","9","-0.57","-1.11"
"ex204","7665.02","295.29","10","-0.65","-2.14"
"ex205","11498.5","249.54","7","-0.36","-0.76"
"ex206","18423.81","387.41","12","-0.35","-0.42"
"ex207","22789.79","447.74","14","-0.12","-0.48"
"ex208","3358.48","215.68","8","-0.83","-3.87"
"ex209","1252.67","190.47","7","-1.62","-8.53"
