objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi03,,328,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
34,NODE,n34,1,pi06,,335,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
35,NODE,n35,2,n34,pi07,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.966667,1.000000,34,8
36,NODE,n36,1,n35,,34,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.966667,1.000000,35,-1
37,NODE,n37,2,n33,n36,1,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.933333,2.000000,33,36
38,NODE,n38,1,pi07,,315,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
39,NODE,n39,2,pi06,n38,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.966667,1.000000,7,38
40,NODE,n40,1,n39,,30,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.966667,1.000000,39,-1
41,NODE,n41,2,pi03,n40,1,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.933333,2.000000,4,40
42,NODE,n42,2,n37,n41,4,5.000000,7.000000,2.000000,5,1.00,NAND2_X1,0.933333,2.000000,37,41
43,NODE,n43,1,pi01,,426,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
44,NODE,n44,1,pi08,,300,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
45,NODE,n45,1,pi15,,254,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,16,-1
46,NODE,n46,1,pi05,,376,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
47,NODE,n47,1,pi10,,363,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.966667,1.000000,11,-1
48,NODE,n48,2,n46,n47,4,2.000000,11.000000,9.000000,2,1.00,AND2_X1,0.700000,9.000000,46,47
49,NODE,n49,2,pi02,n48,1,3.000000,20.000000,17.000000,3,1.00,AND2_X1,0.433333,17.000000,3,48
50,NODE,n50,1,pi11,,328,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.966667,1.000000,12,-1
51,NODE,n51,1,pi12,,324,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.933333,2.000000,13,-1
52,NODE,n52,2,n50,n51,10,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.900000,3.000000,50,51
53,NODE,n53,1,pi13,,313,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.966667,1.000000,14,-1
54,NODE,n54,2,n53,pi14,3,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.966667,1.000000,53,15
55,NODE,n55,2,n52,n54,100,3.000000,6.000000,3.000000,3,1.00,AND2_X1,0.900000,3.000000,52,54
56,NODE,n56,2,n49,n55,1,4.000000,21.000000,17.000000,4,1.00,NAND2_X1,0.433333,17.000000,49,55
57,NODE,n57,1,pi02,,393,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
58,NODE,n58,2,pi05,pi10,3,1.000000,10.000000,9.000000,1,1.00,AND2_X1,0.700000,9.000000,6,11
59,NODE,n59,2,n57,n58,1,2.000000,20.000000,18.000000,2,1.00,AND2_X1,0.400000,18.000000,57,58
60,NODE,n60,2,pi11,pi12,12,1.000000,5.000000,4.000000,1,1.00,AND2_X1,0.866667,4.000000,12,13
61,NODE,n61,1,pi14,,290,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.966667,1.000000,15,-1
62,NODE,n62,2,pi13,n61,3,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.966667,1.000000,14,61
63,NODE,n63,2,n60,n62,114,3.000000,6.000000,3.000000,3,1.00,AND2_X1,0.900000,3.000000,60,62
64,NODE,n64,2,n59,n63,1,4.000000,21.000000,17.000000,4,1.00,NAND2_X1,0.433333,17.000000,59,63
65,NODE,n65,2,n56,n64,1,5.000000,22.000000,17.000000,5,1.00,NAND2_X1,0.433333,17.000000,56,64
66,NODE,n66,2,n45,n65,1,6.000000,23.000000,17.000000,6,1.00,AND2_X1,0.433333,17.000000,45,65
67,NODE,n67,2,n44,n66,1,7.000000,24.000000,17.000000,7,1.00,NAND2_X1,0.433333,17.000000,44,66
68,NODE,n68,2,n61,pi15,2,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.933333,2.000000,61,16
69,NODE,n69,1,n68,,12,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.933333,2.000000,68,-1
70,NODE,n70,2,pi13,n69,5,4.000000,6.000000,2.000000,4,1.00,AND2_X1,0.933333,2.000000,14,69
71,NODE,n71,2,n47,n60,1,2.000000,22.000000,20.000000,2,1.00,AND2_X1,0.333333,20.000000,47,60
72,NODE,n72,2,n70,n71,4,5.000000,23.000000,18.000000,5,1.00,AND2_X1,0.400000,18.000000,70,71
73,NODE,n73,2,pi08,n72,2,6.000000,24.000000,18.000000,6,1.00,NAND2_X1,0.400000,18.000000,9,72
74,NODE,n74,2,n67,n73,1,8.000000,25.000000,17.000000,8,1.00,NAND2_X1,0.433333,17.000000,67,73
75,NODE,n75,2,n43,n74,1,9.000000,26.000000,17.000000,9,1.00,NAND2_X1,0.433333,17.000000,43,74
76,NODE,n76,1,n73,,1,7.000000,25.000000,18.000000,7,1.00,INV_X1,0.400000,18.000000,73,-1
77,NODE,n77,2,pi01,n76,1,8.000000,26.000000,18.000000,8,1.00,NAND2_X1,0.400000,18.000000,2,76
78,NODE,n78,2,n75,n77,1,10.000000,27.000000,17.000000,10,1.00,NAND2_X1,0.433333,17.000000,75,77
79,NODE,n79,2,n42,n78,1,11.000000,28.000000,17.000000,11,1.00,NAND2_X1,0.433333,17.000000,42,78
80,NODE,n80,2,pi01,pi02,4,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.933333,2.000000,2,3
81,NODE,n81,1,n80,,41,2.000000,4.000000,2.000000,2,1.00,INV_X1,0.933333,2.000000,80,-1
82,NODE,n82,2,pi10,pi11,52,1.000000,3.000000,2.000000,1,1.00,AND2_X1,0.933333,2.000000,11,12
83,NODE,n83,2,n81,n82,1,3.000000,17.000000,14.000000,3,1.00,AND2_X1,0.533333,14.000000,81,82
84,NODE,n84,2,pi12,pi13,5,1.000000,4.000000,3.000000,1,1.00,AND2_X1,0.900000,3.000000,13,14
85,NODE,n85,2,n69,n84,35,4.000000,7.000000,3.000000,4,1.00,AND2_X1,0.900000,3.000000,69,84
86,NODE,n86,2,n83,n85,1,5.000000,18.000000,13.000000,5,1.00,NAND2_X1,0.566667,13.000000,83,85
87,NODE,n87,2,n43,n57,5,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,43,57
88,NODE,n88,1,n87,,59,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,87,-1
89,NODE,n89,2,n47,n50,51,2.000000,3.000000,1.000000,2,1.00,AND2_X1,0.966667,1.000000,47,50
90,NODE,n90,2,n88,n89,1,4.000000,17.000000,13.000000,4,1.00,AND2_X1,0.566667,13.000000,88,89
91,NODE,n91,2,n51,n53,4,2.000000,4.000000,2.000000,2,1.00,AND2_X1,0.933333,2.000000,51,53
92,NODE,n92,2,pi14,n45,3,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.933333,2.000000,15,45
93,NODE,n93,1,n92,,15,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.933333,2.000000,92,-1
94,NODE,n94,2,n91,n93,30,4.000000,7.000000,3.000000,4,1.00,AND2_X1,0.900000,3.000000,91,93
95,NODE,n95,2,n90,n94,1,5.000000,18.000000,13.000000,5,1.00,NAND2_X1,0.566667,13.000000,90,94
96,NODE,n96,2,n86,n95,1,6.000000,19.000000,13.000000,6,1.00,NAND2_X1,0.566667,13.000000,86,95
97,NODE,n97,2,n44,n96,1,7.000000,20.000000,13.000000,7,1.00,NAND2_X1,0.566667,13.000000,44,96
98,NODE,n98,2,n61,n45,8,2.000000,6.000000,4.000000,2,1.00,AND2_X1,0.866667,4.000000,61,45
99,NODE,n99,2,pi13,n98,3,3.000000,10.000000,7.000000,3,1.00,AND2_X1,0.766667,7.000000,14,98
100,NODE,n100,2,n60,n99,28,4.000000,11.000000,7.000000,4,1.00,AND2_X1,0.766667,7.000000,60,99
101,NODE,n101,2,n47,n100,1,5.000000,19.000000,14.000000,5,1.00,AND2_X1,0.533333,14.000000,47,100
102,NODE,n102,2,pi08,n101,2,6.000000,20.000000,14.000000,6,1.00,NAND2_X1,0.533333,14.000000,9,101
103,NODE,n103,2,n97,n102,1,8.000000,21.000000,13.000000,8,1.00,NAND2_X1,0.566667,13.000000,97,102
104,NODE,n104,2,n33,n103,1,9.000000,22.000000,13.000000,9,1.00,NAND2_X1,0.566667,13.000000,33,103
105,NODE,n105,2,n47,n63,1,4.000000,20.000000,16.000000,4,1.00,AND2_X1,0.466667,16.000000,47,63
106,NODE,n106,2,pi08,n105,1,5.000000,21.000000,16.000000,5,1.00,AND2_X1,0.466667,16.000000,9,105
107,NODE,n107,2,pi03,n106,1,6.000000,22.000000,16.000000,6,1.00,NAND2_X1,0.466667,16.000000,4,106
