bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,timeout_hit,runtime_sec,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c1355,cfg_winvpair_base,PASS,401.44,381.77,356.59,376.07,6,26,0,3,20.0,0.0,50.0,0,3,17,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c1355/c1355_cfg_winvpair_base.log
c17,cfg_winvpair_base,PASS,5.59,62.93,5.59,62.93,1,2,0,0,100.0,0.0,0.0,2,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c17/c17_cfg_winvpair_base.log
c1908,cfg_winvpair_base,PASS,307.27,448.64,274.25,388.57,10,37,0,2,40.0,0.0,40.0,15,8,4,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c1908/c1908_cfg_winvpair_base.log
c2670,cfg_winvpair_base,PASS,488.63,332.56,462.91,315.60,11,32,0,3,60.0,0.0,0.0,9,0,17,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c2670/c2670_cfg_winvpair_base.log
c3540,cfg_winvpair_base,PASS,710.66,627.87,680.23,590.07,12,34,0,4,60.0,0.0,20.0,13,1,12,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c3540/c3540_cfg_winvpair_base.log
c432,cfg_winvpair_base,PASS,191.27,454.68,114.99,426.58,5,38,0,1,0.0,0.0,0.0,6,6,10,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c432/c432_cfg_winvpair_base.log
c499,cfg_winvpair_base,PASS,397.40,370.24,393.80,356.54,12,36,0,3,60.0,20.0,0.0,7,7,9,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c499/c499_cfg_winvpair_base.log
c5315,cfg_winvpair_base,PASS,1228.07,594.10,1089.53,594.10,12,95,0,8,0.0,0.0,0.0,91,1,3,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c5315/c5315_cfg_winvpair_base.log
c6288,cfg_winvpair_base,PASS,2649.34,1597.16,2536.72,1589.63,17,27,0,13,100.0,0.0,20.0,7,0,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c6288/c6288_cfg_winvpair_base.log
c7552,cfg_winvpair_base,PASS,1146.95,423.41,1118.82,423.41,16,40,0,7,60.0,100.0,50.0,23,0,10,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c7552/c7552_cfg_winvpair_base.log
c880,cfg_winvpair_base,PASS,222.35,384.75,223.86,355.46,15,26,0,1,0.0,0.0,0.0,13,5,3,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 600",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_20260415_110558/c880/c880_cfg_winvpair_base.log
