bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c1355,cfg_winvpair_base,PASS,250.57,9.00,250.31,9.00,34,59,60.0,0.0,0.0,0,0,2,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c1355/c1355_cfg_winvpair_base.log
c17,cfg_winvpair_base,PASS,5.05,2.00,5.05,2.00,1,2,100.0,0.0,0.0,2,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c17/c17_cfg_winvpair_base.log
c1908,cfg_winvpair_base,PASS,209.08,13.00,178.75,11.00,20,99,80.0,0.0,0.0,38,12,26,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c1908/c1908_cfg_winvpair_base.log
c2670,cfg_winvpair_base,PASS,454.59,10.00,380.11,10.00,40,137,60.0,0.0,0.0,35,9,83,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c2670/c2670_cfg_winvpair_base.log
c3540,cfg_winvpair_base,PASS,628.56,18.00,588.66,17.00,40,210,60.0,0.0,20.0,49,1,132,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c3540/c3540_cfg_winvpair_base.log
c432,cfg_winvpair_base,PASS,138.85,14.00,105.07,13.00,10,37,40.0,25.0,25.0,4,8,11,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c432/c432_cfg_winvpair_base.log
c499,cfg_winvpair_base,PASS,250.57,9.00,250.04,9.00,25,93,80.0,0.0,33.3,36,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c499/c499_cfg_winvpair_base.log
c5315,cfg_winvpair_base,PASS,1158.96,18.00,875.67,15.00,173,576,100.0,0.0,0.0,419,0,136,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c5315/c5315_cfg_winvpair_base.log
c6288,cfg_winvpair_base,PASS,2283.08,45.00,1397.30,45.00,127,414,60.0,0.0,0.0,163,1,166,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c6288/c6288_cfg_winvpair_base.log
c7552,cfg_winvpair_base,PASS,1061.34,13.00,980.48,13.00,61,402,40.0,0.0,50.0,158,41,151,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c7552/c7552_cfg_winvpair_base.log
c880,cfg_winvpair_base,PASS,210.67,12.00,193.65,12.00,20,91,25.0,0.0,0.0,38,9,35,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c880/c880_cfg_winvpair_base.log
ex200,cfg_winvpair_base,PASS,10057.46,17.00,8748.21,16.00,1116,2778,80.0,60.0,40.0,485,0,1309,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/ex200/ex200_cfg_winvpair_base.log
ex201,cfg_winvpair_base,PASS,4583.18,15.00,4069.80,15.00,462,1319,50.0,0.0,20.0,237,0,617,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/ex201/ex201_cfg_winvpair_base.log
ex202,cfg_winvpair_base,PASS,9753.42,17.00,8746.61,16.00,875,2550,60.0,0.0,40.0,479,0,1120,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/ex202/ex202_cfg_winvpair_base.log
ex203,cfg_winvpair_base,PASS,15403.00,19.00,14545.94,18.00,1065,3356,40.0,0.0,40.0,28,0,1598,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/ex203/ex203_cfg_winvpair_base.log
