objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi15,,64,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,16,-1
34,NODE,n34,1,pi04,,585,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
35,NODE,n35,2,n34,pi09,7,2.000000,10.000000,8.000000,2,1.00,AND2_X1,0.789474,8.000000,34,10
36,NODE,n36,2,pi03,n35,1,3.000000,41.000000,38.000000,3,1.00,NAND2_X1,0.000000,38.000000,4,35
37,NODE,n37,1,pi03,,655,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.973684,1.000000,4,-1
38,NODE,n38,1,pi09,,557,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,10,-1
39,NODE,n39,2,pi04,n38,5,2.000000,7.000000,5.000000,2,1.00,AND2_X1,0.868421,5.000000,5,38
40,NODE,n40,2,n37,n39,1,3.000000,41.000000,38.000000,3,1.00,NAND2_X1,0.000000,38.000000,37,39
41,NODE,n41,2,n36,n40,1,4.000000,42.000000,38.000000,4,1.00,NAND2_X1,0.000000,38.000000,36,40
42,NODE,n42,1,pi07,,595,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
43,NODE,n43,2,n42,pi10,3,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.947368,2.000000,42,11
44,NODE,n44,1,n43,,23,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.947368,2.000000,43,-1
45,NODE,n45,2,pi05,n44,1,4.000000,14.000000,10.000000,4,1.00,NAND2_X1,0.736842,10.000000,6,44
46,NODE,n46,1,pi05,,513,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
47,NODE,n47,1,pi10,,470,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,11,-1
48,NODE,n48,2,pi07,n47,3,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.947368,2.000000,8,47
49,NODE,n49,1,n48,,27,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.947368,2.000000,48,-1
50,NODE,n50,2,n46,n49,2,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.921053,3.000000,46,49
51,NODE,n51,2,n45,n50,5,5.000000,15.000000,10.000000,5,1.00,NAND2_X1,0.736842,10.000000,45,50
52,NODE,n52,1,pi06,,656,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
53,NODE,n53,2,n52,pi08,5,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,52,9
54,NODE,n54,1,pi08,,563,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
55,NODE,n55,2,pi06,n54,3,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,7,54
56,NODE,n56,2,n53,n55,18,3.000000,4.000000,1.000000,3,1.00,NAND2_X1,0.973684,1.000000,53,55
57,NODE,n57,1,pi00,,240,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.947368,2.000000,1,-1
58,NODE,n58,2,pi12,pi14,5,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.947368,2.000000,13,15
59,NODE,n59,1,n58,,29,2.000000,4.000000,2.000000,2,1.00,INV_X1,0.947368,2.000000,58,-1
60,NODE,n60,2,pi02,n59,1,3.000000,31.000000,28.000000,3,1.00,NAND2_X1,0.263158,28.000000,3,59
61,NODE,n61,1,pi02,,536,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.973684,1.000000,3,-1
62,NODE,n62,1,pi12,,406,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,13,-1
63,NODE,n63,1,pi14,,437,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
64,NODE,n64,2,n62,n63,4,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.973684,1.000000,62,63
