bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,timeout_hit,runtime_sec,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
ex200_015,cfg_winvpair_base,TIMEOUT,3434.12,282.96,3385.84,282.96,45,342,1,182,  high: t0=0/5 t1=0/3 t2=1/8,  low: t0=0/0 t1=0/1 t2=0/0,  mid: t0=0/4 t1=0/4 t2=44/298,65,6,177,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex200_015/ex200_015_cfg_winvpair_base.log
ex201_013,cfg_winvpair_base,PASS,1225.75,252.24,1207.39,252.24,17,317,0,48,  high: t0=4/38 t1=0/5 t2=0/5,  low: t0=1/8 t1=0/6 t2=0/4,  mid: t0=3/40 t1=0/8 t2=9/166,57,22,88,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex201_013/ex201_013_cfg_winvpair_base.log
ex202_014,cfg_winvpair_base,TIMEOUT,3437.52,278.29,3408.66,278.29,25,383,1,182,  high: t0=1/23 t1=0/6 t2=0/7,  low: t0=0/2 t1=0/1 t2=0/1,  mid: t0=1/14 t1=0/6 t2=23/242,108,8,204,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex202_014/ex202_014_cfg_winvpair_base.log
ex203_017,cfg_winvpair_base,TIMEOUT,4562.40,326.99,4517.17,326.99,44,224,1,182,  high: t0=0/2 t1=1/3 t2=5/11,  low: t0=0/1 t1=1/1 t2=1/1,  mid: t0=4/22 t1=0/3 t2=32/180,44,9,118,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex203_017/ex203_017_cfg_winvpair_base.log
ex204_014,cfg_winvpair_base,PASS,1573.76,275.28,1531.93,275.28,41,522,0,115,  high: t0=2/27 t1=1/13 t2=0/8,  low: t0=1/5 t1=0/4 t2=0/2,  mid: t0=0/7 t1=2/20 t2=35/353,125,57,204,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex204_014/ex204_014_cfg_winvpair_base.log
ex205_017,cfg_winvpair_base,TIMEOUT,4738.08,329.33,4696.61,329.33,35,245,1,181,  high: t0=6/27 t1=0/2 t2=0/3,  low: t0=0/1 t1=0/0 t2=0/0,  mid: t0=0/3 t1=3/15 t2=26/138,91,6,105,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex205_017/ex205_017_cfg_winvpair_base.log
ex206_020,cfg_winvpair_base,TIMEOUT,47438.35,382.11,47280.08,382.11,5,9,1,206,  high: t0=1/4 t1=4/8 t2=0/2,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/0 t1=0/0 t2=0/0,0,1,6,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex206_020/ex206_020_cfg_winvpair_base.log
ex207_019,cfg_winvpair_base,TIMEOUT,70048.87,374.11,69979.99,374.11,4,7,1,208,  high: t0=0/3 t1=0/2 t2=4/6,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/0 t1=0/0 t2=0/0,0,0,7,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex207_019/ex207_019_cfg_winvpair_base.log
ex208_013,cfg_winvpair_base,PASS,1982.18,264.27,1951.02,264.27,45,523,0,149,  high: t0=2/28 t1=0/6 t2=1/14,  low: t0=0/2 t1=0/3 t2=0/3,  mid: t0=4/33 t1=1/11 t2=37/355,113,35,249,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex208_013/ex208_013_cfg_winvpair_base.log
ex209_012,cfg_winvpair_base,PASS,509.19,237.92,498.55,237.92,14,338,0,22,  high: t0=0/16 t1=1/13 t2=1/15,  low: t0=0/6 t1=0/16 t2=0/7,  mid: t0=2/30 t1=0/8 t2=10/186,68,39,114,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex209_012/ex209_012_cfg_winvpair_base.log
