bench,status,equiv_pass,timeout_hit,before_area,after_area,delta_area,pct_area,before_delay,after_delay,delta_delay,pct_delay,before_nd,after_nd,delta_nd,pct_nd,before_lev,after_lev,delta_lev,pct_lev,before_gate_lines,after_gate_lines,delta_gate_lines,pct_gate_lines,baseline_blif,optimized_blif,baseline_v,optimized_v,baseline_log,optimized_log,cec_log
ex200_015,PASS,1,0,3434.12,3426.08,-8.04,-0.23,282.96,282.96,0.00,0.00,3465,3448,-17.00,-0.49,12,12,0.00,0.00,3465,3448,-17.00,-0.49,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex200_015/ex200_015_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex200_015/ex200_015_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex200_015/ex200_015_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex200_015/ex200_015_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex200_015/ex200_015_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex200_015/ex200_015_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex200_015/ex200_015_cec.log
ex201_013,PASS,1,0,1225.75,1209.44,-16.31,-1.33,252.24,252.95,0.71,0.28,1268,1249,-19.00,-1.50,11,10,-1.00,-9.09,1268,1249,-19.00,-1.50,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex201_013/ex201_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex201_013/ex201_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex201_013/ex201_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex201_013/ex201_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex201_013/ex201_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex201_013/ex201_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex201_013/ex201_013_cec.log
ex202_014,PASS,1,0,3437.52,3428.91,-8.61,-0.25,278.29,278.29,0.00,0.00,3482,3470,-12.00,-0.34,12,11,-1.00,-8.33,3482,3470,-12.00,-0.34,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex202_014/ex202_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex202_014/ex202_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex202_014/ex202_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex202_014/ex202_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex202_014/ex202_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex202_014/ex202_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex202_014/ex202_014_cec.log
ex203_017,PASS,1,0,4562.40,4553.69,-8.71,-0.19,326.99,326.99,0.00,0.00,4650,4639,-11.00,-0.24,13,13,0.00,0.00,4650,4639,-11.00,-0.24,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex203_017/ex203_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex203_017/ex203_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex203_017/ex203_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex203_017/ex203_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex203_017/ex203_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex203_017/ex203_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex203_017/ex203_017_cec.log
ex204_014,PASS,1,0,1573.76,1547.79,-25.97,-1.65,275.28,278.56,3.28,1.19,1603,1581,-22.00,-1.37,11,12,1.00,9.09,1603,1581,-22.00,-1.37,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex204_014/ex204_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex204_014/ex204_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex204_014/ex204_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex204_014/ex204_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex204_014/ex204_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex204_014/ex204_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex204_014/ex204_014_cec.log
ex205_017,PASS,1,0,4738.08,4724.72,-13.36,-0.28,329.33,329.33,0.00,0.00,4807,4787,-20.00,-0.42,14,14,0.00,0.00,4807,4787,-20.00,-0.42,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex205_017/ex205_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex205_017/ex205_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex205_017/ex205_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex205_017/ex205_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex205_017/ex205_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex205_017/ex205_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex205_017/ex205_017_cec.log
ex206_020,PASS,1,0,47438.35,47273.78,-164.57,-0.35,382.11,382.11,0.00,0.00,47590,47446,-144.00,-0.30,15,16,1.00,6.67,47590,47446,-144.00,-0.30,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex206_020/ex206_020_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex206_020/ex206_020_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex206_020/ex206_020_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex206_020/ex206_020_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex206_020/ex206_020_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex206_020/ex206_020_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex206_020/ex206_020_cec.log
ex207_019,PASS,1,1,70048.87,69989.25,-59.62,-0.09,374.11,374.11,0.00,0.00,70652,70527,-125.00,-0.18,15,15,0.00,0.00,70652,70527,-125.00,-0.18,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex207_019/ex207_019_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex207_019/ex207_019_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex207_019/ex207_019_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex207_019/ex207_019_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex207_019/ex207_019_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex207_019/ex207_019_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex207_019/ex207_019_cec.log
ex208_013,PASS,1,0,1982.18,1978.01,-4.17,-0.21,264.27,264.27,0.00,0.00,2029,2012,-17.00,-0.84,11,11,0.00,0.00,2029,2012,-17.00,-0.84,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex208_013/ex208_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex208_013/ex208_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex208_013/ex208_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex208_013/ex208_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex208_013/ex208_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex208_013/ex208_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex208_013/ex208_013_cec.log
ex209_012,PASS,1,0,509.19,495.39,-13.80,-2.71,237.92,245.58,7.66,3.22,523,521,-2.00,-0.38,9,10,1.00,11.11,523,521,-2.00,-0.38,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex209_012/ex209_012_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex209_012/ex209_012_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex209_012/ex209_012_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex209_012/ex209_012_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex209_012/ex209_012_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex209_012/ex209_012_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_20260415_141411/ex209_012/ex209_012_cec.log
