objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi06,,17,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
34,NODE,n34,2,pi05,n33,4,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,6,33
35,NODE,n35,1,pi05,,10,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
36,NODE,n36,2,n35,pi06,4,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,35,7
37,NODE,n37,2,n34,n36,2,3.000000,4.000000,1.000000,3,1.00,NAND2_X1,0.888889,1.000000,34,36
38,NODE,n38,1,n37,,3,4.000000,5.000000,1.000000,4,1.00,INV_X1,0.888889,1.000000,37,-1
39,NODE,n39,1,pi04,,13,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
40,NODE,n40,2,pi03,n39,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,4,39
41,NODE,n41,1,n40,,3,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.888889,1.000000,40,-1
42,NODE,n42,2,n38,n41,3,5.000000,7.000000,2.000000,5,1.00,AND2_X1,0.777778,2.000000,38,41
43,NODE,n43,2,pi03,pi07,3,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.777778,2.000000,4,8
44,NODE,n44,1,pi08,,12,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.888889,1.000000,9,-1
45,NODE,n45,2,pi07,n44,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,8,44
46,NODE,n46,2,pi03,n35,4,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,4,35
47,NODE,n47,2,n45,n46,1,3.000000,4.000000,1.000000,3,1.00,NAND2_X1,0.888889,1.000000,45,46
48,NODE,n48,2,n43,n47,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.888889,1.000000,43,47
49,NODE,n49,2,n39,pi05,5,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,39,6
50,NODE,n50,1,n49,,3,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.888889,1.000000,49,-1
51,NODE,n51,2,pi08,n50,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.888889,1.000000,9,50
52,NODE,n52,2,n48,n51,2,5.000000,6.000000,1.000000,5,1.00,NAND2_X1,0.888889,1.000000,48,51
53,NODE,n53,1,n52,,2,6.000000,7.000000,1.000000,6,1.00,INV_X1,0.888889,1.000000,52,-1
54,NODE,n54,2,n42,n53,1,7.000000,8.000000,1.000000,7,1.00,NAND2_X1,0.888889,1.000000,42,53
55,NODE,n55,2,n35,n33,5,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,35,33
56,NODE,n56,1,n55,,4,3.000000,6.000000,3.000000,3,1.00,INV_X1,0.666667,3.000000,55,-1
57,NODE,n57,2,n39,pi08,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,39,9
58,NODE,n58,1,n57,,2,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.888889,1.000000,57,-1
59,NODE,n59,2,n56,n58,3,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.666667,3.000000,56,58
60,NODE,n60,2,n54,n59,1,8.000000,9.000000,1.000000,8,1.00,AND2_X1,0.888889,1.000000,54,59
61,NODE,n61,1,pi03,,13,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
62,NODE,n62,2,pi04,n33,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,5,33
63,NODE,n63,2,n39,n35,4,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.777778,2.000000,39,35
64,NODE,n64,2,n62,n63,1,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.777778,2.000000,62,63
65,NODE,n65,2,n61,n64,2,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.777778,2.000000,61,64
66,NODE,n66,2,pi03,n44,4,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,4,44
67,NODE,n67,2,n65,n66,1,5.000000,7.000000,2.000000,5,1.00,NAND2_X1,0.777778,2.000000,65,66
68,NODE,n68,2,pi01,pi02,4,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.888889,1.000000,2,3
69,NODE,n69,1,n68,,5,2.000000,5.000000,3.000000,2,1.00,INV_X1,0.666667,3.000000,68,-1
70,NODE,n70,2,n67,n69,1,6.000000,8.000000,2.000000,6,1.00,NAND2_X1,0.777778,2.000000,67,69
71,NODE,n71,1,pi01,,11,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
72,NODE,n72,2,n71,pi02,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.888889,1.000000,71,3
73,NODE,n73,1,n72,,3,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.888889,1.000000,72,-1
