bench,status,equiv_pass,timeout_hit,before_area,after_area,delta_area,pct_area,before_delay,after_delay,delta_delay,pct_delay,before_nd,after_nd,delta_nd,pct_nd,before_lev,after_lev,delta_lev,pct_lev,before_gate_lines,after_gate_lines,delta_gate_lines,pct_gate_lines,baseline_blif,optimized_blif,baseline_v,optimized_v,baseline_log,optimized_log,cec_log
ex200_015,PASS,1,0,3434.12,3422.72,-11.40,-0.33,282.96,282.96,0.00,0.00,3465,3438,-27.00,-0.78,12,12,0.00,0.00,3465,3438,-27.00,-0.78,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex200_015/ex200_015_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex200_015/ex200_015_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex200_015/ex200_015_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex200_015/ex200_015_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex200_015/ex200_015_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex200_015/ex200_015_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex200_015/ex200_015_cec.log
ex201_013,PASS,1,0,1225.75,1210.33,-15.42,-1.26,252.24,252.24,0.00,0.00,1268,1240,-28.00,-2.21,11,11,0.00,0.00,1268,1240,-28.00,-2.21,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex201_013/ex201_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex201_013/ex201_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex201_013/ex201_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex201_013/ex201_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex201_013/ex201_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex201_013/ex201_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex201_013/ex201_013_cec.log
ex202_014,PASS,1,0,3437.52,3418.61,-18.91,-0.55,278.29,278.29,0.00,0.00,3482,3455,-27.00,-0.78,12,12,0.00,0.00,3482,3455,-27.00,-0.78,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex202_014/ex202_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex202_014/ex202_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex202_014/ex202_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex202_014/ex202_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex202_014/ex202_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex202_014/ex202_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex202_014/ex202_014_cec.log
ex203_017,PASS,1,0,4562.40,4538.26,-24.14,-0.53,326.99,326.99,0.00,0.00,4650,4615,-35.00,-0.75,13,13,0.00,0.00,4650,4615,-35.00,-0.75,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex203_017/ex203_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex203_017/ex203_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex203_017/ex203_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex203_017/ex203_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex203_017/ex203_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex203_017/ex203_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex203_017/ex203_017_cec.log
ex204_014,PASS,1,0,1573.76,1553.70,-20.06,-1.27,275.28,275.28,0.00,0.00,1603,1582,-21.00,-1.31,11,11,0.00,0.00,1603,1582,-21.00,-1.31,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex204_014/ex204_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex204_014/ex204_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex204_014/ex204_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex204_014/ex204_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex204_014/ex204_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex204_014/ex204_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex204_014/ex204_014_cec.log
ex205_017,PASS,1,0,4738.08,4720.03,-18.05,-0.38,329.33,329.33,0.00,0.00,4807,4768,-39.00,-0.81,14,14,0.00,0.00,4807,4768,-39.00,-0.81,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex205_017/ex205_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex205_017/ex205_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex205_017/ex205_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex205_017/ex205_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex205_017/ex205_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex205_017/ex205_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex205_017/ex205_017_cec.log
ex206_020,PASS,1,1,47438.35,47280.08,-158.27,-0.33,382.11,382.11,0.00,0.00,47590,47450,-140.00,-0.29,15,16,1.00,6.67,47590,47450,-140.00,-0.29,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex206_020/ex206_020_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex206_020/ex206_020_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex206_020/ex206_020_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex206_020/ex206_020_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex206_020/ex206_020_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex206_020/ex206_020_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex206_020/ex206_020_cec.log
ex207_019,PASS,1,1,70048.87,69962.28,-86.59,-0.12,374.11,374.11,0.00,0.00,70652,70531,-121.00,-0.17,15,15,0.00,0.00,70652,70531,-121.00,-0.17,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex207_019/ex207_019_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex207_019/ex207_019_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex207_019/ex207_019_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex207_019/ex207_019_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex207_019/ex207_019_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex207_019/ex207_019_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex207_019/ex207_019_cec.log
ex208_013,PASS,1,0,1982.18,1967.74,-14.44,-0.73,264.27,264.27,0.00,0.00,2029,1992,-37.00,-1.82,11,11,0.00,0.00,2029,1992,-37.00,-1.82,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex208_013/ex208_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex208_013/ex208_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex208_013/ex208_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex208_013/ex208_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex208_013/ex208_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex208_013/ex208_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex208_013/ex208_013_cec.log
ex209_012,PASS,1,0,509.19,502.55,-6.64,-1.30,237.92,237.92,0.00,0.00,523,513,-10.00,-1.91,9,10,1.00,11.11,523,513,-10.00,-1.91,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex209_012/ex209_012_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex209_012/ex209_012_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex209_012/ex209_012_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex209_012/ex209_012_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex209_012/ex209_012_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex209_012/ex209_012_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_adaptseq_20260415_204312/ex209_012/ex209_012_cec.log
