objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi05,,10,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
34,NODE,n34,2,n33,pi06,4,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,33,7
35,NODE,n35,1,pi06,,17,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
36,NODE,n36,2,pi05,n35,4,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.750000,2.000000,6,35
37,NODE,n37,2,n34,n36,2,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.750000,2.000000,34,36
38,NODE,n38,1,n37,,3,4.000000,6.000000,2.000000,4,1.00,INV_X1,0.750000,2.000000,37,-1
39,NODE,n39,1,pi04,,13,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
40,NODE,n40,2,pi03,n39,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.875000,1.000000,4,39
41,NODE,n41,1,n40,,3,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.875000,1.000000,40,-1
42,NODE,n42,2,n38,n41,3,5.000000,7.000000,2.000000,5,1.00,AND2_X1,0.750000,2.000000,38,41
43,NODE,n43,2,pi03,pi07,3,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.750000,2.000000,4,8
44,NODE,n44,1,pi08,,12,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.875000,1.000000,9,-1
45,NODE,n45,2,pi07,n44,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.875000,1.000000,8,44
46,NODE,n46,2,pi03,n33,4,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.875000,1.000000,4,33
47,NODE,n47,2,n45,n46,1,3.000000,4.000000,1.000000,3,1.00,NAND2_X1,0.875000,1.000000,45,46
48,NODE,n48,2,n43,n47,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.875000,1.000000,43,47
49,NODE,n49,2,n39,pi05,5,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.875000,1.000000,39,6
50,NODE,n50,1,n49,,3,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.875000,1.000000,49,-1
51,NODE,n51,2,pi08,n50,1,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.875000,1.000000,9,50
