bench,status,equiv_pass,timeout_hit,before_area,after_area,delta_area,pct_area,before_delay,after_delay,delta_delay,pct_delay,before_nd,after_nd,delta_nd,pct_nd,before_lev,after_lev,delta_lev,pct_lev,before_gate_lines,after_gate_lines,delta_gate_lines,pct_gate_lines,baseline_blif,optimized_blif,baseline_v,optimized_v,baseline_log,optimized_log,cec_log
ex200_015,PASS,1,1,3434.12,3378.38,-55.74,-1.62,282.96,282.96,0.00,0.00,3465,3379,-86.00,-2.48,12,12,0.00,0.00,3465,3379,-86.00,-2.48,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex200_015/ex200_015_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex200_015/ex200_015_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex200_015/ex200_015_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex200_015/ex200_015_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex200_015/ex200_015_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex200_015/ex200_015_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex200_015/ex200_015_cec.log
ex201_013,PASS,1,0,1225.75,1200.73,-25.02,-2.04,252.24,252.24,0.00,0.00,1268,1232,-36.00,-2.84,11,11,0.00,0.00,1268,1232,-36.00,-2.84,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex201_013/ex201_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex201_013/ex201_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex201_013/ex201_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex201_013/ex201_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex201_013/ex201_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex201_013/ex201_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex201_013/ex201_013_cec.log
ex202_014,PASS,1,0,3437.52,3402.14,-35.38,-1.03,278.29,278.29,0.00,0.00,3482,3428,-54.00,-1.55,12,12,0.00,0.00,3482,3428,-54.00,-1.55,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex202_014/ex202_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex202_014/ex202_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex202_014/ex202_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex202_014/ex202_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex202_014/ex202_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex202_014/ex202_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex202_014/ex202_014_cec.log
ex203_017,PASS,1,1,4562.40,4510.92,-51.48,-1.13,326.99,326.99,0.00,0.00,4650,4578,-72.00,-1.55,13,13,0.00,0.00,4650,4578,-72.00,-1.55,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex203_017/ex203_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex203_017/ex203_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex203_017/ex203_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex203_017/ex203_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex203_017/ex203_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex203_017/ex203_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex203_017/ex203_017_cec.log
ex204_014,PASS,1,0,1573.76,1535.27,-38.49,-2.45,275.28,275.28,0.00,0.00,1603,1556,-47.00,-2.93,11,11,0.00,0.00,1603,1556,-47.00,-2.93,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex204_014/ex204_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex204_014/ex204_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex204_014/ex204_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex204_014/ex204_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex204_014/ex204_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex204_014/ex204_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex204_014/ex204_014_cec.log
ex205_017,PASS,1,1,4738.08,4683.65,-54.43,-1.15,329.33,329.33,0.00,0.00,4807,4720,-87.00,-1.81,14,14,0.00,0.00,4807,4720,-87.00,-1.81,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex205_017/ex205_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex205_017/ex205_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex205_017/ex205_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex205_017/ex205_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex205_017/ex205_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex205_017/ex205_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex205_017/ex205_017_cec.log
ex206_020,PASS,1,1,47438.35,47276.71,-161.64,-0.34,382.11,382.11,0.00,0.00,47590,47439,-151.00,-0.32,15,16,1.00,6.67,47590,47439,-151.00,-0.32,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex206_020/ex206_020_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex206_020/ex206_020_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex206_020/ex206_020_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex206_020/ex206_020_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex206_020/ex206_020_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex206_020/ex206_020_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex206_020/ex206_020_cec.log
ex207_019,PASS,1,1,70048.87,69962.28,-86.59,-0.12,374.11,374.11,0.00,0.00,70652,70531,-121.00,-0.17,15,15,0.00,0.00,70652,70531,-121.00,-0.17,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex207_019/ex207_019_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex207_019/ex207_019_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex207_019/ex207_019_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex207_019/ex207_019_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex207_019/ex207_019_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex207_019/ex207_019_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex207_019/ex207_019_cec.log
ex208_013,PASS,1,0,1982.18,1959.78,-22.40,-1.13,264.27,264.27,0.00,0.00,2029,1990,-39.00,-1.92,11,11,0.00,0.00,2029,1990,-39.00,-1.92,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex208_013/ex208_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex208_013/ex208_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex208_013/ex208_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex208_013/ex208_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex208_013/ex208_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex208_013/ex208_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex208_013/ex208_013_cec.log
ex209_012,PASS,1,0,509.19,498.84,-10.35,-2.03,237.92,237.92,0.00,0.00,523,510,-13.00,-2.49,9,10,1.00,11.11,523,510,-13.00,-2.49,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex209_012/ex209_012_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex209_012/ex209_012_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex209_012/ex209_012_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex209_012/ex209_012_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex209_012/ex209_012_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex209_012/ex209_012_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_fit50final_20260420_1705/ex209_012/ex209_012_cec.log
