objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi02,,49,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
34,NODE,n34,1,pi06,,69,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
35,NODE,n35,2,n33,n34,4,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,33,34
36,NODE,n36,1,n35,,10,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,35,-1
37,NODE,n37,1,pi03,,57,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
38,NODE,n38,1,pi00,,40,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,1,-1
39,NODE,n39,2,n38,pi05,9,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,38,6
40,NODE,n40,1,n39,,9,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,39,-1
41,NODE,n41,1,pi04,,57,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
42,NODE,n42,1,pi08,,46,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.900000,1.000000,9,-1
43,NODE,n43,2,n41,n42,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,41,42
44,NODE,n44,1,n43,,6,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,43,-1
45,NODE,n45,2,n40,n44,2,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.900000,1.000000,40,44
46,NODE,n46,1,pi01,,47,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
47,NODE,n47,1,pi05,,57,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
48,NODE,n48,2,n46,n47,10,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,46,47
49,NODE,n49,1,n48,,13,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,48,-1
50,NODE,n50,2,n41,pi08,5,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,41,9
51,NODE,n51,1,n50,,5,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,50,-1
52,NODE,n52,2,n49,n51,2,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.900000,1.000000,49,51
53,NODE,n53,2,n45,n52,2,5.000000,6.000000,1.000000,5,1.00,NAND2_X1,0.900000,1.000000,45,52
54,NODE,n54,2,n37,n53,1,6.000000,10.000000,4.000000,6,1.00,NAND2_X1,0.600000,4.000000,37,53
55,NODE,n55,2,n38,n37,8,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,38,37
56,NODE,n56,2,pi03,n41,15,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,4,41
57,NODE,n57,2,n49,n56,2,4.000000,6.000000,2.000000,4,1.00,AND2_X1,0.800000,2.000000,49,56
58,NODE,n58,2,n55,n57,1,5.000000,9.000000,4.000000,5,1.00,NAND2_X1,0.600000,4.000000,55,57
59,NODE,n59,1,n56,,13,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,56,-1
60,NODE,n60,2,pi05,n59,6,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.900000,1.000000,6,59
61,NODE,n61,1,n60,,2,5.000000,6.000000,1.000000,5,1.00,INV_X1,0.900000,1.000000,60,-1
62,NODE,n62,2,n46,pi08,9,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,46,9
63,NODE,n63,2,n38,pi01,9,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,38,2
64,NODE,n64,2,n62,n63,2,3.000000,6.000000,3.000000,3,1.00,NAND2_X1,0.700000,3.000000,62,63
65,NODE,n65,1,n64,,1,4.000000,8.000000,4.000000,4,1.00,INV_X1,0.600000,4.000000,64,-1
66,NODE,n66,2,n61,n65,1,6.000000,9.000000,3.000000,6,1.00,NAND2_X1,0.700000,3.000000,61,65
67,NODE,n67,2,n58,n66,1,7.000000,10.000000,3.000000,7,1.00,AND2_X1,0.700000,3.000000,58,66
68,NODE,n68,2,n54,n67,1,8.000000,11.000000,3.000000,8,1.00,AND2_X1,0.700000,3.000000,54,67
69,NODE,n69,2,n38,pi04,10,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,38,5
70,NODE,n70,2,pi00,n41,7,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,1,41
71,NODE,n71,2,n69,n70,4,3.000000,4.000000,1.000000,3,1.00,NAND2_X1,0.900000,1.000000,69,70
72,NODE,n72,1,n71,,6,4.000000,5.000000,1.000000,4,1.00,INV_X1,0.900000,1.000000,71,-1
73,NODE,n73,2,n46,pi03,10,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,46,4
74,NODE,n74,2,pi04,n42,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,5,42
75,NODE,n75,1,n74,,6,3.000000,6.000000,3.000000,3,1.00,INV_X1,0.700000,3.000000,74,-1
76,NODE,n76,2,pi05,n75,1,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.700000,3.000000,6,75
77,NODE,n77,2,n73,n76,1,5.000000,8.000000,3.000000,5,1.00,NAND2_X1,0.700000,3.000000,73,76
78,NODE,n78,2,n72,n77,1,6.000000,9.000000,3.000000,6,1.00,NAND2_X1,0.700000,3.000000,72,77
79,NODE,n79,2,pi00,pi01,21,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.900000,1.000000,1,2
80,NODE,n80,1,n79,,15,2.000000,3.000000,1.000000,2,1.00,INV_X1,0.900000,1.000000,79,-1
81,NODE,n81,2,pi03,n80,3,3.000000,6.000000,3.000000,3,1.00,NAND2_X1,0.700000,3.000000,4,80
82,NODE,n82,2,n38,n47,9,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,38,47
83,NODE,n83,1,n82,,10,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,82,-1
84,NODE,n84,2,pi01,n37,12,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,2,37
85,NODE,n85,1,n84,,12,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,84,-1
86,NODE,n86,2,n83,n85,3,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.800000,2.000000,83,85
87,NODE,n87,2,n81,n86,1,5.000000,8.000000,3.000000,5,1.00,NAND2_X1,0.700000,3.000000,81,86
88,NODE,n88,2,n42,n87,1,6.000000,9.000000,3.000000,6,1.00,NAND2_X1,0.700000,3.000000,42,87
89,NODE,n89,2,n78,n88,1,7.000000,10.000000,3.000000,7,1.00,AND2_X1,0.700000,3.000000,78,88
90,NODE,n90,2,pi03,n47,10,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,4,47
91,NODE,n91,2,n37,pi05,7,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,37,6
92,NODE,n92,2,n90,n91,5,3.000000,5.000000,2.000000,3,1.00,NAND2_X1,0.800000,2.000000,90,91
93,NODE,n93,2,n38,pi08,5,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,38,9
94,NODE,n94,1,n93,,8,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,93,-1
95,NODE,n95,2,n92,n94,2,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.700000,3.000000,92,94
96,NODE,n96,1,n95,,1,5.000000,9.000000,4.000000,5,1.00,INV_X1,0.600000,4.000000,95,-1
97,NODE,n97,2,n37,pi04,16,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,37,5
98,NODE,n98,2,n56,n97,9,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,56,97
99,NODE,n99,2,n96,n98,1,6.000000,10.000000,4.000000,6,1.00,NAND2_X1,0.600000,4.000000,96,98
100,NODE,n100,2,n89,n99,1,8.000000,11.000000,3.000000,8,1.00,AND2_X1,0.700000,3.000000,89,99
101,NODE,n101,2,n68,n100,1,9.000000,12.000000,3.000000,9,1.00,NAND2_X1,0.700000,3.000000,68,100
102,NODE,n102,2,n36,n101,1,10.000000,13.000000,3.000000,10,1.00,NAND2_X1,0.700000,3.000000,36,101
103,NODE,n103,2,n41,pi05,9,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,41,6
104,NODE,n104,1,n103,,10,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.900000,1.000000,103,-1
105,NODE,n105,2,pi01,pi03,6,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.900000,1.000000,2,4
106,NODE,n106,2,n37,n79,3,2.000000,5.000000,3.000000,2,1.00,NAND2_X1,0.700000,3.000000,37,79
107,NODE,n107,2,n105,n106,2,3.000000,7.000000,4.000000,3,1.00,NAND2_X1,0.600000,4.000000,105,106
108,NODE,n108,2,pi00,n42,6,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.900000,1.000000,1,42
109,NODE,n109,2,n107,n108,1,4.000000,9.000000,5.000000,4,1.00,NAND2_X1,0.500000,5.000000,107,108
110,NODE,n110,2,n104,n109,1,5.000000,10.000000,5.000000,5,1.00,NAND2_X1,0.500000,5.000000,104,109
111,NODE,n111,1,n97,,19,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,97,-1
112,NODE,n112,2,n47,n111,5,4.000000,6.000000,2.000000,4,1.00,NAND2_X1,0.800000,2.000000,47,111
113,NODE,n113,1,n112,,4,5.000000,8.000000,3.000000,5,1.00,INV_X1,0.700000,3.000000,112,-1
