objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi13,,36,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,14,-1
34,NODE,n34,2,pi08,n33,4,2.000000,7.000000,5.000000,2,1.00,NAND2_X1,0.666667,5.000000,9,33
35,NODE,n35,1,pi10,,99,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,11,-1
36,NODE,n36,2,pi05,n35,12,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,6,35
37,NODE,n37,1,n36,,16,3.000000,5.000000,2.000000,3,1.00,INV_X1,0.866667,2.000000,36,-1
38,NODE,n38,1,pi00,,25,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,1,-1
39,NODE,n39,1,pi02,,36,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
40,NODE,n40,2,n38,n39,8,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,38,39
41,NODE,n41,1,pi01,,29,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
42,NODE,n42,2,n41,n39,15,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,41,39
43,NODE,n43,2,n40,n42,3,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,40,42
44,NODE,n44,1,n43,,13,4.000000,4.000000,0.000000,4,1.00,INV_X1,1.000000,0.000000,43,-1
45,NODE,n45,2,pi03,n44,14,5.000000,6.000000,1.000000,5,1.00,NAND2_X1,0.933333,1.000000,4,44
46,NODE,n46,2,pi09,n45,2,6.000000,9.000000,3.000000,6,1.00,NAND2_X1,0.800000,3.000000,10,45
47,NODE,n47,2,n37,n46,2,7.000000,10.000000,3.000000,7,1.00,NAND2_X1,0.800000,3.000000,37,46
48,NODE,n48,2,n35,pi11,6,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.733333,4.000000,35,12
49,NODE,n49,1,n48,,18,3.000000,7.000000,4.000000,3,1.00,INV_X1,0.733333,4.000000,48,-1
50,NODE,n50,1,pi05,,71,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
51,NODE,n51,2,pi02,pi03,21,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.933333,1.000000,3,4
52,NODE,n52,2,n50,n51,5,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,50,51
53,NODE,n53,1,n52,,3,3.000000,6.000000,3.000000,3,1.00,INV_X1,0.800000,3.000000,52,-1
54,NODE,n54,2,pi01,pi03,13,1.000000,2.000000,1.000000,1,1.00,NAND2_X1,0.933333,1.000000,2,4
55,NODE,n55,2,n53,n54,3,4.000000,9.000000,5.000000,4,1.00,NAND2_X1,0.666667,5.000000,53,54
56,NODE,n56,2,n49,n55,1,5.000000,12.000000,7.000000,5,1.00,NAND2_X1,0.533333,7.000000,49,55
57,NODE,n57,2,n50,pi10,12,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.866667,2.000000,50,11
58,NODE,n58,2,pi11,n57,4,3.000000,7.000000,4.000000,3,1.00,NAND2_X1,0.733333,4.000000,12,57
59,NODE,n59,1,n58,,4,4.000000,8.000000,4.000000,4,1.00,INV_X1,0.733333,4.000000,58,-1
60,NODE,n60,1,pi09,,79,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,10,-1
