bench,status,equiv_pass,timeout_hit,before_area,after_area,delta_area,pct_area,before_delay,after_delay,delta_delay,pct_delay,before_nd,after_nd,delta_nd,pct_nd,before_lev,after_lev,delta_lev,pct_lev,before_gate_lines,after_gate_lines,delta_gate_lines,pct_gate_lines,baseline_blif,optimized_blif,baseline_v,optimized_v,baseline_log,optimized_log,cec_log
ex200_015,PASS,1,0,3434.12,3417.59,-16.53,-0.48,282.96,282.96,0.00,0.00,3465,3430,-35.00,-1.01,12,12,0.00,0.00,3465,3430,-35.00,-1.01,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex200_015/ex200_015_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex200_015/ex200_015_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex200_015/ex200_015_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex200_015/ex200_015_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex200_015/ex200_015_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex200_015/ex200_015_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex200_015/ex200_015_cec.log
ex201_013,PASS,1,0,1225.75,1209.44,-16.31,-1.33,252.24,252.24,0.00,0.00,1268,1251,-17.00,-1.34,11,11,0.00,0.00,1268,1251,-17.00,-1.34,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex201_013/ex201_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex201_013/ex201_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex201_013/ex201_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex201_013/ex201_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex201_013/ex201_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex201_013/ex201_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex201_013/ex201_013_cec.log
ex202_014,PASS,1,0,3437.52,3414.67,-22.85,-0.66,278.29,278.29,0.00,0.00,3482,3448,-34.00,-0.98,12,12,0.00,0.00,3482,3448,-34.00,-0.98,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex202_014/ex202_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex202_014/ex202_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex202_014/ex202_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex202_014/ex202_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex202_014/ex202_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex202_014/ex202_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex202_014/ex202_014_cec.log
ex203_017,PASS,1,0,4562.40,4534.31,-28.09,-0.62,326.99,326.99,0.00,0.00,4650,4605,-45.00,-0.97,13,13,0.00,0.00,4650,4605,-45.00,-0.97,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex203_017/ex203_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex203_017/ex203_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex203_017/ex203_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex203_017/ex203_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex203_017/ex203_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex203_017/ex203_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex203_017/ex203_017_cec.log
ex204_014,PASS,1,0,1573.76,1549.34,-24.42,-1.55,275.28,275.28,0.00,0.00,1603,1576,-27.00,-1.68,11,11,0.00,0.00,1603,1576,-27.00,-1.68,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex204_014/ex204_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex204_014/ex204_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex204_014/ex204_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex204_014/ex204_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex204_014/ex204_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex204_014/ex204_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex204_014/ex204_014_cec.log
ex205_017,PASS,1,0,4738.08,4713.67,-24.41,-0.52,329.33,329.23,-0.10,-0.03,4807,4767,-40.00,-0.83,14,13,-1.00,-7.14,4807,4767,-40.00,-0.83,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex205_017/ex205_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex205_017/ex205_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex205_017/ex205_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex205_017/ex205_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex205_017/ex205_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex205_017/ex205_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex205_017/ex205_017_cec.log
ex206_020,PASS,1,1,47438.35,47266.70,-171.65,-0.36,382.11,382.11,0.00,0.00,47590,47431,-159.00,-0.33,15,16,1.00,6.67,47590,47431,-159.00,-0.33,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex206_020/ex206_020_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex206_020/ex206_020_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex206_020/ex206_020_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex206_020/ex206_020_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex206_020/ex206_020_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex206_020/ex206_020_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex206_020/ex206_020_cec.log
ex207_019,PASS,1,1,70048.87,69957.58,-91.29,-0.13,374.11,374.11,0.00,0.00,70652,70521,-131.00,-0.19,15,15,0.00,0.00,70652,70521,-131.00,-0.19,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex207_019/ex207_019_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex207_019/ex207_019_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex207_019/ex207_019_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex207_019/ex207_019_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex207_019/ex207_019_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex207_019/ex207_019_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex207_019/ex207_019_cec.log
ex208_013,PASS,1,0,1982.18,1966.50,-15.68,-0.79,264.27,264.27,0.00,0.00,2029,1999,-30.00,-1.48,11,11,0.00,0.00,2029,1999,-30.00,-1.48,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex208_013/ex208_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex208_013/ex208_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex208_013/ex208_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex208_013/ex208_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex208_013/ex208_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex208_013/ex208_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex208_013/ex208_013_cec.log
ex209_012,PASS,1,0,509.19,498.60,-10.59,-2.08,237.92,237.92,0.00,0.00,523,508,-15.00,-2.87,9,10,1.00,11.11,523,508,-15.00,-2.87,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex209_012/ex209_012_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex209_012/ex209_012_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex209_012/ex209_012_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex209_012/ex209_012_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex209_012/ex209_012_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex209_012/ex209_012_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_lowrelax_20260420_133956/ex209_012/ex209_012_cec.log
